»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/2/2025 - 12:55:42
Configured:	10/02/25 12:40:15 PM
Executed:	10/02/25 12:54:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-22.203224	0.000080	0.803665	0.272289	0.000039
   2	5.0000e-02	0.0257	-22.183672	0.000080	0.803665	0.272289	0.000039
   3	1.0000e-01	0.0754	-22.134383	0.000203	2.025906	0.686396	0.000099
   4	1.5000e-01	0.0417	-22.088761	-0.000188	-1.875219	-0.635341	0.000091
   5	2.0000e-01	0.0930	-22.029696	0.000243	2.427739	0.822540	0.000118
   6	2.5000e-01	0.0930	-21.975112	-0.000224	-2.243565	-0.760141	0.000109
   7	3.0000e-01	0.1283	-21.919306	0.000229	2.293795	0.777159	0.000112
   8	3.5000e-01	0.1476	-21.867981	0.000211	2.109621	0.714759	0.000103
   9	4.0000e-01	0.1556	-21.817471	0.000208	2.076135	0.703414	0.000101
  10	4.5000e-01	0.1765	-21.766960	0.000208	2.076135	0.703414	0.000101
  11	5.0000e-01	0.2069	-21.717264	0.000204	2.042649	0.692068	0.000099
  12	5.5000e-01	0.2310	-21.656978	0.000248	2.477968	0.839558	0.000121
  13	6.0000e-01	0.2166	-21.607282	-0.000204	-2.042649	-0.692068	0.000099
  14	6.5000e-01	0.2342	-21.555142	0.000214	2.143107	0.726104	0.000104
  15	7.0000e-01	0.2679	-21.500966	0.000223	2.226822	0.754468	0.000108
  16	7.5000e-01	0.3192	-21.445160	0.000229	2.293795	0.777159	0.000112
  17	8.0000e-01	0.3305	-21.392205	0.000218	2.176593	0.737450	0.000106
  18	8.5000e-01	0.3433	-21.334770	0.000236	2.360767	0.799849	0.000115
  19	9.0000e-01	0.3786	-21.287518	0.000194	1.942191	0.658032	0.000095
  20	9.5000e-01	0.3946	-21.229268	0.000239	2.394253	0.811195	0.000116
  21	1.0000e+00	0.4091	-21.179980	0.000203	2.025906	0.686396	0.000099
  22	1.0500e+00	0.4235	-21.125396	0.000224	2.243565	0.760141	0.000109
  23	1.1000e+00	0.4428	-21.069997	0.000228	2.277052	0.771486	0.000111
  24	1.1500e+00	0.4572	-21.014599	0.000228	2.277052	0.771486	0.000111
  25	1.2000e+00	0.4829	-20.966532	0.000198	1.975677	0.669378	0.000096
  26	1.2500e+00	0.5198	-20.913578	0.000218	2.176593	0.737450	0.000106
  27	1.3000e+00	0.5182	-20.860623	-0.000218	-2.176593	-0.737450	0.000106
  28	1.3500e+00	0.5422	-20.807669	0.000218	2.176593	0.737450	0.000106
  29	1.4000e+00	0.5888	-20.750641	0.000234	2.344024	0.794177	0.000114
  30	1.4500e+00	0.5759	-20.701352	-0.000203	-2.025906	-0.686396	0.000099
  31	1.5000e+00	0.5968	-20.647583	0.000221	2.210079	0.748795	0.000108
  32	1.5500e+00	0.6353	-20.590555	0.000234	2.344024	0.794177	0.000114
  33	1.6000e+00	0.6096	-20.537600	-0.000218	-2.176593	-0.737450	0.000106
  34	1.6500e+00	0.6513	-20.487090	0.000208	2.076135	0.703414	0.000101
  35	1.7000e+00	0.6609	-20.432099	0.000226	2.260309	0.765813	0.000110
  36	1.7500e+00	0.7059	-20.380366	0.000213	2.126364	0.720432	0.000103
  37	1.8000e+00	0.7235	-20.329448	0.000209	2.092878	0.709086	0.000102
  38	1.8500e+00	0.7444	-20.276087	0.000219	2.193336	0.743122	0.000107
  39	1.9000e+00	0.7524	-20.220281	0.000229	2.293795	0.777159	0.000112
  40	1.9500e+00	0.7797	-20.173029	0.000194	1.942191	0.658032	0.000095
  41	2.0000e+00	0.8182	-20.118038	0.000226	2.260309	0.765813	0.000110
  42	2.0500e+00	0.8069	-20.063861	-0.000223	-2.226822	-0.754468	0.000108
  43	2.1000e+00	0.8535	-20.009277	0.000224	2.243565	0.760141	0.000109
  44	2.1500e+00	0.8454	-19.953064	-0.000231	-2.310538	-0.782831	0.000112
  45	2.2000e+00	0.8936	-19.904183	0.000201	2.009163	0.680723	0.000098
  46	2.2500e+00	0.9224	-19.859782	0.000182	1.824990	0.618323	0.000089
  47	2.3000e+00	0.9112	-19.806013	-0.000221	-2.210079	-0.748795	0.000108
  48	2.3500e+00	0.9641	-19.751837	0.000223	2.226822	0.754468	0.000108
  49	2.4000e+00	0.9802	-19.700104	0.000213	2.126364	0.720432	0.000103
  50	2.4500e+00	1.0091	-19.644706	0.000228	2.277052	0.771486	0.000111
  51	2.5000e+00	1.0187	-19.592158	0.000216	2.159850	0.731777	0.000105
  52	2.5500e+00	1.0267	-19.543685	0.000199	1.992420	0.675050	0.000097
  53	2.6000e+00	1.0395	-19.486249	0.000236	2.360767	0.799849	0.000115
  54	2.6500e+00	1.0524	-19.438183	0.000198	1.975677	0.669378	0.000096
  55	2.7000e+00	1.0652	-19.386043	0.000214	2.143107	0.726104	0.000104
  56	2.7500e+00	1.1310	-19.336347	0.000204	2.042649	0.692068	0.000099
  57	2.8000e+00	1.1182	-19.284615	-0.000213	-2.126364	-0.720432	0.000103
  58	2.8500e+00	1.1326	-19.232068	0.000216	2.159850	0.731777	0.000105
  59	2.9000e+00	1.1759	-19.179520	0.000216	2.159850	0.731777	0.000105
  60	2.9500e+00	1.1807	-19.126158	0.000219	2.193336	0.743122	0.000107
  61	3.0000e+00	1.1919	-19.071167	0.000226	2.260309	0.765813	0.000110
  62	3.0500e+00	1.2304	-19.024323	0.000193	1.925448	0.652359	0.000094
  63	3.1000e+00	1.2433	-18.979108	0.000186	1.858476	0.629669	0.000090
  64	3.1500e+00	1.2561	-18.924524	0.000224	2.243565	0.760141	0.000109
  65	3.2000e+00	1.2914	-18.876458	0.000198	1.975677	0.669378	0.000096
  66	3.2500e+00	1.2914	-18.820244	-0.000231	-2.310538	-0.782831	0.000112
  67	3.3000e+00	1.3251	-18.773400	0.000193	1.925448	0.652359	0.000094
  68	3.3500e+00	1.3395	-18.722482	0.000209	2.092878	0.709086	0.000102
  69	3.4000e+00	1.3861	-18.667491	0.000226	2.260309	0.765813	0.000110
  70	3.4500e+00	1.3957	-18.615758	0.000213	2.126364	0.720432	0.000103
  71	3.5000e+00	1.3941	-18.565655	-0.000206	-2.059392	-0.697741	0.000100
  72	3.5500e+00	1.4246	-18.520440	0.000186	1.858476	0.629669	0.000090
  73	3.6000e+00	1.4470	-18.474410	0.000189	1.891962	0.641014	0.000092
  74	3.6500e+00	1.4582	-18.419827	0.000224	2.243565	0.760141	0.000109
  75	3.7000e+00	1.4871	-18.370538	0.000203	2.025906	0.686396	0.000099
  76	3.7500e+00	1.4887	-18.317991	0.000216	2.159850	0.731777	0.000105
  77	3.8000e+00	1.5272	-18.267073	0.000209	2.092878	0.709086	0.000102
  78	3.8500e+00	1.5272	-18.216970	-0.000206	-2.059392	-0.697741	0.000100
  79	3.9000e+00	1.5529	-18.170533	0.000191	1.908705	0.646687	0.000093
  80	3.9500e+00	1.5930	-18.120022	0.000208	2.076135	0.703414	0.000101
  81	4.0000e+00	1.5978	-18.073585	0.000191	1.908705	0.646687	0.000093
  82	4.0500e+00	1.6347	-18.022668	0.000209	2.092878	0.709086	0.000102
  83	4.1000e+00	1.6347	-17.972972	-0.000204	-2.042649	-0.692068	0.000099
  84	4.1500e+00	1.6780	-17.920017	0.000218	2.176593	0.737450	0.000106
  85	4.2000e+00	1.6812	-17.871951	0.000198	1.975677	0.669378	0.000096
  86	4.2500e+00	1.7069	-17.823884	0.000198	1.975677	0.669378	0.000096
  87	4.3000e+00	1.7326	-17.769300	0.000224	2.243565	0.760141	0.000109
  88	4.3500e+00	1.7454	-17.722863	0.000191	1.908705	0.646687	0.000093
  89	4.4000e+00	1.7743	-17.673982	0.000201	2.009163	0.680723	0.000098
  90	4.4500e+00	1.7534	-17.625509	-0.000199	-1.992420	-0.675050	0.000097
  91	4.5000e+00	1.7983	-17.577442	0.000198	1.975677	0.669378	0.000096
  92	4.5500e+00	1.8272	-17.526932	0.000208	2.076135	0.703414	0.000101
  93	4.6000e+00	1.8561	-17.476829	0.000206	2.059392	0.697741	0.000100
  94	4.6500e+00	1.8705	-17.428762	0.000198	1.975677	0.669378	0.000096
  95	4.7000e+00	1.8753	-17.383140	0.000188	1.875219	0.635341	0.000091
  96	4.7500e+00	1.9203	-17.333037	0.000206	2.059392	0.697741	0.000100
  97	4.8000e+00	1.9122	-17.280489	-0.000216	-2.159850	-0.731777	0.000105
  98	4.8500e+00	1.9556	-17.234867	0.000188	1.875219	0.635341	0.000091
  99	4.9000e+00	1.9925	-17.185986	0.000201	2.009163	0.680723	0.000098
 100	4.9500e+00	1.9876	-17.137105	-0.000201	-2.009163	-0.680723	0.000098
 101	5.0000e+00	1.9973	-17.088631	0.000199	1.992420	0.675050	0.000097
 102	5.0500e+00	2.0294	-17.038121	0.000208	2.076135	0.703414	0.000101
 103	5.1000e+00	2.0310	-16.987203	0.000209	2.092878	0.709086	0.000102
 104	5.1500e+00	2.0470	-16.945246	0.000172	1.724532	0.584287	0.000084
 105	5.2000e+00	2.0823	-16.895551	0.000204	2.042649	0.692068	0.000099
 106	5.2500e+00	2.1272	-16.845040	0.000208	2.076135	0.703414	0.000101
 107	5.3000e+00	2.1144	-16.799418	-0.000188	-1.875219	-0.635341	0.000091
 108	5.3500e+00	2.1336	-16.747685	0.000213	2.126364	0.720432	0.000103
 109	5.4000e+00	2.1689	-16.701248	0.000191	1.908705	0.646687	0.000093
 110	5.4500e+00	2.1930	-16.658070	0.000177	1.774761	0.601305	0.000086
 111	5.5000e+00	2.2122	-16.608374	0.000204	2.042649	0.692068	0.000099
 112	5.5500e+00	2.2251	-16.559086	0.000203	2.025906	0.686396	0.000099
 113	5.6000e+00	2.2491	-16.508168	0.000209	2.092878	0.709086	0.000102
 114	5.6500e+00	2.2716	-16.462546	0.000188	1.875219	0.635341	0.000091
 115	5.7000e+00	2.3085	-16.418553	0.000181	1.808247	0.612651	0.000088
 116	5.7500e+00	2.2973	-16.373338	-0.000186	-1.858476	-0.629669	0.000090
 117	5.8000e+00	2.3117	-16.319568	0.000221	2.210079	0.748795	0.000108
 118	5.8500e+00	2.3486	-16.273539	0.000189	1.891962	0.641014	0.000092
 119	5.9000e+00	2.3759	-16.227102	0.000191	1.908705	0.646687	0.000093
 120	5.9500e+00	2.3502	-16.180665	-0.000191	-1.908705	-0.646687	0.000093
 121	6.0000e+00	2.3983	-16.135449	0.000186	1.858476	0.629669	0.000090
 122	6.0500e+00	2.4304	-16.084124	0.000211	2.109621	0.714759	0.000103
 123	6.1000e+00	2.4529	-16.040539	0.000179	1.791504	0.606978	0.000087
 124	6.1500e+00	2.4577	-15.992472	0.000198	1.975677	0.669378	0.000096
 125	6.2000e+00	2.4914	-15.950109	0.000174	1.741275	0.589960	0.000085
 126	6.2500e+00	2.4785	-15.906116	-0.000181	-1.808247	-0.612651	0.000088
 127	6.3000e+00	2.5138	-15.861715	0.000182	1.824990	0.618323	0.000089
 128	6.3500e+00	2.5684	-15.816093	0.000188	1.875219	0.635341	0.000091
 129	6.4000e+00	2.5636	-15.769656	-0.000191	-1.908705	-0.646687	0.000093
 130	6.4500e+00	2.5860	-15.723219	0.000191	1.908705	0.646687	0.000093
 131	6.5000e+00	2.5989	-15.682077	0.000169	1.691046	0.572942	0.000082
 132	6.5500e+00	2.6149	-15.639306	0.000176	1.758018	0.595633	0.000086
 133	6.6000e+00	2.6646	-15.599387	0.000164	1.640817	0.555924	0.000080
 134	6.6500e+00	2.7015	-15.552135	0.000194	1.942191	0.658032	0.000095
 135	6.7000e+00	2.6999	-15.508549	-0.000179	-1.791504	-0.606978	0.000087
 136	6.7500e+00	2.6887	-15.468222	-0.000166	-1.657560	-0.561596	0.000081
 137	6.8000e+00	2.7400	-15.421378	0.000193	1.925448	0.652359	0.000094
 138	6.8500e+00	2.7513	-15.377385	0.000181	1.808247	0.612651	0.000088
 139	6.9000e+00	2.7513	-15.333392	-0.000181	-1.808247	-0.612651	0.000088
 140	6.9500e+00	2.8074	-15.291436	0.000172	1.724532	0.584287	0.000084
 141	7.0000e+00	2.7994	-15.247850	-0.000179	-1.791504	-0.606978	0.000087
 142	7.0500e+00	2.8315	-15.205079	0.000176	1.758018	0.595633	0.000086
 143	7.1000e+00	2.8555	-15.157827	0.000194	1.942191	0.658032	0.000095
 144	7.1500e+00	2.8732	-15.117093	0.000167	1.674303	0.567269	0.000081
 145	7.2000e+00	2.8587	-15.066990	-0.000206	-2.059392	-0.697741	0.000100
 146	7.2500e+00	2.9341	-15.030329	0.000151	1.506872	0.510542	0.000073
 147	7.3000e+00	2.9325	-14.986743	-0.000179	-1.791504	-0.606978	0.000087
 148	7.3500e+00	2.9518	-14.943158	0.000179	1.791504	0.606978	0.000087
 149	7.4000e+00	2.9550	-14.892647	0.000208	2.076135	0.703414	0.000101
 150	7.4500e+00	2.9903	-14.849876	0.000176	1.758018	0.595633	0.000086
 151	7.5000e+00	2.9935	-14.809142	0.000167	1.674303	0.567269	0.000081
 152	7.5500e+00	3.0208	-14.764742	0.000182	1.824990	0.618323	0.000089
 153	7.6000e+00	3.0593	-14.721971	0.000176	1.758018	0.595633	0.000086
 154	7.6500e+00	3.0464	-14.678385	-0.000179	-1.791504	-0.606978	0.000087
 155	7.7000e+00	3.0561	-14.633985	0.000182	1.824990	0.618323	0.000089
 156	7.7500e+00	3.1363	-14.591214	0.000176	1.758018	0.595633	0.000086
 157	7.8000e+00	3.1234	-14.550887	-0.000166	-1.657560	-0.561596	0.000081
 158	7.8500e+00	3.1716	-14.504043	0.000193	1.925448	0.652359	0.000094
 159	7.9000e+00	3.1700	-14.462494	-0.000171	-1.707789	-0.578614	0.000083
 160	7.9500e+00	3.2053	-14.417279	0.000186	1.858476	0.629669	0.000090
 161	8.0000e+00	3.1764	-14.372471	-0.000184	-1.841733	-0.623996	0.000090
 162	8.0500e+00	3.2149	-14.327663	0.000184	1.841733	0.623996	0.000090
 163	8.1000e+00	3.2582	-14.282856	0.000184	1.841733	0.623996	0.000090
 164	8.1500e+00	3.2598	-14.241307	0.000171	1.707789	0.578614	0.000083
 165	8.2000e+00	3.2999	-14.196499	0.000184	1.841733	0.623996	0.000090
 166	8.2500e+00	3.3176	-14.150877	0.000188	1.875219	0.635341	0.000091
 167	8.3000e+00	3.3336	-14.105662	0.000186	1.858476	0.629669	0.000090
 168	8.3500e+00	3.3641	-14.061261	0.000182	1.824990	0.618323	0.000089
 169	8.4000e+00	3.3416	-14.020934	-0.000166	-1.657560	-0.561596	0.000081
 170	8.4500e+00	3.3673	-13.978978	0.000172	1.724532	0.584287	0.000084
 171	8.5000e+00	3.3785	-13.930504	0.000199	1.992420	0.675050	0.000097
 172	8.5500e+00	3.4363	-13.887733	0.000176	1.758018	0.595633	0.000086
 173	8.6000e+00	3.4539	-13.846184	0.000171	1.707789	0.578614	0.000083
 174	8.6500e+00	3.4619	-13.798933	0.000194	1.942191	0.658032	0.000095
