»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/2/2025 - 17:12:2
Configured:	10/02/25 12:40:15 PM
Executed:	10/02/25 05:10:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0305	-56.360477	-0.001622	-16.217656	-5.494691	-0.131071
   2	5.0000e-04	0.0674	-57.015832	-0.001622	-16.217656	-5.494691	-0.131071
   3	1.0000e-03	0.1444	-56.578929	0.001081	10.811771	3.663127	0.087381
   4	1.5000e-03	0.1861	-56.688154	-0.000270	-2.702943	-0.915782	-0.021845
   5	2.0000e-03	0.2246	-56.360477	0.000811	8.108828	2.747345	0.065535
   6	2.5000e-03	0.2342	-56.542520	-0.000450	-4.504905	-1.526303	-0.036409
   7	3.0000e-03	0.2775	-56.214843	0.000811	8.108828	2.747345	0.065535
   8	3.5000e-03	0.3032	-56.142026	0.000180	1.801962	0.610521	0.014563
   9	4.0000e-03	0.3674	-55.668714	0.001171	11.712752	3.968388	0.094662
  10	4.5000e-03	0.3962	-55.559488	0.000270	2.702943	0.915782	0.021845
  11	5.0000e-03	0.4347	-55.158994	0.000991	9.910790	3.357867	0.080099
  12	5.5000e-03	0.4861	-55.195403	-0.000090	-0.900981	-0.305261	-0.007282
  13	6.0000e-03	0.5262	-54.649274	0.001351	13.514714	4.578909	0.109226
  14	6.5000e-03	0.5920	-54.212371	0.001081	10.811771	3.663127	0.087381
  15	7.0000e-03	0.6224	-54.030328	0.000450	4.504905	1.526303	0.036409
  16	7.5000e-03	0.6401	-53.374974	0.001622	16.217656	5.494691	0.131071
  17	8.0000e-03	0.7235	-53.374974	0.000000	0.000000	0.000000	0.000000
  18	8.5000e-03	0.7267	-53.047297	0.000811	8.108828	2.747345	0.065535
  19	9.0000e-03	0.7668	-52.428351	0.001532	15.316675	5.189430	0.123789
  20	9.5000e-03	0.8310	-52.646802	-0.000541	-5.405885	-1.831564	-0.043690
  21	1.0000e-02	0.8535	-52.137082	0.001261	12.613733	4.273648	0.101944
  22	1.0500e-02	0.8920	-51.627362	0.001261	12.613733	4.273648	0.101944
  23	1.1000e-02	0.9385	-51.226868	0.000991	9.910790	3.357867	0.080099
  24	1.1500e-02	0.9786	-51.044825	0.000450	4.504905	1.526303	0.036409
