»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/2/2025 - 17:24:54
Configured:	10/02/25 12:40:15 PM
Executed:	10/02/25 05:24:12 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0209	-15.224428	0.000084	0.841924	0.285252	0.000037
   2	5.0000e-02	0.0321	-15.205690	0.000084	0.841924	0.285252	0.000037
   3	1.0000e-01	0.0770	-15.166993	0.000174	1.738757	0.589107	0.000077
   4	1.5000e-01	0.0866	-15.130332	0.000165	1.647243	0.558101	0.000073
   5	2.0000e-01	0.0963	-15.086339	0.000198	1.976692	0.669721	0.000088
   6	2.5000e-01	0.0995	-15.044382	0.000189	1.885178	0.638716	0.000084
   7	3.0000e-01	0.1444	-15.002426	0.000189	1.885178	0.638716	0.000084
   8	3.5000e-01	0.1684	-14.959655	0.000192	1.921784	0.651118	0.000086
   9	4.0000e-01	0.1781	-14.918514	0.000185	1.848573	0.626313	0.000082
  10	4.5000e-01	0.1957	-14.877372	0.000185	1.848573	0.626313	0.000082
  11	5.0000e-01	0.2326	-14.838674	0.000174	1.738757	0.589107	0.000077
  12	5.5000e-01	0.2406	-14.791423	0.000212	2.123113	0.719330	0.000095
  13	6.0000e-01	0.2519	-14.750688	0.000183	1.830270	0.620112	0.000081
  14	6.5000e-01	0.2807	-14.711991	0.000174	1.738757	0.589107	0.000077
  15	7.0000e-01	0.3000	-14.667998	0.000198	1.976692	0.669721	0.000088
  16	7.5000e-01	0.3208	-14.626856	0.000185	1.848573	0.626313	0.000082
  17	8.0000e-01	0.3321	-14.588159	0.000174	1.738757	0.589107	0.000077
  18	8.5000e-01	0.3449	-14.542944	0.000203	2.031600	0.688325	0.000090
  19	9.0000e-01	0.3914	-14.505876	0.000167	1.665546	0.564302	0.000074
  20	9.5000e-01	0.4011	-14.465141	0.000183	1.830270	0.620112	0.000081
  21	1.0000e+00	0.4171	-14.425629	0.000178	1.775362	0.601509	0.000079
  22	1.0500e+00	0.4460	-14.386524	0.000176	1.757059	0.595308	0.000078
  23	1.1000e+00	0.4636	-14.347827	0.000174	1.738757	0.589107	0.000077
  24	1.1500e+00	0.4732	-14.302612	0.000203	2.031600	0.688325	0.000090
  25	1.2000e+00	0.4989	-14.265136	0.000168	1.683848	0.570503	0.000075
  26	1.2500e+00	0.5486	-14.226031	0.000176	1.757059	0.595308	0.000078
  27	1.3000e+00	0.5438	-14.187334	-0.000174	-1.738757	-0.589107	0.000077
  28	1.3500e+00	0.5519	-14.147414	0.000179	1.793665	0.607710	0.000080
  29	1.4000e+00	0.6032	-14.110346	0.000167	1.665546	0.564302	0.000074
  30	1.4500e+00	0.6208	-14.070834	0.000178	1.775362	0.601509	0.000079
  31	1.5000e+00	0.6032	-14.032951	-0.000170	-1.702151	-0.576704	0.000076
  32	1.5500e+00	0.6321	-13.994253	0.000174	1.738757	0.589107	0.000077
  33	1.6000e+00	0.6417	-13.948631	0.000205	2.049903	0.694526	0.000091
  34	1.6500e+00	0.6642	-13.909526	0.000176	1.757059	0.595308	0.000078
  35	1.7000e+00	0.6978	-13.868385	0.000185	1.848573	0.626313	0.000082
  36	1.7500e+00	0.7347	-13.830909	0.000168	1.683848	0.570503	0.000075
  37	1.8000e+00	0.7347	-13.796285	-0.000156	-1.555730	-0.527095	0.000069
  38	1.8500e+00	0.7716	-13.754329	0.000189	1.885178	0.638716	0.000084
  39	1.9000e+00	0.8021	-13.717260	0.000167	1.665546	0.564302	0.000074
  40	1.9500e+00	0.7861	-13.680192	-0.000167	-1.665546	-0.564302	0.000074
  41	2.0000e+00	0.8021	-13.642309	0.000170	1.702151	0.576704	0.000076
  42	2.0500e+00	0.8406	-13.602390	0.000179	1.793665	0.607710	0.000080
  43	2.1000e+00	0.8470	-13.561248	0.000185	1.848573	0.626313	0.000082
  44	2.1500e+00	0.8631	-13.521736	0.000178	1.775362	0.601509	0.000079
  45	2.2000e+00	0.9128	-13.483038	0.000174	1.738757	0.589107	0.000077
  46	2.2500e+00	0.9433	-13.450858	0.000145	1.445913	0.489889	0.000064
  47	2.3000e+00	0.9433	-13.407273	-0.000196	-1.958389	-0.663520	0.000087
  48	2.3500e+00	0.9593	-13.375093	0.000145	1.445913	0.489889	0.000064
  49	2.4000e+00	0.9722	-13.331507	0.000196	1.958389	0.663520	0.000087
  50	2.4500e+00	1.0107	-13.293624	0.000170	1.702151	0.576704	0.000076
  51	2.5000e+00	1.0171	-13.254112	0.000178	1.775362	0.601509	0.000079
  52	2.5500e+00	1.0395	-13.217451	0.000165	1.647243	0.558101	0.000073
  53	2.6000e+00	1.0700	-13.181198	0.000163	1.628940	0.551900	0.000073
  54	2.6500e+00	1.0764	-13.141685	0.000178	1.775362	0.601509	0.000079
  55	2.7000e+00	1.0909	-13.104617	0.000167	1.665546	0.564302	0.000074
  56	2.7500e+00	1.1149	-13.066327	0.000172	1.720454	0.582906	0.000077
  57	2.8000e+00	1.1422	-13.027629	0.000174	1.738757	0.589107	0.000077
  58	2.8500e+00	1.1550	-12.992191	0.000159	1.592335	0.539498	0.000071
  59	2.9000e+00	1.1887	-12.954308	0.000170	1.702151	0.576704	0.000076
  60	2.9500e+00	1.2160	-12.918462	0.000161	1.610638	0.545699	0.000072
  61	3.0000e+00	1.2128	-12.877320	-0.000185	-1.848573	-0.626313	0.000082
  62	3.0500e+00	1.2369	-12.842289	0.000157	1.574032	0.533297	0.000070
  63	3.1000e+00	1.2609	-12.809294	0.000148	1.482519	0.502291	0.000066
  64	3.1500e+00	1.2641	-12.769782	0.000178	1.775362	0.601509	0.000079
