»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/2/2025 - 18:45:6
Configured:	10/02/25 12:40:15 PM
Executed:	10/02/25 06:44:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0417	-23.119446	-0.000632	-6.317935	-2.140574	0.050972
   2	5.0000e-04	0.0385	-22.864586	-0.000632	-6.317935	-2.140574	0.050972
   3	1.0000e-03	0.1187	-22.718952	0.000361	3.610249	1.223185	0.029127
   4	1.5000e-03	0.1700	-22.682543	0.000090	0.902562	0.305796	0.007282
   5	2.0000e-03	0.2406	-22.245641	0.001083	10.830746	3.669556	0.087381
   6	2.5000e-03	0.2583	-22.427683	-0.000451	-4.512811	-1.528982	-0.036409
   7	3.0000e-03	0.2567	-22.282049	-0.000361	-3.610249	-1.223185	0.029127
   8	3.5000e-03	0.3369	-21.990780	0.000722	7.220498	2.446371	0.058254
   9	4.0000e-03	0.3914	-22.172823	-0.000451	-4.512811	-1.528982	-0.036409
  10	4.5000e-03	0.4011	-21.917963	0.000632	6.317935	2.140574	0.050972
  11	5.0000e-03	0.4347	-21.881555	0.000090	0.902562	0.305796	0.007282
  12	5.5000e-03	0.4765	-21.553878	0.000812	8.123060	2.752167	0.065535
  13	6.0000e-03	0.5085	-21.444652	0.000271	2.707687	0.917389	0.021845
  14	6.5000e-03	0.5839	-21.553878	-0.000271	-2.707687	-0.917389	-0.021845
  15	7.0000e-03	0.6096	-21.007749	0.001354	13.538433	4.586945	0.109226
  16	7.5000e-03	0.6337	-21.080566	-0.000181	-1.805124	-0.611593	-0.014563
  17	8.0000e-03	0.6754	-21.044157	0.000090	0.902562	0.305796	0.007282
  18	8.5000e-03	0.7091	-20.862115	0.000451	4.512811	1.528982	0.036409
  19	9.0000e-03	0.7909	-20.607255	0.000632	6.317935	2.140574	0.050972
  20	9.5000e-03	0.8037	-20.498029	0.000271	2.707687	0.917389	0.021845
  21	1.0000e-02	0.8567	-20.315986	0.000451	4.512811	1.528982	0.036409
  22	1.0500e-02	0.8679	-20.279577	0.000090	0.902562	0.305796	0.007282
  23	1.1000e-02	0.9305	-20.061126	0.000542	5.415373	1.834778	0.043690
  24	1.1500e-02	0.9738	-20.061126	0.000000	0.000000	0.000000	0.000000
