»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/7/2025 - 18:31:57
Configured:	10/07/25 05:55:09 PM
Executed:	10/07/25 06:30:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0401	-29.472743	-0.000634	-6.336911	-2.147003	-0.050972
   2	5.0000e-04	0.0481	-29.727603	-0.000634	-6.336911	-2.147003	-0.050972
   3	1.0000e-03	0.1091	-29.108657	0.001539	15.389640	5.214151	0.123789
   4	1.5000e-03	0.1348	-28.853797	0.000634	6.336911	2.147003	0.050972
   5	2.0000e-03	0.1861	-28.999432	-0.000362	-3.621092	-1.226859	-0.029127
   6	2.5000e-03	0.2342	-28.817389	0.000453	4.526365	1.533574	0.036409
   7	3.0000e-03	0.2647	-28.671754	0.000362	3.621092	1.226859	0.029127
   8	3.5000e-03	0.2888	-28.744572	-0.000181	-1.810546	-0.613430	-0.014563
   9	4.0000e-03	0.3241	-28.271260	0.001177	11.768549	3.987292	0.094662
  10	4.5000e-03	0.3882	-27.907174	0.000905	9.052730	3.067148	0.072817
  11	5.0000e-03	0.4396	-27.870766	0.000091	0.905273	0.306715	0.007282
  12	5.5000e-03	0.4813	-27.979991	-0.000272	-2.715819	-0.920144	-0.021845
  13	6.0000e-03	0.5085	-27.433863	0.001358	13.579095	4.600722	0.109226
  14	6.5000e-03	0.5711	-27.324637	0.000272	2.715819	0.920144	0.021845
  15	7.0000e-03	0.5904	-27.106186	0.000543	5.431638	1.840289	0.043690
  16	7.5000e-03	0.6160	-27.069777	0.000091	0.905273	0.306715	0.007282
  17	8.0000e-03	0.6401	-26.669283	0.000996	9.958003	3.373863	0.080099
  18	8.5000e-03	0.7235	-26.742100	-0.000181	-1.810546	-0.613430	-0.014563
  19	9.0000e-03	0.7347	-26.086745	0.001629	16.294913	5.520866	0.131071
  20	9.5000e-03	0.7957	-25.868294	0.000543	5.431638	1.840289	0.043690
  21	1.0000e-02	0.8294	-26.195971	-0.000815	-8.147457	-2.760433	-0.065535
  22	1.0500e-02	0.8535	-26.013928	0.000453	4.526365	1.533574	0.036409
  23	1.1000e-02	0.9016	-25.467800	0.001358	13.579095	4.600722	0.109226
  24	1.1500e-02	0.9240	-25.103714	0.000905	9.052730	3.067148	0.072817
