»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 16:36:12
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 04:35:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0401	-75.074486	-0.001448	-14.484946	-4.907633	0.116507
   2	5.0000e-04	0.0257	-74.491948	-0.001448	-14.484946	-4.907633	0.116507
   3	1.0000e-03	0.0658	-74.673991	-0.000453	-4.526546	-1.533635	-0.036409
   4	1.5000e-03	0.1219	-74.601174	0.000181	1.810618	0.613454	0.014563
   5	2.0000e-03	0.1813	-74.309906	0.000724	7.242473	2.453816	0.058254
   6	2.5000e-03	0.2037	-74.164271	0.000362	3.621237	1.226908	0.029127
   7	3.0000e-03	0.2230	-74.127863	0.000091	0.905309	0.306727	0.007282
   8	3.5000e-03	0.2711	-73.909411	0.000543	5.431855	1.840362	0.043690
   9	4.0000e-03	0.3385	-73.290465	0.001539	15.390256	5.214360	0.123789
  10	4.5000e-03	0.3754	-73.363283	-0.000181	-1.810618	-0.613454	-0.014563
  11	5.0000e-03	0.4091	-73.290465	0.000181	1.810618	0.613454	0.014563
  12	5.5000e-03	0.4604	-73.217648	0.000181	1.810618	0.613454	0.014563
  13	6.0000e-03	0.5053	-72.780745	0.001086	10.863710	3.680725	0.087381
  14	6.5000e-03	0.5390	-72.853563	-0.000181	-1.810618	-0.613454	-0.014563
  15	7.0000e-03	0.5679	-72.926380	-0.000181	-1.810618	-0.613454	-0.014563
  16	7.5000e-03	0.6000	-72.635111	0.000724	7.242473	2.453816	0.058254
  17	8.0000e-03	0.6433	-72.562294	0.000181	1.810618	0.613454	0.014563
  18	8.5000e-03	0.6962	-72.052574	0.001267	12.674328	4.294179	0.101944
  19	9.0000e-03	0.7412	-71.979757	0.000181	1.810618	0.613454	0.014563
  20	9.5000e-03	0.7829	-71.834122	0.000362	3.621237	1.226908	0.029127
  21	1.0000e-02	0.8150	-72.016165	-0.000453	-4.526546	-1.533635	-0.036409
  22	1.0500e-02	0.8486	-71.470037	0.001358	13.579637	4.600906	0.109226
  23	1.1000e-02	0.9016	-71.724897	-0.000634	-6.337164	-2.147089	-0.050972
  24	1.1500e-02	0.9385	-71.215177	0.001267	12.674328	4.294179	0.101944
