»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 17:23:28
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 05:22:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0385	-18.404536	0.000449	4.486452	1.520051	0.036409
   2	5.0000e-04	0.0642	-18.222493	0.000449	4.486452	1.520051	0.036409
   3	1.0000e-03	0.1075	-18.186084	0.000090	0.897290	0.304010	0.007282
   4	1.5000e-03	0.1540	-18.295310	-0.000269	-2.691871	-0.912031	-0.021845
   5	2.0000e-03	0.2069	-18.149676	0.000359	3.589161	1.216041	0.029127
   6	2.5000e-03	0.2551	-18.076858	0.000179	1.794581	0.608020	0.014563
   7	3.0000e-03	0.2422	-18.404536	0.000808	8.075613	2.736092	-0.065535
   8	3.5000e-03	0.3192	-17.821998	0.001436	14.356646	4.864163	0.116507
   9	4.0000e-03	0.3610	-17.894816	-0.000179	-1.794581	-0.608020	-0.014563
  10	4.5000e-03	0.4155	-17.858407	0.000090	0.897290	0.304010	0.007282
  11	5.0000e-03	0.4107	-17.567138	-0.000718	-7.178323	-2.432082	0.058254
  12	5.5000e-03	0.4588	-17.530730	0.000090	0.897290	0.304010	0.007282
  13	6.0000e-03	0.5085	-17.603547	-0.000179	-1.794581	-0.608020	-0.014563
  14	6.5000e-03	0.5663	-17.457913	0.000359	3.589161	1.216041	0.029127
  15	7.0000e-03	0.5984	-17.093827	0.000897	8.972904	3.040102	0.072817
  16	7.5000e-03	0.6545	-17.457913	-0.000897	-8.972904	-3.040102	-0.072817
  17	8.0000e-03	0.6754	-17.093827	0.000897	8.972904	3.040102	0.072817
  18	8.5000e-03	0.7492	-17.130235	-0.000090	-0.897290	-0.304010	-0.007282
  19	9.0000e-03	0.7764	-17.021010	0.000269	2.691871	0.912031	0.021845
  20	9.5000e-03	0.7861	-16.984601	0.000090	0.897290	0.304010	0.007282
  21	1.0000e-02	0.8470	-16.474881	0.001256	12.562065	4.256143	0.101944
  22	1.0500e-02	0.8807	-16.584107	-0.000269	-2.691871	-0.912031	-0.021845
  23	1.1000e-02	0.9080	-16.620515	-0.000090	-0.897290	-0.304010	-0.007282
  24	1.1500e-02	0.9898	-16.474881	0.000359	3.589161	1.216041	0.029127
  25	1.2000e-02	1.0171	-16.256430	0.000538	5.383742	1.824061	0.043690
  26	1.2500e-02	1.0444	-16.110795	0.000359	3.589161	1.216041	0.029127
  27	1.3000e-02	1.0636	-16.365655	-0.000628	-6.281033	-2.128071	-0.050972
  28	1.3500e-02	1.1198	-16.110795	0.000628	6.281033	2.128071	0.050972
  29	1.4000e-02	1.1374	-15.928752	0.000449	4.486452	1.520051	0.036409
  30	1.4500e-02	1.1855	-16.037978	-0.000269	-2.691871	-0.912031	-0.021845
  31	1.5000e-02	1.2625	-16.001570	0.000090	0.897290	0.304010	0.007282
  32	1.5500e-02	1.2962	-15.491849	0.001256	12.562065	4.256143	0.101944
  33	1.6000e-02	1.3010	-15.783118	-0.000718	-7.178323	-2.432082	-0.058254
  34	1.6500e-02	1.3556	-15.455441	0.000808	8.075613	2.736092	0.065535
  35	1.7000e-02	1.3796	-15.637484	-0.000449	-4.486452	-1.520051	-0.036409
  36	1.7500e-02	1.4486	-15.382624	0.000628	6.281033	2.128071	0.050972
  37	1.8000e-02	1.4951	-15.273398	0.000269	2.691871	0.912031	0.021845
  38	1.8500e-02	1.5208	-15.236989	0.000090	0.897290	0.304010	0.007282
  39	1.9000e-02	1.5673	-15.127764	0.000269	2.691871	0.912031	0.021845
  40	1.9500e-02	1.6058	-14.690861	0.001077	10.767484	3.648122	0.087381
  41	2.0000e-02	1.6251	-14.982129	-0.000718	-7.178323	-2.432082	-0.058254
  42	2.0500e-02	1.6812	-14.581635	0.000987	9.870194	3.344112	0.080099
  43	2.1000e-02	1.7037	-14.508818	0.000179	1.794581	0.608020	0.014563
  44	2.1500e-02	1.7470	-14.690861	-0.000449	-4.486452	-1.520051	-0.036409
  45	2.2000e-02	1.7999	-14.399592	0.000718	7.178323	2.432082	0.058254
  46	2.2500e-02	1.8208	-14.363184	0.000090	0.897290	0.304010	0.007282
  47	2.3000e-02	1.8657	-14.326775	0.000090	0.897290	0.304010	0.007282
  48	2.3500e-02	1.9138	-14.290366	0.000090	0.897290	0.304010	0.007282
  49	2.4000e-02	1.9748	-14.035506	0.000628	6.281033	2.128071	0.050972
  50	2.4500e-02	2.0037	-13.999098	0.000090	0.897290	0.304010	0.007282
  51	2.5000e-02	2.0326	-13.744238	0.000628	6.281033	2.128071	0.050972
  52	2.5500e-02	2.0775	-13.926281	-0.000449	-4.486452	-1.520051	-0.036409
  53	2.6000e-02	2.1417	-13.635012	0.000718	7.178323	2.432082	0.058254
  54	2.6500e-02	2.1433	-14.071915	-0.001077	-10.767484	-3.648122	-0.087381
  55	2.7000e-02	2.1962	-13.452969	0.001525	15.253936	5.168174	0.123789
  56	2.7500e-02	2.2347	-13.452969	0.000000	0.000000	0.000000	0.000000
  57	2.8000e-02	2.2844	-13.161701	0.000718	7.178323	2.432082	0.058254
  58	2.8500e-02	2.3181	-13.234518	-0.000179	-1.794581	-0.608020	-0.014563
  59	2.9000e-02	2.3614	-13.525786	-0.000718	-7.178323	-2.432082	-0.058254
  60	2.9500e-02	2.4176	-13.016066	0.001256	12.562065	4.256143	0.101944
  61	3.0000e-02	2.4497	-12.979658	0.000090	0.897290	0.304010	0.007282
  62	3.0500e-02	2.4721	-13.125292	-0.000359	-3.589161	-1.216041	-0.029127
  63	3.1000e-02	2.5459	-12.724798	0.000987	9.870194	3.344112	0.080099
  64	3.1500e-02	2.5764	-12.542755	0.000449	4.486452	1.520051	0.036409
  65	3.2000e-02	2.6085	-12.615572	-0.000179	-1.794581	-0.608020	-0.014563
  66	3.2500e-02	2.6358	-12.542755	0.000179	1.794581	0.608020	0.014563
  67	3.3000e-02	2.6614	-12.651980	-0.000269	-2.691871	-0.912031	-0.021845
  68	3.3500e-02	2.6999	-12.033035	0.001525	15.253936	5.168174	0.123789
  69	3.4000e-02	2.7577	-12.397120	-0.000897	-8.972904	-3.040102	-0.072817
  70	3.4500e-02	2.8299	-11.923809	0.001166	11.664775	3.952133	0.094662
  71	3.5000e-02	2.8411	-12.069443	-0.000359	-3.589161	-1.216041	-0.029127
  72	3.5500e-02	2.8844	-12.215078	-0.000359	-3.589161	-1.216041	-0.029127
  73	3.6000e-02	2.9197	-11.778175	0.001077	10.767484	3.648122	0.087381
  74	3.6500e-02	2.9486	-11.778175	0.000000	0.000000	0.000000	0.000000
  75	3.7000e-02	3.0079	-11.850992	-0.000179	-1.794581	-0.608020	-0.014563
  76	3.7500e-02	3.0432	-11.705357	0.000359	3.589161	1.216041	0.029127
  77	3.8000e-02	3.0496	-11.632540	0.000179	1.794581	0.608020	0.014563
  78	3.8500e-02	3.1154	-11.414089	0.000538	5.383742	1.824061	0.043690
  79	3.9000e-02	3.1700	-11.559723	-0.000359	-3.589161	-1.216041	-0.029127
  80	3.9500e-02	3.1956	-11.341272	0.000538	5.383742	1.824061	0.043690
  81	4.0000e-02	3.2277	-11.486906	-0.000359	-3.589161	-1.216041	-0.029127
  82	4.0500e-02	3.2197	-11.377680	-0.000269	-2.691871	-0.912031	0.021845
  83	4.1000e-02	3.3111	-11.086412	0.000718	7.178323	2.432082	0.058254
  84	4.1500e-02	3.3416	-10.795143	0.000718	7.178323	2.432082	0.058254
  85	4.2000e-02	3.4138	-10.867960	-0.000179	-1.794581	-0.608020	-0.014563
  86	4.2500e-02	3.4523	-10.904369	-0.000090	-0.897290	-0.304010	-0.007282
  87	4.3000e-02	3.4716	-10.394649	0.001256	12.562065	4.256143	0.101944
  88	4.3500e-02	3.5261	-10.831552	-0.001077	-10.767484	-3.648122	-0.087381
  89	4.4000e-02	3.5550	-10.358240	0.001166	11.664775	3.952133	0.094662
  90	4.4500e-02	3.5630	-10.576692	-0.000538	-5.383742	-1.824061	-0.043690
  91	4.5000e-02	3.6657	-10.540283	0.000090	0.897290	0.304010	0.007282
  92	4.5500e-02	3.6817	-10.503874	0.000090	0.897290	0.304010	0.007282
  93	4.6000e-02	3.7282	-9.812111	0.001705	17.048517	5.776194	0.138353
  94	4.6500e-02	3.7587	-9.921337	-0.000269	-2.691871	-0.912031	-0.021845
  95	4.7000e-02	3.8020	-10.103380	-0.000449	-4.486452	-1.520051	-0.036409
  96	4.7500e-02	3.8197	-9.994154	0.000269	2.691871	0.912031	0.021845
  97	4.8000e-02	3.8774	-9.884929	0.000269	2.691871	0.912031	0.021845
  98	4.8500e-02	3.8999	-10.066972	-0.000449	-4.486452	-1.520051	-0.036409
  99	4.9000e-02	3.9191	-9.775703	0.000718	7.178323	2.432082	0.058254
 100	4.9500e-02	3.9913	-9.338800	0.001077	10.767484	3.648122	0.087381
 101	5.0000e-02	4.0571	-9.448026	-0.000269	-2.691871	-0.912031	-0.021845
 102	5.0500e-02	4.0796	-9.520843	-0.000179	-1.794581	-0.608020	-0.014563
 103	5.1000e-02	4.1293	-9.775703	-0.000628	-6.281033	-2.128071	-0.050972
 104	5.1500e-02	4.1453	-9.011123	0.001884	18.843098	6.384214	0.152916
