»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 18:14:6
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 06:13:41 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	\
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0193	-33.641525	-0.002057	-20.571434	-6.969790	-0.167479
   2	5.0000e-04	0.0545	-34.478922	-0.002057	-20.571434	-6.969790	-0.167479
   3	1.0000e-03	0.1315	-33.896385	0.001431	14.310563	4.848550	0.116507
   4	1.5000e-03	0.1717	-34.478922	-0.001431	-14.310563	-4.848550	-0.116507
   5	2.0000e-03	0.1893	-33.969202	0.001252	12.521742	4.242481	0.101944
   6	2.5000e-03	0.2326	-34.114837	-0.000358	-3.577641	-1.212137	-0.029127
   7	3.0000e-03	0.2872	-33.641525	0.001163	11.627332	3.939447	0.094662
   8	3.5000e-03	0.3241	-33.823568	-0.000447	-4.472051	-1.515172	-0.036409
   9	4.0000e-03	0.3754	-33.677934	0.000358	3.577641	1.212137	0.029127
  10	4.5000e-03	0.4027	-33.896385	-0.000537	-5.366461	-1.818206	-0.043690
  11	5.0000e-03	0.4267	-33.241031	0.001610	16.099383	5.454619	0.131071
  12	5.5000e-03	0.4909	-32.913354	0.000805	8.049692	2.727309	0.065535
  13	6.0000e-03	0.5085	-33.241031	-0.000805	-8.049692	-2.727309	-0.065535
  14	6.5000e-03	0.6064	-32.913354	0.000805	8.049692	2.727309	0.065535
  15	7.0000e-03	0.5888	-32.549268	-0.000894	-8.944102	-3.030344	0.072817
  16	7.5000e-03	0.6417	-32.440042	0.000268	2.683231	0.909103	0.021845
  17	8.0000e-03	0.7107	-32.257999	0.000447	4.472051	1.515172	0.036409
  18	8.5000e-03	0.7107	-31.966731	-0.000716	-7.155281	-2.424275	0.058254
  19	9.0000e-03	0.7412	-31.675462	0.000716	7.155281	2.424275	0.058254
  20	9.5000e-03	0.8246	-31.457010	0.000537	5.366461	1.818206	0.043690
  21	1.0000e-02	0.8551	-30.838065	0.001520	15.204973	5.151584	0.123789
  22	1.0500e-02	0.8887	-30.983699	-0.000358	-3.577641	-1.212137	-0.029127
  23	1.1000e-02	0.9289	-30.765248	0.000537	5.366461	1.818206	0.043690
  24	1.1500e-02	1.0075	-30.728839	0.000089	0.894410	0.303034	0.007282
