»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 18:22:34
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 06:22:07 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	\
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0353	-12.614584	0.000088	0.882471	0.298989	0.000039
   2	5.0000e-02	0.0545	-12.595032	0.000088	0.882471	0.298989	0.000039
   3	1.0000e-01	0.0658	-12.560408	0.000156	1.562708	0.529460	0.000069
   4	1.5000e-01	0.0786	-12.528228	0.000145	1.452399	0.492086	0.000064
   5	2.0000e-01	0.0995	-12.491159	0.000167	1.673017	0.566834	0.000074
   6	2.5000e-01	0.0898	-12.454906	-0.000164	-1.636247	-0.554376	0.000073
   7	3.0000e-01	0.1380	-12.411320	0.000197	1.967174	0.666497	0.000087
   8	3.5000e-01	0.1636	-12.375474	0.000162	1.617863	0.548147	0.000072
   9	4.0000e-01	0.1877	-12.336369	0.000176	1.764941	0.597978	0.000078
  10	4.5000e-01	0.1861	-12.298079	-0.000173	-1.728172	-0.585520	0.000077
  11	5.0000e-01	0.2198	-12.264270	0.000153	1.525939	0.517002	0.000068
  12	5.5000e-01	0.2471	-12.224757	0.000178	1.783326	0.604207	0.000079
  13	6.0000e-01	0.2487	-12.190541	0.000154	1.544323	0.523231	0.000068
  14	6.5000e-01	0.2920	-12.156324	0.000154	1.544323	0.523231	0.000068
  15	7.0000e-01	0.3000	-12.114775	0.000188	1.875250	0.635352	0.000083
  16	7.5000e-01	0.3353	-12.081373	0.000151	1.507554	0.510773	0.000067
  17	8.0000e-01	0.3449	-12.039009	0.000191	1.912020	0.647810	0.000085
  18	8.5000e-01	0.3561	-11.998682	0.000182	1.820096	0.616665	0.000081
  19	9.0000e-01	0.3754	-11.963651	0.000158	1.581093	0.535689	0.000070
  20	9.5000e-01	0.4155	-11.930656	0.000149	1.489169	0.504544	0.000066
  21	1.0000e+00	0.4155	-11.892773	-0.000171	-1.709787	-0.579291	0.000076
  22	1.0500e+00	0.4347	-11.853668	0.000176	1.764941	0.597978	0.000078
  23	1.1000e+00	0.4508	-11.812527	0.000186	1.856865	0.629123	0.000082
  24	1.1500e+00	0.4700	-11.779125	0.000151	1.507554	0.510773	0.000067
  25	1.2000e+00	0.4893	-11.739612	0.000178	1.783326	0.604207	0.000079
  26	1.2500e+00	0.5198	-11.703359	0.000164	1.636247	0.554376	0.000073
  27	1.3000e+00	0.5454	-11.668327	0.000158	1.581093	0.535689	0.000070
  28	1.3500e+00	0.5599	-11.628815	0.000178	1.783326	0.604207	0.000079
  29	1.4000e+00	0.6032	-11.592969	0.000162	1.617863	0.548147	0.000072
  30	1.4500e+00	0.5823	-11.555901	-0.000167	-1.673017	-0.566834	0.000074
  31	1.5000e+00	0.6176	-11.522091	0.000153	1.525939	0.517002	0.000068
  32	1.5500e+00	0.6353	-11.478913	0.000195	1.948789	0.660268	0.000086
  33	1.6000e+00	0.6513	-11.441845	0.000167	1.673017	0.566834	0.000074
  34	1.6500e+00	0.7043	-11.405999	0.000162	1.617863	0.548147	0.000072
  35	1.7000e+00	0.6946	-11.366079	-0.000180	-1.801711	-0.610436	0.000080
  36	1.7500e+00	0.7155	-11.330233	0.000162	1.617863	0.548147	0.000072
  37	1.8000e+00	0.7476	-11.293572	0.000165	1.654632	0.560605	0.000073
  38	1.8500e+00	0.7444	-11.258541	-0.000158	-1.581093	-0.535689	0.000070
  39	1.9000e+00	0.7797	-11.217807	0.000184	1.838480	0.622894	0.000081
  40	1.9500e+00	0.8150	-11.180738	0.000167	1.673017	0.566834	0.000074
  41	2.0000e+00	0.8214	-11.146114	0.000156	1.562708	0.529460	0.000069
