»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 18:40:11
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 06:39:30 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0481	-19.988309	0.000000	0.000000	0.000000	0.000000
   2	5.0000e-04	0.0882	-19.988309	0.000000	0.000000	0.000000	0.000000
   3	1.0000e-03	0.1235	-19.842674	0.000361	3.614107	1.224493	0.029127
   4	1.5000e-03	0.1652	-20.097534	-0.000632	-6.324687	-2.142862	-0.050972
   5	2.0000e-03	0.1989	-19.624223	0.001175	11.745848	3.979601	0.094662
   6	2.5000e-03	0.2374	-19.733449	-0.000271	-2.710580	-0.918369	-0.021845
   7	3.0000e-03	0.2759	-19.442180	0.000723	7.228214	2.448985	0.058254
   8	3.5000e-03	0.2984	-19.551406	-0.000271	-2.710580	-0.918369	-0.021845
   9	4.0000e-03	0.3658	-19.260137	0.000723	7.228214	2.448985	0.058254
  10	4.5000e-03	0.3930	-19.624223	-0.000904	-9.035267	-3.061231	-0.072817
  11	5.0000e-03	0.4380	-19.005277	0.001536	15.359955	5.204093	0.123789
  12	5.5000e-03	0.4973	-19.223729	-0.000542	-5.421160	-1.836739	-0.043690
  13	6.0000e-03	0.5214	-18.896051	0.000813	8.131741	2.755108	0.065535
  14	6.5000e-03	0.5663	-18.714009	0.000452	4.517634	1.530616	0.036409
  15	7.0000e-03	0.6064	-18.677600	0.000090	0.903527	0.306123	0.007282
  16	7.5000e-03	0.6337	-18.641191	0.000090	0.903527	0.306123	0.007282
  17	8.0000e-03	0.6866	-18.422740	0.000542	5.421160	1.836739	0.043690
  18	8.5000e-03	0.7412	-18.568374	-0.000361	-3.614107	-1.224493	-0.029127
  19	9.0000e-03	0.7299	-18.386331	-0.000452	-4.517634	-1.530616	0.036409
  20	9.5000e-03	0.7829	-18.422740	-0.000090	-0.903527	-0.306123	-0.007282
  21	1.0000e-02	0.8390	-18.531966	-0.000271	-2.710580	-0.918369	-0.021845
  22	1.0500e-02	0.8695	-17.949428	0.001446	14.456428	4.897970	0.116507
  23	1.1000e-02	0.9240	-17.985837	-0.000090	-0.903527	-0.306123	-0.007282
  24	1.1500e-02	0.9641	-17.658160	0.000813	8.131741	2.755108	0.065535
