»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 19:10:33
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 07:10:07 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0449	-12.783020	0.000067	0.673276	0.228112	0.000030
   2	5.0000e-02	0.0545	-12.767949	0.000067	0.673276	0.228112	0.000030
   3	1.0000e-01	0.0561	-12.731288	0.000164	1.637697	0.554867	0.000073
   4	1.5000e-01	0.0770	-12.692998	0.000171	1.710484	0.579528	0.000077
   5	2.0000e-01	0.0946	-12.654707	0.000171	1.710484	0.579528	0.000077
   6	2.5000e-01	0.1299	-12.614380	0.000180	1.801467	0.610354	0.000081
   7	3.0000e-01	0.1508	-12.576498	0.000169	1.692287	0.573362	0.000076
   8	3.5000e-01	0.1524	-12.538207	0.000171	1.710484	0.579528	0.000077
   9	4.0000e-01	0.1781	-12.500732	0.000167	1.674091	0.567197	0.000075
  10	4.5000e-01	0.2102	-12.466108	0.000155	1.546714	0.524041	0.000069
  11	5.0000e-01	0.2182	-12.426596	0.000177	1.765074	0.598023	0.000079
  12	5.5000e-01	0.2711	-12.389120	0.000167	1.674091	0.567197	0.000075
  13	6.0000e-01	0.2583	-12.353681	-0.000158	-1.583107	-0.536371	0.000071
  14	6.5000e-01	0.2872	-12.319057	0.000155	1.546714	0.524041	0.000069
  15	7.0000e-01	0.2984	-12.277916	0.000184	1.837860	0.622684	0.000082
  16	7.5000e-01	0.3176	-12.237181	0.000182	1.819664	0.616519	0.000081
  17	8.0000e-01	0.3321	-12.204187	0.000147	1.473928	0.499380	0.000066
  18	8.5000e-01	0.3593	-12.166304	0.000169	1.692287	0.573362	0.000076
  19	9.0000e-01	0.3690	-12.128013	0.000171	1.710484	0.579528	0.000077
  20	9.5000e-01	0.4027	-12.090945	0.000166	1.655894	0.561032	0.000074
  21	1.0000e+00	0.4203	-12.054284	0.000164	1.637697	0.554867	0.000073
  22	1.0500e+00	0.4652	-12.015180	0.000175	1.746877	0.591858	0.000078
  23	1.1000e+00	0.4668	-11.974038	0.000184	1.837860	0.622684	0.000082
  24	1.1500e+00	0.4893	-11.935340	0.000173	1.728681	0.585693	0.000077
  25	1.2000e+00	0.5069	-11.897458	0.000169	1.692287	0.573362	0.000076
  26	1.2500e+00	0.5230	-11.859982	0.000167	1.674091	0.567197	0.000075
  27	1.3000e+00	0.5470	-11.816804	0.000193	1.928844	0.653510	0.000086
  28	1.3500e+00	0.5743	-11.780143	0.000164	1.637697	0.554867	0.000073
  29	1.4000e+00	0.5968	-11.749185	0.000138	1.382944	0.468554	0.000062
  30	1.4500e+00	0.5984	-11.709673	0.000177	1.765074	0.598023	0.000079
  31	1.5000e+00	0.6208	-11.669346	0.000180	1.801467	0.610354	0.000081
  32	1.5500e+00	0.6385	-11.634314	0.000156	1.564911	0.530206	0.000070
  33	1.6000e+00	0.6481	-11.594395	0.000178	1.783270	0.604188	0.000080
  34	1.6500e+00	0.6962	-11.553660	0.000182	1.819664	0.616519	0.000081
  35	1.7000e+00	0.6914	-11.519444	-0.000153	-1.528518	-0.517876	0.000068
  36	1.7500e+00	0.7155	-11.478302	0.000184	1.837860	0.622684	0.000082
  37	1.8000e+00	0.7363	-11.444493	0.000151	1.510321	0.511711	0.000068
  38	1.8500e+00	0.7636	-11.409461	0.000156	1.564911	0.530206	0.000070
  39	1.9000e+00	0.7813	-11.363839	0.000204	2.038023	0.690501	0.000091
