»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 18:56:38
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 06:56:12 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0176	-9.009806	0.000061	0.608098	0.206029	0.000028
   2	5.0000e-02	0.0225	-8.995957	0.000061	0.608098	0.206029	0.000028
   3	1.0000e-01	0.0449	-8.971516	0.000107	1.073113	0.363581	0.000049
   4	1.5000e-01	0.0802	-8.945853	0.000113	1.126769	0.381760	0.000051
   5	2.0000e-01	0.0914	-8.923042	0.000100	1.001573	0.339342	0.000046
   6	2.5000e-01	0.1203	-8.894121	0.000127	1.269851	0.430237	0.000058
   7	3.0000e-01	0.1267	-8.865607	0.000125	1.251966	0.424177	0.000057
   8	3.5000e-01	0.1700	-8.838315	0.000120	1.198310	0.405998	0.000055
   9	4.0000e-01	0.1765	-8.812245	0.000114	1.144654	0.387819	0.000052
  10	4.5000e-01	0.2166	-8.786583	0.000113	1.126769	0.381760	0.000051
  11	5.0000e-01	0.2021	-8.760920	-0.000113	-1.126769	-0.381760	0.000051
  12	5.5000e-01	0.2471	-8.731184	0.000131	1.305621	0.442356	0.000059
  13	6.0000e-01	0.2615	-8.700633	0.000134	1.341392	0.454476	0.000061
  14	6.5000e-01	0.2743	-8.673341	0.000120	1.198310	0.405998	0.000055
  15	7.0000e-01	0.2791	-8.644827	0.000125	1.251966	0.424177	0.000057
  16	7.5000e-01	0.3273	-8.619572	0.000111	1.108884	0.375700	0.000051
  17	8.0000e-01	0.3353	-8.587392	0.000141	1.412933	0.478715	0.000064
  18	8.5000e-01	0.3401	-8.564581	0.000100	1.001573	0.339342	0.000046
  19	9.0000e-01	0.3706	-8.537696	0.000118	1.180425	0.399939	0.000054
  20	9.5000e-01	0.3978	-8.508775	0.000127	1.269851	0.430237	0.000058
  21	1.0000e+00	0.4267	-8.482705	0.000114	1.144654	0.387819	0.000052
  22	1.0500e+00	0.4460	-8.457042	0.000113	1.126769	0.381760	0.000051
  23	1.1000e+00	0.4620	-8.428936	0.000123	1.234080	0.418118	0.000056
  24	1.1500e+00	0.4813	-8.404495	0.000107	1.073113	0.363581	0.000049
  25	1.2000e+00	0.5118	-8.376796	0.000122	1.216195	0.412058	0.000055
