»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 19:25:49
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 07:25:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0305	-11.832788	0.000722	7.223051	2.447236	0.058254
   2	5.0000e-04	0.0738	-11.541519	0.000722	7.223051	2.447236	0.058254
   3	1.0000e-03	0.1155	-11.432293	0.000271	2.708644	0.917714	0.021845
   4	1.5000e-03	0.1444	-11.614336	-0.000451	-4.514407	-1.529523	-0.036409
   5	2.0000e-03	0.2037	-11.286659	0.000813	8.125933	2.753141	0.065535
   6	2.5000e-03	0.2454	-11.869196	-0.001445	-14.446103	-4.894472	-0.116507
   7	3.0000e-03	0.2839	-11.432293	0.001083	10.834577	3.670854	0.087381
   8	3.5000e-03	0.3273	-11.286659	0.000361	3.611526	1.223618	0.029127
   9	4.0000e-03	0.3593	-11.505110	-0.000542	-5.417288	-1.835427	-0.043690
  10	4.5000e-03	0.4139	-10.995390	0.001264	12.640340	4.282663	0.101944
  11	5.0000e-03	0.4171	-11.213842	-0.000542	-5.417288	-1.835427	-0.043690
  12	5.5000e-03	0.4700	-11.323067	-0.000271	-2.708644	-0.917714	-0.021845
  13	6.0000e-03	0.5118	-11.213842	0.000271	2.708644	0.917714	0.021845
  14	6.5000e-03	0.5695	-11.104616	0.000271	2.708644	0.917714	0.021845
  15	7.0000e-03	0.6000	-10.704122	0.000993	9.931696	3.364950	0.080099
  16	7.5000e-03	0.6513	-11.177433	-0.001174	-11.737458	-3.976759	-0.094662
  17	8.0000e-03	0.6577	-10.813347	0.000903	9.028814	3.059045	0.072817
  18	8.5000e-03	0.7219	-10.522079	0.000722	7.223051	2.447236	0.058254
  19	9.0000e-03	0.7444	-10.740530	-0.000542	-5.417288	-1.835427	-0.043690
  20	9.5000e-03	0.7829	-10.558487	0.000451	4.514407	1.529523	0.036409
  21	1.0000e-02	0.8454	-10.594896	-0.000090	-0.902881	-0.305905	-0.007282
  22	1.0500e-02	0.8759	-10.740530	-0.000361	-3.611526	-1.223618	-0.029127
  23	1.1000e-02	0.9064	-10.340036	0.000993	9.931696	3.364950	0.080099
  24	1.1500e-02	0.9449	-10.558487	-0.000542	-5.417288	-1.835427	-0.043690
