»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 20:3:31
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 08:03:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0433	-10.755880	0.000035	0.353899	0.119904	0.000017
   2	5.0000e-02	0.0465	-10.747326	0.000035	0.353899	0.119904	0.000017
   3	1.0000e-01	0.0674	-10.721256	0.000108	1.078550	0.365423	0.000052
   4	1.5000e-01	0.0658	-10.696815	-0.000101	-1.011141	-0.342584	0.000049
   5	2.0000e-01	0.1107	-10.669116	0.000115	1.145960	0.388262	0.000055
   6	2.5000e-01	0.1059	-10.644676	-0.000101	-1.011141	-0.342584	0.000049
   7	3.0000e-01	0.1059	-10.614940	-0.000123	-1.230221	-0.416810	0.000059
   8	3.5000e-01	0.1572	-10.592128	0.000094	0.943732	0.319745	0.000046
   9	4.0000e-01	0.1717	-10.563614	0.000118	1.179664	0.399681	0.000057
  10	4.5000e-01	0.1797	-10.539989	0.000098	0.977436	0.331164	0.000047
  11	5.0000e-01	0.1797	-10.514733	-0.000104	-1.044846	-0.354003	0.000051
  12	5.5000e-01	0.2390	-10.487441	0.000113	1.129107	0.382552	0.000055
  13	6.0000e-01	0.2583	-10.459742	0.000115	1.145960	0.388262	0.000055
  14	6.5000e-01	0.2807	-10.437338	0.000093	0.926879	0.314035	0.000045
  15	7.0000e-01	0.2856	-10.408010	0.000121	1.213369	0.411101	0.000059
  16	7.5000e-01	0.3289	-10.379496	0.000118	1.179664	0.399681	0.000057
  17	8.0000e-01	0.3481	-10.354240	0.000104	1.044846	0.354003	0.000051
  18	8.5000e-01	0.3465	-10.328170	-0.000108	-1.078550	-0.365423	0.000052
  19	9.0000e-01	0.4043	-10.302100	0.000108	1.078550	0.365423	0.000052
  20	9.5000e-01	0.3802	-10.277660	-0.000101	-1.011141	-0.342584	0.000049
  21	1.0000e+00	0.4219	-10.249961	0.000115	1.145960	0.388262	0.000055
  22	1.0500e+00	0.4203	-10.220225	-0.000123	-1.230221	-0.416810	0.000059
  23	1.1000e+00	0.4556	-10.195784	0.000101	1.011141	0.342584	0.000049
  24	1.1500e+00	0.4556	-10.167677	-0.000116	-1.162812	-0.393971	0.000056
  25	1.2000e+00	0.5118	-10.142830	0.000103	1.027993	0.348294	0.000050
