»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 20:9:54
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 08:09:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyste-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0465	-25.303961	-0.000180	-1.795864	-0.608455	-0.014563
   2	5.0000e-04	0.0626	-25.376778	-0.000180	-1.795864	-0.608455	-0.014563
   3	1.0000e-03	0.1219	-25.085510	0.000718	7.183456	2.433821	0.058254
   4	1.5000e-03	0.1749	-25.231144	-0.000359	-3.591728	-1.216910	-0.029127
   5	2.0000e-03	0.1861	-25.267552	-0.000090	-0.897932	-0.304228	-0.007282
   6	2.5000e-03	0.2278	-24.867058	0.000988	9.877251	3.346503	0.080099
   7	3.0000e-03	0.2856	-24.939875	-0.000180	-1.795864	-0.608455	-0.014563
   8	3.5000e-03	0.3192	-24.867058	0.000180	1.795864	0.608455	0.014563
   9	4.0000e-03	0.3674	-24.575789	0.000718	7.183456	2.433821	0.058254
  10	4.5000e-03	0.3834	-24.320929	0.000629	6.285524	2.129593	0.050972
  11	5.0000e-03	0.4556	-24.138887	0.000449	4.489660	1.521138	0.036409
  12	5.5000e-03	0.5101	-24.066069	0.000180	1.795864	0.608455	0.014563
  13	6.0000e-03	0.5294	-24.138887	-0.000180	-1.795864	-0.608455	-0.014563
  14	6.5000e-03	0.5968	-23.920435	0.000539	5.387592	1.825365	0.043690
  15	7.0000e-03	0.6016	-23.447124	0.001167	11.673115	3.954959	0.094662
  16	7.5000e-03	0.6353	-23.701984	-0.000629	-6.285524	-2.129593	-0.050972
  17	8.0000e-03	0.6658	-23.155855	0.001347	13.468979	4.563414	0.109226
  18	8.5000e-03	0.7379	-23.665575	-0.001257	-12.571047	-4.259186	-0.101944
  19	9.0000e-03	0.7444	-23.155855	0.001257	12.571047	4.259186	0.101944
  20	9.5000e-03	0.8486	-23.119446	0.000090	0.897932	0.304228	0.007282
  21	1.0000e-02	0.8406	-22.828178	-0.000718	-7.183456	-2.433821	0.058254
  22	1.0500e-02	0.8984	-23.046629	-0.000539	-5.387592	-1.825365	-0.043690
  23	1.1000e-02	0.9433	-22.609726	0.001078	10.775183	3.650731	0.087381
  24	1.1500e-02	0.9609	-22.718952	-0.000269	-2.693796	-0.912683	-0.021845
  25	1.2000e-02	0.9930	-22.500501	0.000539	5.387592	1.825365	0.043690
  26	1.2500e-02	1.0540	-22.136415	0.000898	8.979320	3.042276	0.072817
  27	1.3000e-02	1.0973	-22.354866	-0.000539	-5.387592	-1.825365	-0.043690
  28	1.3500e-02	1.1230	-21.990780	0.000898	8.979320	3.042276	0.072817
  29	1.4000e-02	1.1486	-21.808738	0.000449	4.489660	1.521138	0.036409
  30	1.4500e-02	1.1984	-21.735920	0.000180	1.795864	0.608455	0.014563
  31	1.5000e-02	1.2577	-21.808738	-0.000180	-1.795864	-0.608455	-0.014563
  32	1.5500e-02	1.2962	-21.663103	0.000359	3.591728	1.216910	0.029127
  33	1.6000e-02	1.3267	-21.299018	0.000898	8.979320	3.042276	0.072817
  34	1.6500e-02	1.3780	-21.553878	-0.000629	-6.285524	-2.129593	-0.050972
  35	1.7000e-02	1.4101	-21.080566	0.001167	11.673115	3.954959	0.094662
  36	1.7500e-02	1.4149	-21.116975	-0.000090	-0.897932	-0.304228	-0.007282
  37	1.8000e-02	1.4871	-20.752889	0.000898	8.979320	3.042276	0.072817
  38	1.8500e-02	1.5417	-21.116975	-0.000898	-8.979320	-3.042276	-0.072817
  39	1.9000e-02	1.5770	-20.607255	0.001257	12.571047	4.259186	0.101944
  40	1.9500e-02	1.5689	-20.862115	0.000629	6.285524	2.129593	-0.050972
  41	2.0000e-02	1.6395	-20.097534	0.001886	18.856571	6.388779	0.152916
  42	2.0500e-02	1.6844	-20.352395	-0.000629	-6.285524	-2.129593	-0.050972
  43	2.1000e-02	1.7406	-19.842674	0.001257	12.571047	4.259186	0.101944
  44	2.1500e-02	1.7759	-20.243169	-0.000988	-9.877251	-3.346503	-0.080099
  45	2.2000e-02	1.8080	-20.170352	0.000180	1.795864	0.608455	0.014563
  46	2.2500e-02	1.8689	-19.988309	0.000449	4.489660	1.521138	0.036409
  47	2.3000e-02	1.9058	-19.624223	0.000898	8.979320	3.042276	0.072817
  48	2.3500e-02	1.9203	-19.187320	0.001078	10.775183	3.650731	0.087381
  49	2.4000e-02	1.9652	-19.369363	-0.000449	-4.489660	-1.521138	-0.036409
  50	2.4500e-02	2.0502	-19.041686	0.000808	8.081388	2.738048	0.065535
  51	2.5000e-02	2.0390	-19.369363	0.000808	8.081388	2.738048	-0.065535
  52	2.5500e-02	2.0727	-19.078094	0.000718	7.183456	2.433821	0.058254
  53	2.6000e-02	2.1304	-18.568374	0.001257	12.571047	4.259186	0.101944
  54	2.6500e-02	2.1721	-18.968869	-0.000988	-9.877251	-3.346503	-0.080099
  55	2.7000e-02	2.1994	-18.677600	0.000718	7.183456	2.433821	0.058254
  56	2.7500e-02	2.2539	-18.386331	0.000718	7.183456	2.433821	0.058254
  57	2.8000e-02	2.2860	-18.604783	-0.000539	-5.387592	-1.825365	-0.043690
  58	2.8500e-02	2.3021	-18.058654	0.001347	13.468979	4.563414	0.109226
  59	2.9000e-02	2.3534	-18.313514	-0.000629	-6.285524	-2.129593	-0.050972
  60	2.9500e-02	2.3871	-17.985837	0.000808	8.081388	2.738048	0.065535
  61	3.0000e-02	2.4368	-17.694568	0.000718	7.183456	2.433821	0.058254
  62	3.0500e-02	2.5010	-17.985837	-0.000718	-7.183456	-2.433821	-0.058254
  63	3.1000e-02	2.5491	-17.621751	0.000898	8.979320	3.042276	0.072817
  64	3.1500e-02	2.5636	-17.294074	0.000808	8.081388	2.738048	0.065535
  65	3.2000e-02	2.6037	-17.548934	-0.000629	-6.285524	-2.129593	-0.050972
  66	3.2500e-02	2.6438	-17.294074	0.000629	6.285524	2.129593	0.050972
  67	3.3000e-02	2.6983	-17.366891	-0.000180	-1.795864	-0.608455	-0.014563
  68	3.3500e-02	2.7160	-16.711537	0.001616	16.162775	5.476096	0.131071
  69	3.4000e-02	2.7641	-17.257665	-0.001347	-13.468979	-4.563414	-0.109226
  70	3.4500e-02	2.8154	-16.675128	0.001437	14.366911	4.867641	0.116507
  71	3.5000e-02	2.8315	-16.747945	-0.000180	-1.795864	-0.608455	-0.014563
  72	3.5500e-02	2.8828	-16.165408	0.001437	14.366911	4.867641	0.116507
  73	3.6000e-02	2.9149	-16.602311	-0.001078	-10.775183	-3.650731	-0.087381
  74	3.6500e-02	2.9662	-16.383860	0.000539	5.387592	1.825365	0.043690
  75	3.7000e-02	2.9967	-16.165408	0.000539	5.387592	1.825365	0.043690
  76	3.7500e-02	3.0384	-16.274634	-0.000269	-2.693796	-0.912683	-0.021845
  77	3.8000e-02	3.1106	-15.619280	0.001616	16.162775	5.476096	0.131071
  78	3.8500e-02	3.1266	-15.728505	-0.000269	-2.693796	-0.912683	-0.021845
  79	3.9000e-02	3.1523	-15.582871	0.000359	3.591728	1.216910	0.029127
  80	3.9500e-02	3.2261	-15.437237	0.000359	3.591728	1.216910	0.029127
  81	4.0000e-02	3.2422	-15.510054	-0.000180	-1.795864	-0.608455	-0.014563
  82	4.0500e-02	3.2614	-15.182377	0.000808	8.081388	2.738048	0.065535
  83	4.1000e-02	3.3224	-14.818291	0.000898	8.979320	3.042276	0.072817
  84	4.1500e-02	3.3593	-15.182377	-0.000898	-8.979320	-3.042276	-0.072817
  85	4.2000e-02	3.3801	-14.818291	0.000898	8.979320	3.042276	0.072817
  86	4.2500e-02	3.4491	-14.636248	0.000449	4.489660	1.521138	0.036409
  87	4.3000e-02	3.4892	-14.818291	-0.000449	-4.489660	-1.521138	-0.036409
  88	4.3500e-02	3.5373	-14.454205	0.000898	8.979320	3.042276	0.072817
  89	4.4000e-02	3.5630	-14.454205	0.000000	0.000000	0.000000	0.000000
  90	4.4500e-02	3.6143	-14.563431	-0.000269	-2.693796	-0.912683	-0.021845
  91	4.5000e-02	3.6464	-14.126528	0.001078	10.775183	3.650731	0.087381
  92	4.5500e-02	3.6994	-14.308571	-0.000449	-4.489660	-1.521138	-0.036409
  93	4.6000e-02	3.7202	-13.980894	0.000808	8.081388	2.738048	0.065535
  94	4.6500e-02	3.7507	-13.980894	0.000000	0.000000	0.000000	0.000000
  95	4.7000e-02	3.7924	-13.543991	0.001078	10.775183	3.650731	0.087381
  96	4.7500e-02	3.8646	-13.762442	-0.000539	-5.387592	-1.825365	-0.043690
