»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 13:27:31
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 01:26:56 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0626	-27.579497	0.000538	5.376769	1.821699	-0.043690
   2	5.0000e-04	0.0176	-27.797949	0.000538	5.376769	1.821699	-0.043690
   3	1.0000e-03	0.1348	-27.615906	0.000448	4.480640	1.518082	0.036409
   4	1.5000e-03	0.1861	-27.433863	0.000448	4.480640	1.518082	0.036409
   5	2.0000e-03	0.2230	-27.652314	-0.000538	-5.376769	-1.821699	-0.043690
   6	2.5000e-03	0.2406	-27.470271	0.000448	4.480640	1.518082	0.036409
   7	3.0000e-03	0.2856	-27.470271	0.000000	0.000000	0.000000	0.000000
   8	3.5000e-03	0.3385	-27.251820	0.000538	5.376769	1.821699	0.043690
   9	4.0000e-03	0.3561	-27.288228	-0.000090	-0.896128	-0.303616	-0.007282
  10	4.5000e-03	0.3866	-26.996960	0.000717	7.169025	2.428931	0.058254
  11	5.0000e-03	0.4364	-26.778508	0.000538	5.376769	1.821699	0.043690
  12	5.5000e-03	0.4941	-26.742100	0.000090	0.896128	0.303616	0.007282
  13	6.0000e-03	0.5214	-26.378014	0.000896	8.961281	3.036164	0.072817
  14	6.5000e-03	0.5631	-26.378014	0.000000	0.000000	0.000000	0.000000
  15	7.0000e-03	0.6112	-26.487240	-0.000269	-2.688384	-0.910849	-0.021845
  16	7.5000e-03	0.6465	-26.305197	0.000448	4.480640	1.518082	0.036409
  17	8.0000e-03	0.6706	-25.904703	0.000986	9.857409	3.339781	0.080099
  18	8.5000e-03	0.7331	-25.759068	0.000358	3.584512	1.214466	0.029127
  19	9.0000e-03	0.7524	-25.941111	-0.000448	-4.480640	-1.518082	-0.036409
  20	9.5000e-03	0.7797	-25.722660	0.000538	5.376769	1.821699	0.043690
  21	1.0000e-02	0.8438	-25.540617	0.000448	4.480640	1.518082	0.036409
  22	1.0500e-02	0.9032	-25.103714	0.001075	10.753537	3.643397	0.087381
  23	1.1000e-02	0.9449	-25.176531	-0.000179	-1.792256	-0.607233	-0.014563
  24	1.1500e-02	0.9497	-25.103714	0.000179	1.792256	0.607233	0.014563
  25	1.2000e-02	1.0091	-25.067305	0.000090	0.896128	0.303616	0.007282
  26	1.2500e-02	1.0492	-24.994488	0.000179	1.792256	0.607233	0.014563
  27	1.3000e-02	1.0796	-24.958080	0.000090	0.896128	0.303616	0.007282
  28	1.3500e-02	1.1374	-24.557585	0.000986	9.857409	3.339781	0.080099
  29	1.4000e-02	1.1550	-24.521177	0.000090	0.896128	0.303616	0.007282
  30	1.4500e-02	1.2096	-24.593994	-0.000179	-1.792256	-0.607233	-0.014563
  31	1.5000e-02	1.2337	-24.047865	0.001344	13.441921	4.554246	0.109226
  32	1.5500e-02	1.2946	-23.865822	0.000448	4.480640	1.518082	0.036409
  33	1.6000e-02	1.3363	-23.683779	0.000448	4.480640	1.518082	0.036409
