»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 13:40:11
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 01:39:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0497	-23.174532	-0.000096	-0.964990	-0.326947	0.000044
   2	5.0000e-02	0.0481	-23.152536	-0.000096	-0.964990	-0.326947	0.000044
   3	1.0000e-01	0.0610	-23.090620	0.000272	2.716268	0.920297	0.000124
   4	1.5000e-01	0.1027	-23.038073	0.000231	2.305254	0.781041	0.000105
   5	2.0000e-01	0.0979	-22.979415	-0.000257	-2.573307	-0.871860	0.000117
   6	2.5000e-01	0.1348	-22.921573	0.000254	2.537566	0.859751	0.000116
   7	3.0000e-01	0.1171	-22.862508	-0.000259	-2.591177	-0.877915	0.000118
   8	3.5000e-01	0.1524	-22.800999	0.000270	2.698398	0.914242	0.000123
   9	4.0000e-01	0.1861	-22.746823	0.000238	2.376735	0.805260	0.000108
  10	4.5000e-01	0.2037	-22.683277	0.000279	2.787749	0.944515	0.000127
  11	5.0000e-01	0.2118	-22.628286	0.000241	2.412475	0.817369	0.000110
  12	5.5000e-01	0.2390	-22.565963	0.000273	2.734139	0.926351	0.000125
  13	6.0000e-01	0.2551	-22.502825	0.000277	2.769879	0.938460	0.000126
  14	6.5000e-01	0.2807	-22.447426	0.000243	2.430345	0.823423	0.000111
  15	7.0000e-01	0.3016	-22.388769	0.000257	2.573307	0.871860	0.000117
  16	7.5000e-01	0.3337	-22.324409	0.000282	2.823489	0.956624	0.000129
  17	8.0000e-01	0.3401	-22.264937	0.000261	2.609047	0.883969	0.000119
  18	8.5000e-01	0.3674	-22.208723	0.000247	2.466086	0.835532	0.000112
  19	9.0000e-01	0.3738	-22.151288	0.000252	2.519696	0.853696	0.000115
  20	9.5000e-01	0.4059	-22.094260	0.000250	2.501826	0.847642	0.000114
  21	1.0000e+00	0.4123	-22.032751	0.000270	2.698398	0.914242	0.000123
  22	1.0500e+00	0.4556	-21.975723	0.000250	2.501826	0.847642	0.000114
  23	1.1000e+00	0.4700	-21.914215	0.000270	2.698398	0.914242	0.000123
  24	1.1500e+00	0.4700	-21.851891	-0.000273	-2.734139	-0.926351	0.000125
  25	1.2000e+00	0.4909	-21.794863	0.000250	2.501826	0.847642	0.000114
  26	1.2500e+00	0.5134	-21.732947	0.000272	2.716268	0.920297	0.000124
  27	1.3000e+00	0.5422	-21.670624	0.000273	2.734139	0.926351	0.000125
  28	1.3500e+00	0.5791	-21.613188	0.000252	2.519696	0.853696	0.000115
  29	1.4000e+00	0.5904	-21.555753	0.000252	2.519696	0.853696	0.000115
  30	1.4500e+00	0.6064	-21.498318	0.000252	2.519696	0.853696	0.000115
  31	1.5000e+00	0.6096	-21.439661	0.000257	2.573307	0.871860	0.000117
  32	1.5500e+00	0.6481	-21.379781	0.000263	2.626917	0.890024	0.000120
