»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 13:56:17
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 01:55:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0417	-35.225298	-0.000181	-1.812792	-0.614191	-0.014563
   2	5.0000e-04	0.0449	-35.298115	-0.000181	-1.812792	-0.614191	-0.014563
   3	1.0000e-03	0.1251	-34.897621	0.000997	9.970356	3.378048	0.080099
   4	1.5000e-03	0.1476	-34.569944	0.000816	8.157564	2.763858	0.065535
   5	2.0000e-03	0.1797	-34.824804	-0.000634	-6.344772	-2.149667	-0.050972
   6	2.5000e-03	0.2438	-34.242267	0.001450	14.502336	4.913524	0.116507
   7	3.0000e-03	0.2711	-34.606352	-0.000906	-9.063960	-3.070953	-0.072817
   8	3.5000e-03	0.3369	-33.878181	0.001813	18.127920	6.141906	0.145634
   9	4.0000e-03	0.3337	-33.841772	-0.000091	-0.906396	-0.307095	0.007282
  10	4.5000e-03	0.4091	-33.586912	0.000634	6.344772	2.149667	0.050972
  11	5.0000e-03	0.4540	-33.696138	-0.000272	-2.719188	-0.921286	-0.021845
  12	5.5000e-03	0.4716	-33.404869	0.000725	7.251168	2.456762	0.058254
  13	6.0000e-03	0.5214	-33.332052	0.000181	1.812792	0.614191	0.014563
  14	6.5000e-03	0.5631	-32.895149	0.001088	10.876752	3.685143	0.087381
  15	7.0000e-03	0.6305	-33.004375	-0.000272	-2.719188	-0.921286	-0.021845
  16	7.5000e-03	0.6337	-32.713106	0.000725	7.251168	2.456762	0.058254
  17	8.0000e-03	0.6978	-32.385429	0.000816	8.157564	2.763858	0.065535
  18	8.5000e-03	0.7460	-32.276203	0.000272	2.719188	0.921286	0.021845
  19	9.0000e-03	0.7604	-32.021343	0.000634	6.344772	2.149667	0.050972
  20	9.5000e-03	0.7941	-31.802892	0.000544	5.438376	1.842572	0.043690
  21	1.0000e-02	0.8679	-31.657258	0.000363	3.625584	1.228381	0.029127
  22	1.0500e-02	0.8839	-31.548032	0.000272	2.719188	0.921286	0.021845
  23	1.1000e-02	0.9128	-31.548032	0.000000	0.000000	0.000000	0.000000
  24	1.1500e-02	0.9529	-31.183946	0.000906	9.063960	3.070953	0.072817
