»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 14:30:55
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 02:30:32 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0369	-31.438806	-0.000454	-4.537066	-1.537199	-0.036409
   2	5.0000e-04	0.0626	-31.620849	-0.000454	-4.537066	-1.537199	-0.036409
   3	1.0000e-03	0.1203	-31.365989	0.000635	6.351892	2.152079	0.050972
   4	1.5000e-03	0.1588	-31.183946	0.000454	4.537066	1.537199	0.036409
   5	2.0000e-03	0.2021	-30.929086	0.000635	6.351892	2.152079	0.050972
   6	2.5000e-03	0.2294	-31.293172	-0.000907	-9.074132	-3.074399	-0.072817
   7	3.0000e-03	0.2984	-30.747043	0.001361	13.611197	4.611598	0.109226
   8	3.5000e-03	0.3401	-30.492183	0.000635	6.351892	2.152079	0.050972
   9	4.0000e-03	0.3593	-30.346549	0.000363	3.629653	1.229760	0.029127
  10	4.5000e-03	0.3818	-30.237323	0.000272	2.722239	0.922320	0.021845
  11	5.0000e-03	0.4380	-30.200915	0.000091	0.907413	0.307440	0.007282
  12	5.5000e-03	0.4684	-30.055280	0.000363	3.629653	1.229760	0.029127
  13	6.0000e-03	0.5085	-29.581969	0.001180	11.796371	3.996719	0.094662
  14	6.5000e-03	0.5519	-29.472743	0.000272	2.722239	0.922320	0.021845
  15	7.0000e-03	0.6080	-29.399926	0.000181	1.814826	0.614880	0.014563
  16	7.5000e-03	0.6497	-29.363517	0.000091	0.907413	0.307440	0.007282
  17	8.0000e-03	0.6754	-28.999432	0.000907	9.074132	3.074399	0.072817
  18	8.5000e-03	0.7171	-28.926614	0.000181	1.814826	0.614880	0.014563
  19	9.0000e-03	0.7700	-28.744572	0.000454	4.537066	1.537199	0.036409
  20	9.5000e-03	0.8021	-28.526120	0.000544	5.444479	1.844639	0.043690
  21	1.0000e-02	0.8454	-28.344077	0.000454	4.537066	1.537199	0.036409
  22	1.0500e-02	0.8807	-28.344077	0.000000	0.000000	0.000000	0.000000
  23	1.1000e-02	0.9256	-28.052809	0.000726	7.259305	2.459519	0.058254
  24	1.1500e-02	0.9240	-27.433863	-0.001543	-15.426024	-5.226478	0.123789
