»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 14:38:49
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 02:38:18 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0545	-31.293172	-0.001722	-17.220089	-5.834324	0.138353
   2	5.0000e-04	0.0401	-30.601409	-0.001722	-17.220089	-5.834324	0.138353
   3	1.0000e-03	0.1091	-30.819860	-0.000544	-5.437923	-1.842418	-0.043690
   4	1.5000e-03	0.1396	-29.946055	0.002175	21.751691	7.369673	0.174761
   5	2.0000e-03	0.2021	-30.310140	-0.000906	-9.063205	-3.070697	-0.072817
   6	2.5000e-03	0.2326	-29.982463	0.000816	8.156884	2.763627	0.065535
   7	3.0000e-03	0.2791	-29.618377	0.000906	9.063205	3.070697	0.072817
   8	3.5000e-03	0.3096	-29.982463	-0.000906	-9.063205	-3.070697	-0.072817
   9	4.0000e-03	0.3642	-29.363517	0.001541	15.407448	5.220185	0.123789
  10	4.5000e-03	0.4027	-29.618377	-0.000634	-6.344243	-2.149488	-0.050972
  11	5.0000e-03	0.4267	-29.399926	0.000544	5.437923	1.842418	0.043690
  12	5.5000e-03	0.4604	-29.472743	-0.000181	-1.812641	-0.614139	-0.014563
  13	6.0000e-03	0.5278	-28.853797	0.001541	15.407448	5.220185	0.123789
  14	6.5000e-03	0.5631	-28.635346	0.000544	5.437923	1.842418	0.043690
  15	7.0000e-03	0.5920	-28.708163	-0.000181	-1.812641	-0.614139	-0.014563
  16	7.5000e-03	0.6401	-28.635346	0.000181	1.812641	0.614139	0.014563
  17	8.0000e-03	0.6658	-28.489711	0.000363	3.625282	1.228279	0.029127
  18	8.5000e-03	0.7267	-28.125626	0.000906	9.063205	3.070697	0.072817
  19	9.0000e-03	0.7508	-27.615906	0.001269	12.688487	4.298976	0.101944
  20	9.5000e-03	0.8069	-28.162034	-0.001359	-13.594807	-4.606045	-0.109226
  21	1.0000e-02	0.8454	-27.615906	0.001359	13.594807	4.606045	0.109226
  22	1.0500e-02	0.8727	-27.361046	0.000634	6.344243	2.149488	0.050972
  23	1.1000e-02	0.9305	-27.288228	0.000181	1.812641	0.614139	0.014563
  24	1.1500e-02	0.9577	-26.887734	0.000997	9.969525	3.377767	0.080099
  25	1.2000e-02	0.9898	-27.069777	-0.000453	-4.531602	-1.535348	-0.036409
  26	1.2500e-02	1.0428	-26.742100	0.000816	8.156884	2.763627	0.065535
