»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 16:26:48
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 04:26:26 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0529	-30.291936	-0.001262	-12.619350	-4.275551	0.101944
   2	5.0000e-04	0.0433	-29.782216	-0.001262	-12.619350	-4.275551	0.101944
   3	1.0000e-03	0.1508	-30.109893	-0.000811	-8.112439	-2.748569	-0.065535
   4	1.5000e-03	0.1668	-29.709399	0.000992	9.915203	3.359362	0.080099
   5	2.0000e-03	0.1989	-29.236087	0.001172	11.717967	3.970155	0.094662
   6	2.5000e-03	0.2358	-29.381722	-0.000361	-3.605528	-1.221586	-0.029127
   7	3.0000e-03	0.2807	-29.418130	-0.000090	-0.901382	-0.305397	-0.007282
   8	3.5000e-03	0.3626	-28.944819	0.001172	11.717967	3.970155	0.094662
   9	4.0000e-03	0.3866	-28.944819	0.000000	0.000000	0.000000	0.000000
  10	4.5000e-03	0.4187	-28.944819	0.000000	0.000000	0.000000	0.000000
  11	5.0000e-03	0.4283	-28.653550	0.000721	7.211057	2.443172	0.058254
  12	5.5000e-03	0.4797	-28.726367	-0.000180	-1.802764	-0.610793	-0.014563
  13	6.0000e-03	0.5134	-28.362281	0.000901	9.013821	3.053965	0.072817
  14	6.5000e-03	0.5535	-28.253056	0.000270	2.704146	0.916190	0.021845
  15	7.0000e-03	0.6128	-28.180239	0.000180	1.802764	0.610793	0.014563
  16	7.5000e-03	0.6465	-27.998196	0.000451	4.506911	1.526983	0.036409
  17	8.0000e-03	0.6770	-27.561293	0.001082	10.816585	3.664758	0.087381
  18	8.5000e-03	0.7251	-27.597701	-0.000090	-0.901382	-0.305397	-0.007282
  19	9.0000e-03	0.7636	-27.561293	0.000090	0.901382	0.305397	0.007282
  20	9.5000e-03	0.7957	-27.270024	0.000721	7.211057	2.443172	0.058254
  21	1.0000e-02	0.8390	-27.051573	0.000541	5.408293	1.832379	0.043690
  22	1.0500e-02	0.8887	-27.270024	-0.000541	-5.408293	-1.832379	-0.043690
  23	1.1000e-02	0.9337	-26.905938	0.000901	9.013821	3.053965	0.072817
  24	1.1500e-02	0.9641	-26.723895	0.000451	4.506911	1.526983	0.036409
