»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 16:9:41
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 04:09:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0561	-36.881888	-0.000631	-6.305464	-2.136349	0.050972
   2	5.0000e-04	0.0433	-36.627028	-0.000631	-6.305464	-2.136349	0.050972
   3	1.0000e-03	0.1444	-36.590620	0.000090	0.900781	0.305193	0.007282
   4	1.5000e-03	0.1636	-36.408577	0.000450	4.503903	1.525964	0.036409
   5	2.0000e-03	0.1957	-36.190126	0.000540	5.404683	1.831156	0.043690
   6	2.5000e-03	0.2342	-36.408577	-0.000540	-5.404683	-1.831156	-0.043690
   7	3.0000e-03	0.2823	-35.898857	0.001261	12.610928	4.272698	0.101944
   8	3.5000e-03	0.3353	-35.643997	0.000631	6.305464	2.136349	0.050972
   9	4.0000e-03	0.3802	-35.607588	0.000090	0.900781	0.305193	0.007282
  10	4.5000e-03	0.4091	-35.170685	0.001081	10.809367	3.662313	0.087381
  11	5.0000e-03	0.4556	-35.207094	-0.000090	-0.900781	-0.305193	-0.007282
  12	5.5000e-03	0.4829	-34.988642	0.000540	5.404683	1.831156	0.043690
  13	6.0000e-03	0.5246	-34.588148	0.000991	9.908586	3.357120	0.080099
  14	6.5000e-03	0.5519	-34.624557	-0.000090	-0.900781	-0.305193	-0.007282
  15	7.0000e-03	0.6289	-34.588148	0.000090	0.900781	0.305193	0.007282
  16	7.5000e-03	0.6593	-34.151245	0.001081	10.809367	3.662313	0.087381
  17	8.0000e-03	0.6513	-34.224062	0.000180	1.801561	0.610385	-0.014563
  18	8.5000e-03	0.7315	-33.932794	0.000721	7.206244	2.441542	0.058254
  19	9.0000e-03	0.7716	-33.605117	0.000811	8.107025	2.746734	0.065535
  20	9.5000e-03	0.8294	-33.386665	0.000540	5.404683	1.831156	0.043690
  21	1.0000e-02	0.8454	-33.168214	0.000540	5.404683	1.831156	0.043690
  22	1.0500e-02	0.8952	-33.168214	0.000000	0.000000	0.000000	0.000000
  23	1.1000e-02	0.9128	-32.876945	0.000721	7.206244	2.441542	0.058254
  24	1.1500e-02	0.9625	-32.840536	0.000090	0.900781	0.305193	0.007282
  25	1.2000e-02	1.0171	-32.622085	0.000540	5.404683	1.831156	0.043690
  26	1.2500e-02	1.0652	-32.512859	0.000270	2.702342	0.915578	0.021845
  27	1.3000e-02	1.1021	-32.003139	0.001261	12.610928	4.272698	0.101944
  28	1.3500e-02	1.1518	-32.112365	-0.000270	-2.702342	-0.915578	-0.021845
  29	1.4000e-02	1.1534	-31.457010	0.001621	16.214050	5.493469	0.131071
  30	1.4500e-02	1.2128	-31.347785	0.000270	2.702342	0.915578	0.021845
  31	1.5000e-02	1.2433	-31.420602	-0.000180	-1.801561	-0.610385	-0.014563
  32	1.5500e-02	1.2994	-31.092925	0.000811	8.107025	2.746734	0.065535
  33	1.6000e-02	1.3315	-31.238559	-0.000360	-3.603122	-1.220771	-0.029127
  34	1.6500e-02	1.3684	-30.801656	0.001081	10.809367	3.662313	0.087381
  35	1.7000e-02	1.4053	-30.546796	0.000631	6.305464	2.136349	0.050972
  36	1.7500e-02	1.4422	-30.619613	-0.000180	-1.801561	-0.610385	-0.014563
  37	1.8000e-02	1.4759	-30.146302	0.001171	11.710147	3.967505	0.094662
  38	1.8500e-02	1.5320	-30.109893	0.000090	0.900781	0.305193	0.007282
  39	1.9000e-02	1.5641	-30.073485	0.000090	0.900781	0.305193	0.007282
  40	1.9500e-02	1.5962	-29.527356	0.001351	13.511708	4.577891	0.109226
  41	2.0000e-02	1.6251	-29.600173	-0.000180	-1.801561	-0.610385	-0.014563
  42	2.0500e-02	1.6700	-29.236087	0.000901	9.007806	3.051927	0.072817
  43	2.1000e-02	1.7181	-29.272496	-0.000090	-0.900781	-0.305193	-0.007282
  44	2.1500e-02	1.7663	-29.090453	0.000450	4.503903	1.525964	0.036409
  45	2.2000e-02	1.7983	-28.799184	0.000721	7.206244	2.441542	0.058254
  46	2.2500e-02	1.8304	-28.726367	0.000180	1.801561	0.610385	0.014563
  47	2.3000e-02	1.8673	-28.325873	0.000991	9.908586	3.357120	0.080099
  48	2.3500e-02	1.9042	-28.180239	0.000360	3.603122	1.220771	0.029127
  49	2.4000e-02	1.9556	-28.071013	0.000270	2.702342	0.915578	0.021845
  50	2.4500e-02	2.0101	-27.597701	0.001171	11.710147	3.967505	0.094662
  51	2.5000e-02	2.0759	-27.524884	0.000180	1.801561	0.610385	0.014563
  52	2.5500e-02	2.0775	-27.561293	-0.000090	-0.900781	-0.305193	-0.007282
  53	2.6000e-02	2.1112	-27.342841	0.000540	5.404683	1.831156	0.043690
  54	2.6500e-02	2.1481	-27.087981	0.000631	6.305464	2.136349	0.050972
  55	2.7000e-02	2.2058	-27.124390	-0.000090	-0.900781	-0.305193	-0.007282
  56	2.7500e-02	2.2507	-26.432627	0.001711	17.114831	5.798662	0.138353
  57	2.8000e-02	2.2957	-26.541853	-0.000270	-2.702342	-0.915578	-0.021845
  58	2.8500e-02	2.3101	-26.469035	0.000180	1.801561	0.610385	0.014563
  59	2.9000e-02	2.3807	-26.250584	0.000540	5.404683	1.831156	0.043690
  60	2.9500e-02	2.3887	-25.995724	0.000631	6.305464	2.136349	0.050972
  61	3.0000e-02	2.4304	-26.068541	-0.000180	-1.801561	-0.610385	-0.014563
  62	3.0500e-02	2.4737	-25.668047	0.000991	9.908586	3.357120	0.080099
  63	3.1000e-02	2.5251	-25.413187	0.000631	6.305464	2.136349	0.050972
  64	3.1500e-02	2.5588	-25.303961	0.000270	2.702342	0.915578	0.021845
  65	3.2000e-02	2.6293	-25.049101	0.000631	6.305464	2.136349	0.050972
  66	3.2500e-02	2.6502	-25.049101	0.000000	0.000000	0.000000	0.000000
  67	3.3000e-02	2.6951	-24.867058	0.000450	4.503903	1.525964	0.036409
  68	3.3500e-02	2.7192	-24.648607	0.000540	5.404683	1.831156	0.043690
  69	3.4000e-02	2.7384	-24.430155	0.000540	5.404683	1.831156	0.043690
  70	3.4500e-02	2.8459	-24.393747	0.000090	0.900781	0.305193	0.007282
  71	3.5000e-02	2.8652	-23.811209	0.001441	14.412489	4.883083	0.116507
