»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 17:5:23
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 05:05:04 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-23.574554	0.000819	8.185048	2.773169	0.065535
   2	5.0000e-04	0.0305	-23.246876	0.000819	8.185048	2.773169	0.065535
   3	1.0000e-03	0.0963	-23.174059	0.000182	1.818900	0.616260	0.014563
   4	1.5000e-03	0.1604	-23.283285	-0.000273	-2.728349	-0.924390	-0.021845
   5	2.0000e-03	0.2134	-22.992016	0.000728	7.275599	2.465040	0.058254
   6	2.5000e-03	0.2487	-22.955608	0.000091	0.909450	0.308130	0.007282
   7	3.0000e-03	0.2711	-23.064834	-0.000273	-2.728349	-0.924390	-0.021845
   8	3.5000e-03	0.3064	-22.555113	0.001273	12.732298	4.313819	0.101944
   9	4.0000e-03	0.3593	-21.717716	0.002092	20.917346	7.086989	0.167479
  10	4.5000e-03	0.3834	-22.300253	-0.001455	-14.551197	-4.930079	-0.116507
  11	5.0000e-03	0.4155	-22.445888	-0.000364	-3.637799	-1.232520	-0.029127
  12	5.5000e-03	0.4781	-21.936168	0.001273	12.732298	4.313819	0.101944
  13	6.0000e-03	0.5262	-21.899759	0.000091	0.909450	0.308130	0.007282
  14	6.5000e-03	0.5679	-21.972576	-0.000182	-1.818900	-0.616260	-0.014563
  15	7.0000e-03	0.5952	-21.681308	0.000728	7.275599	2.465040	0.058254
  16	7.5000e-03	0.6289	-22.008985	-0.000819	-8.185048	-2.773169	-0.065535
  17	8.0000e-03	0.6513	-21.717716	0.000728	7.275599	2.465040	0.058254
  18	8.5000e-03	0.6962	-21.390039	0.000819	8.185048	2.773169	0.065535
  19	9.0000e-03	0.7700	-21.572082	-0.000455	-4.547249	-1.540650	-0.036409
  20	9.5000e-03	0.8085	-21.171588	0.001000	10.003948	3.389429	0.080099
  21	1.0000e-02	0.8214	-21.062362	0.000273	2.728349	0.924390	0.021845
  22	1.0500e-02	0.8551	-21.317222	-0.000637	-6.366149	-2.156910	-0.050972
  23	1.1000e-02	0.9096	-20.443416	0.002183	21.826796	7.395119	0.174761
  24	1.1500e-02	0.9802	-20.516233	-0.000182	-1.818900	-0.616260	-0.014563
