»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 16:42:28
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 04:42:05 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0337	-34.387901	0.000723	7.226875	2.448532	0.058254
   2	5.0000e-04	0.0690	-34.096632	0.000723	7.226875	2.448532	0.058254
   3	1.0000e-03	0.1219	-34.533535	-0.001084	-10.840313	-3.672797	-0.087381
   4	1.5000e-03	0.1781	-34.205858	0.000813	8.130234	2.754598	0.065535
   5	2.0000e-03	0.2118	-34.205858	0.000000	0.000000	0.000000	0.000000
   6	2.5000e-03	0.2535	-33.805364	0.000994	9.936953	3.366731	0.080099
   7	3.0000e-03	0.2679	-33.841772	-0.000090	-0.903359	-0.306066	-0.007282
   8	3.5000e-03	0.3241	-33.696138	0.000361	3.613438	1.224266	0.029127
   9	4.0000e-03	0.3690	-33.222826	0.001174	11.743672	3.978864	0.094662
  10	4.5000e-03	0.3898	-33.332052	-0.000271	-2.710078	-0.918199	-0.021845
  11	5.0000e-03	0.4347	-33.186418	0.000361	3.613438	1.224266	0.029127
  12	5.5000e-03	0.4684	-32.967966	0.000542	5.420156	1.836399	0.043690
  13	6.0000e-03	0.5005	-32.676698	0.000723	7.226875	2.448532	0.058254
  14	6.5000e-03	0.5663	-32.640289	0.000090	0.903359	0.306066	0.007282
  15	7.0000e-03	0.6240	-32.421838	0.000542	5.420156	1.836399	0.043690
  16	7.5000e-03	0.6577	-31.693666	0.001807	18.067188	6.121329	0.145634
  17	8.0000e-03	0.6802	-32.021343	-0.000813	-8.130234	-2.754598	-0.065535
  18	8.5000e-03	0.7075	-31.657258	0.000903	9.033594	3.060664	0.072817
  19	9.0000e-03	0.7732	-31.802892	-0.000361	-3.613438	-1.224266	-0.029127
  20	9.5000e-03	0.8117	-31.438806	0.000903	9.033594	3.060664	0.072817
  21	1.0000e-02	0.8486	-31.438806	0.000000	0.000000	0.000000	0.000000
  22	1.0500e-02	0.8839	-31.001903	0.001084	10.840313	3.672797	0.087381
  23	1.1000e-02	0.9272	-30.892678	0.000271	2.710078	0.918199	0.021845
  24	1.1500e-02	0.9529	-30.747043	0.000361	3.613438	1.224266	0.029127
  25	1.2000e-02	1.0267	-30.783452	-0.000090	-0.903359	-0.306066	-0.007282
  26	1.2500e-02	1.0139	-30.346549	-0.001084	-10.840313	-3.672797	0.087381
  27	1.3000e-02	1.0893	-30.565000	-0.000542	-5.420156	-1.836399	-0.043690
  28	1.3500e-02	1.1342	-30.200915	0.000903	9.033594	3.060664	0.072817
  29	1.4000e-02	1.1679	-30.018872	0.000452	4.516797	1.530332	0.036409
  30	1.4500e-02	1.2032	-29.800420	0.000542	5.420156	1.836399	0.043690
  31	1.5000e-02	1.2176	-29.764012	0.000090	0.903359	0.306066	0.007282
  32	1.5500e-02	1.2962	-29.363517	0.000994	9.936953	3.366731	0.080099
  33	1.6000e-02	1.3347	-29.399926	-0.000090	-0.903359	-0.306066	-0.007282
  34	1.6500e-02	1.3668	-29.035840	0.000903	9.033594	3.060664	0.072817
  35	1.7000e-02	1.3989	-28.926614	0.000271	2.710078	0.918199	0.021845
  36	1.7500e-02	1.4534	-28.853797	0.000181	1.806719	0.612133	0.014563
  37	1.8000e-02	1.4663	-28.526120	0.000813	8.130234	2.754598	0.065535
  38	1.8500e-02	1.5320	-28.416894	0.000271	2.710078	0.918199	0.021845
  39	1.9000e-02	1.5721	-28.380486	0.000090	0.903359	0.306066	0.007282
  40	1.9500e-02	1.6058	-27.870766	0.001265	12.647031	4.284930	0.101944
  41	2.0000e-02	1.6267	-27.579497	0.000723	7.226875	2.448532	0.058254
  42	2.0500e-02	1.6700	-28.016400	-0.001084	-10.840313	-3.672797	-0.087381
  43	2.1000e-02	1.7262	-27.615906	0.000994	9.936953	3.366731	0.080099
  44	2.1500e-02	1.7647	-27.470271	0.000361	3.613438	1.224266	0.029127
  45	2.2000e-02	1.8096	-27.215411	0.000632	6.323516	2.142465	0.050972
  46	2.2500e-02	1.8561	-26.996960	0.000542	5.420156	1.836399	0.043690
  47	2.3000e-02	1.8914	-26.742100	0.000632	6.323516	2.142465	0.050972
  48	2.3500e-02	1.9363	-26.705691	0.000090	0.903359	0.306066	0.007282
  49	2.4000e-02	1.9636	-26.487240	0.000542	5.420156	1.836399	0.043690
  50	2.4500e-02	1.9796	-26.232380	0.000632	6.323516	2.142465	0.050972
