»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 16:55:21
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 04:54:40 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0385	-10.715146	-0.000007	-0.072908	-0.024702	0.000003
   2	5.0000e-02	0.0289	-10.713516	-0.000007	-0.072908	-0.024702	0.000003
   3	1.0000e-01	0.0481	-10.687447	0.000117	1.166535	0.395233	0.000052
   4	1.5000e-01	0.0882	-10.660155	0.000122	1.221216	0.413759	0.000055
   5	2.0000e-01	0.0818	-10.638565	-0.000097	-0.966037	-0.327302	0.000043
   6	2.5000e-01	0.1412	-10.611273	0.000122	1.221216	0.413759	0.000055
   7	3.0000e-01	0.1620	-10.585204	0.000117	1.166535	0.395233	0.000052
   8	3.5000e-01	0.1540	-10.559134	-0.000117	-1.166535	-0.395233	0.000052
   9	4.0000e-01	0.1925	-10.533064	0.000117	1.166535	0.395233	0.000052
  10	4.5000e-01	0.1797	-10.506586	-0.000118	-1.184762	-0.401408	0.000053
  11	5.0000e-01	0.2102	-10.483775	0.000102	1.020718	0.345829	0.000046
  12	5.5000e-01	0.2422	-10.455669	0.000126	1.257670	0.426110	0.000056
  13	6.0000e-01	0.2519	-10.429599	0.000117	1.166535	0.395233	0.000052
  14	6.5000e-01	0.2823	-10.403529	0.000117	1.166535	0.395233	0.000052
  15	7.0000e-01	0.2888	-10.379496	0.000108	1.075399	0.364355	0.000048
  16	7.5000e-01	0.3321	-10.355462	0.000108	1.075399	0.364355	0.000048
  17	8.0000e-01	0.3561	-10.330207	0.000113	1.130081	0.382882	0.000051
  18	8.5000e-01	0.3561	-10.299656	-0.000137	-1.367033	-0.463163	0.000061
  19	9.0000e-01	0.3738	-10.278067	0.000097	0.966037	0.327302	0.000043
  20	9.5000e-01	0.4043	-10.255663	0.000100	1.002491	0.339653	0.000045
  21	1.0000e+00	0.4123	-10.227557	0.000126	1.257670	0.426110	0.000056
  22	1.0500e+00	0.4412	-10.203931	0.000106	1.057172	0.358180	0.000047
  23	1.1000e+00	0.4540	-10.177454	0.000118	1.184762	0.401408	0.000053
  24	1.1500e+00	0.4877	-10.154235	0.000104	1.038945	0.352004	0.000046
