»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 18:22:19
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 06:21:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	19.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	DisabledProfile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0497	-1.724459	-0.000003	-0.029929	-0.010140	0.000001
   2	5.0000e-02	0.0241	-1.723749	-0.000003	-0.029929	-0.010140	0.000001
   3	1.0000e-01	0.0578	-1.721975	0.000007	0.074822	0.025350	0.000004
   4	1.5000e-01	0.0706	-1.719712	0.000010	0.095398	0.032322	0.000005
   5	2.0000e-01	0.0722	-1.717716	0.000008	0.084175	0.028519	0.000004
   6	2.5000e-01	0.1283	-1.714743	0.000013	0.125327	0.042462	0.000006
   7	3.0000e-01	0.1700	-1.711860	0.000012	0.121586	0.041194	0.000006
   8	3.5000e-01	0.1636	-1.708000	-0.000016	-0.162738	-0.055137	0.000008
   9	4.0000e-01	0.1957	-1.704629	0.000014	0.142162	0.048166	0.000007
  10	4.5000e-01	0.1845	-1.700591	-0.000017	-0.170220	-0.057672	0.000008
  11	5.0000e-01	0.2342	-1.696066	0.000019	0.190796	0.064643	0.000009
  12	5.5000e-01	0.2310	-1.691896	-0.000018	-0.175832	-0.059573	0.000008
  13	6.0000e-01	0.2567	-1.687460	0.000019	0.187055	0.063376	0.000009
  14	6.5000e-01	0.2872	-1.683157	0.000018	0.181443	0.061475	0.000009
  15	7.0000e-01	0.2679	-1.679741	-0.000014	-0.144032	-0.048799	0.000007
  16	7.5000e-01	0.3241	-1.675437	0.000018	0.181443	0.061475	0.000009
  17	8.0000e-01	0.3305	-1.671090	0.000018	0.183314	0.062108	0.000009
  18	8.5000e-01	0.3738	-1.667186	0.000016	0.164608	0.055771	0.000008
  19	9.0000e-01	0.3529	-1.662661	-0.000019	-0.190796	-0.064643	0.000009
  20	9.5000e-01	0.4043	-1.658313	0.000018	0.183314	0.062108	0.000009
  21	1.0000e+00	0.4299	-1.654365	0.000017	0.166479	0.056405	0.000008
  22	1.0500e+00	0.4476	-1.650594	0.000016	0.158997	0.053870	0.000008
  23	1.1000e+00	0.4460	-1.647000	-0.000015	-0.151514	-0.051334	0.000007
  24	1.1500e+00	0.4989	-1.642830	0.000018	0.175832	0.059573	0.000008
  25	1.2000e+00	0.4925	-1.639237	-0.000015	-0.151514	-0.051334	0.000007
  26	1.2500e+00	0.4957	-1.635599	0.000015	0.153385	0.051968	0.000007
  27	1.3000e+00	0.5374	-1.631295	0.000018	0.181443	0.061475	0.000009
  28	1.3500e+00	0.5679	-1.627125	0.000018	0.175832	0.059573	0.000008
  29	1.4000e+00	0.5567	-1.622733	-0.000019	-0.185184	-0.062742	0.000009
  30	1.4500e+00	0.6000	-1.618519	0.000018	0.177702	0.060207	0.000008
  31	1.5000e+00	0.5936	-1.614526	-0.000017	-0.168349	-0.057038	0.000008
  32	1.5500e+00	0.6529	-1.610045	0.000019	0.188925	0.064010	0.000009
