»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 17:42:14
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 05:41:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-170
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0064	-33.144884	0.000181	1.812172	0.613980	0.000073
   2	5.0000e-02	0.0209	-33.108550	0.000181	1.812172	0.613980	0.000073
   3	1.0000e-01	0.0369	-32.991473	0.000584	5.839221	1.978382	0.000234
   4	1.5000e-01	0.0561	-32.947065	0.000221	2.214877	0.750421	0.000089
   5	2.0000e-01	0.0738	-32.866322	0.000403	4.027049	1.364401	0.000161
   6	2.5000e-01	0.0930	-32.749245	0.000584	5.839221	1.978382	0.000234
   7	3.0000e-01	0.1187	-32.737134	0.000060	0.604057	0.204660	0.000024
   8	3.5000e-01	0.1348	-32.648317	0.000443	4.429754	1.500841	0.000178
   9	4.0000e-01	0.1572	-32.547388	0.000503	5.033811	1.705501	0.000202
  10	4.5000e-01	0.1829	-32.462608	0.000423	4.228401	1.432621	0.000170
  11	5.0000e-01	0.2086	-32.393977	0.000342	3.422992	1.159741	0.000137
  12	5.5000e-01	0.2118	-32.305160	0.000443	4.429754	1.500841	0.000178
  13	6.0000e-01	0.2438	-32.236529	0.000342	3.422992	1.159741	0.000137
  14	6.5000e-01	0.2583	-32.119452	0.000584	5.839221	1.978382	0.000234
  15	7.0000e-01	0.2856	-32.006412	0.000564	5.637868	1.910162	0.000226
  16	7.5000e-01	0.2984	-31.970078	0.000181	1.812172	0.613980	0.000073
  17	8.0000e-01	0.3160	-31.881261	0.000443	4.429754	1.500841	0.000178
  18	8.5000e-01	0.3305	-31.804555	0.000383	3.825696	1.296181	0.000153
  19	9.0000e-01	0.3513	-31.699590	0.000524	5.235164	1.773721	0.000210
  20	9.5000e-01	0.3770	-31.663256	0.000181	1.812172	0.613980	0.000073
  21	1.0000e+00	0.3978	-31.562327	0.000503	5.033811	1.705501	0.000202
  22	1.0500e+00	0.4171	-31.485622	0.000383	3.825696	1.296181	0.000153
  23	1.1000e+00	0.4347	-31.380656	0.000524	5.235164	1.773721	0.000210
  24	1.1500e+00	0.4572	-31.316062	0.000322	3.221639	1.091521	0.000129
  25	1.2000e+00	0.4749	-31.259542	0.000282	2.818934	0.955081	0.000113
  26	1.2500e+00	0.4989	-31.166688	0.000463	4.631106	1.569061	0.000186
  27	1.3000e+00	0.5230	-31.106131	0.000302	3.020287	1.023301	0.000121
  28	1.3500e+00	0.5406	-31.005202	0.000503	5.033811	1.705501	0.000202
  29	1.4000e+00	0.5599	-30.932534	0.000362	3.624344	1.227961	0.000145
  30	1.4500e+00	0.5855	-30.896200	0.000181	1.812172	0.613980	0.000073
  31	1.5000e+00	0.6016	-30.775086	0.000604	6.040573	2.046602	0.000242
  32	1.5500e+00	0.6192	-30.710492	0.000322	3.221639	1.091521	0.000129
  33	1.6000e+00	0.6465	-30.609563	0.000503	5.033811	1.705501	0.000202
  34	1.6500e+00	0.6625	-30.496523	0.000564	5.637868	1.910162	0.000226
  35	1.7000e+00	0.6786	-30.399632	0.000483	4.832459	1.637281	0.000194
  36	1.7500e+00	0.7059	-30.335038	0.000322	3.221639	1.091521	0.000129
  37	1.8000e+00	0.7219	-30.270444	0.000322	3.221639	1.091521	0.000129
  38	1.8500e+00	0.7396	-30.096847	0.000866	8.658155	2.933462	0.000347
  39	1.9000e+00	0.7540	-30.056476	0.000201	2.013524	0.682201	0.000081
  40	1.9500e+00	0.7748	-29.979770	0.000383	3.825696	1.296181	0.000153
  41	2.0000e+00	0.8005	-29.890953	0.000443	4.429754	1.500841	0.000178
  42	2.0500e+00	0.8150	-29.842507	0.000242	2.416229	0.818641	0.000097
  43	2.1000e+00	0.8422	-29.761765	0.000403	4.027049	1.364401	0.000161
  44	2.1500e+00	0.8695	-29.689096	0.000362	3.624344	1.227961	0.000145
  45	2.2000e+00	0.8791	-29.567982	0.000604	6.040573	2.046602	0.000242
  46	2.2500e+00	0.8903	-29.503388	0.000322	3.221639	1.091521	0.000129
  47	2.3000e+00	0.9144	-29.442831	0.000302	3.020287	1.023301	0.000121
  48	2.3500e+00	0.9321	-29.390348	0.000262	2.617582	0.886861	0.000105
  49	2.4000e+00	0.9577	-29.301531	0.000443	4.429754	1.500841	0.000178
  50	2.4500e+00	0.9802	-29.192529	0.000544	5.436516	1.841941	0.000218
  51	2.5000e+00	0.9946	-29.152157	0.000201	2.013524	0.682201	0.000081
  52	2.5500e+00	1.0203	-29.047192	0.000524	5.235164	1.773721	0.000210
  53	2.6000e+00	1.0395	-28.950300	0.000483	4.832459	1.637281	0.000194
  54	2.6500e+00	1.0508	-28.865521	0.000423	4.228401	1.432621	0.000170
  55	2.7000e+00	1.0893	-28.728258	0.000685	6.845983	2.319482	0.000275
  56	2.7500e+00	1.1005	-28.655589	0.000362	3.624344	1.227961	0.000145
  57	2.8000e+00	1.1230	-28.599070	0.000282	2.818934	0.955081	0.000113
  58	2.8500e+00	1.1422	-28.538513	0.000302	3.020287	1.023301	0.000121
  59	2.9000e+00	1.1583	-28.494104	0.000221	2.214877	0.750421	0.000089
  60	2.9500e+00	1.1743	-28.381064	0.000564	5.637868	1.910162	0.000226
  61	3.0000e+00	1.2016	-28.280136	0.000503	5.033811	1.705501	0.000202
  62	3.0500e+00	1.2192	-28.247839	0.000161	1.610820	0.545760	0.000065
  63	3.1000e+00	1.2433	-28.142873	0.000524	5.235164	1.773721	0.000210
  64	3.1500e+00	1.2689	-28.086353	0.000282	2.818934	0.955081	0.000113
  65	3.2000e+00	1.2738	-28.025796	0.000302	3.020287	1.023301	0.000121
  66	3.2500e+00	1.2962	-27.969276	0.000282	2.818934	0.955081	0.000113
  67	3.3000e+00	1.3123	-27.876422	0.000463	4.631106	1.569061	0.000186
  68	3.3500e+00	1.3331	-27.771457	0.000524	5.235164	1.773721	0.000210
  69	3.4000e+00	1.3620	-27.678603	0.000463	4.631106	1.569061	0.000186
  70	3.4500e+00	1.3796	-27.609971	0.000342	3.422992	1.159741	0.000137
  71	3.5000e+00	1.3941	-27.492894	0.000584	5.839221	1.978382	0.000234
  72	3.5500e+00	1.4214	-27.400040	0.000463	4.631106	1.569061	0.000186
  73	3.6000e+00	1.4310	-27.303149	0.000483	4.832459	1.637281	0.000194
  74	3.6500e+00	1.4599	-27.262778	0.000201	2.013524	0.682201	0.000081
  75	3.7000e+00	1.4823	-27.194146	0.000342	3.422992	1.159741	0.000137
  76	3.7500e+00	1.4951	-27.093218	0.000503	5.033811	1.705501	0.000202
  77	3.8000e+00	1.5256	-27.004401	0.000443	4.429754	1.500841	0.000178
  78	3.8500e+00	1.5369	-26.943844	0.000302	3.020287	1.023301	0.000121
  79	3.9000e+00	1.5625	-26.863101	0.000403	4.027049	1.364401	0.000161
  80	3.9500e+00	1.5866	-26.750061	0.000564	5.637868	1.910162	0.000226
  81	4.0000e+00	1.5978	-26.681430	0.000342	3.422992	1.159741	0.000137
  82	4.0500e+00	1.6139	-26.592613	0.000443	4.429754	1.500841	0.000178
  83	4.1000e+00	1.6363	-26.499759	0.000463	4.631106	1.569061	0.000186
  84	4.1500e+00	1.6588	-26.431128	0.000342	3.422992	1.159741	0.000137
  85	4.2000e+00	1.6716	-26.354422	0.000383	3.825696	1.296181	0.000153
  86	4.2500e+00	1.7053	-26.273679	0.000403	4.027049	1.364401	0.000161
  87	4.3000e+00	1.7246	-26.217159	0.000282	2.818934	0.955081	0.000113
  88	4.3500e+00	1.7406	-26.140454	0.000383	3.825696	1.296181	0.000153
  89	4.4000e+00	1.7406	-26.067785	-0.000362	-3.624344	-1.227961	0.000145
  90	4.4500e+00	1.7871	-25.978968	0.000443	4.429754	1.500841	0.000178
  91	4.5000e+00	1.7903	-25.857854	0.000604	6.040573	2.046602	0.000242
  92	4.5500e+00	1.8208	-25.813446	0.000221	2.214877	0.750421	0.000089
  93	4.6000e+00	1.8465	-25.712518	0.000503	5.033811	1.705501	0.000202
  94	4.6500e+00	1.8497	-25.664072	0.000242	2.416229	0.818641	0.000097
  95	4.7000e+00	1.8657	-25.579292	0.000423	4.228401	1.432621	0.000170
  96	4.7500e+00	1.9090	-25.470289	0.000544	5.436516	1.841941	0.000218
  97	4.8000e+00	1.9138	-25.361287	0.000544	5.436516	1.841941	0.000218
  98	4.8500e+00	1.9379	-25.353212	0.000040	0.402705	0.136440	0.000016
  99	4.9000e+00	1.9604	-25.272470	0.000403	4.027049	1.364401	0.000161
 100	4.9500e+00	1.9796	-25.191727	0.000403	4.027049	1.364401	0.000161
 101	5.0000e+00	2.0037	-25.115021	0.000383	3.825696	1.296181	0.000153
 102	5.0500e+00	2.0213	-25.042353	0.000362	3.624344	1.227961	0.000145
 103	5.1000e+00	2.0438	-24.985833	0.000282	2.818934	0.955081	0.000113
 104	5.1500e+00	2.0614	-24.905090	0.000403	4.027049	1.364401	0.000161
 105	5.2000e+00	2.0807	-24.783976	0.000604	6.040573	2.046602	0.000242
 106	5.2500e+00	2.0999	-24.699196	0.000423	4.228401	1.432621	0.000170
 107	5.3000e+00	2.1160	-24.630565	0.000342	3.422992	1.159741	0.000137
 108	5.3500e+00	2.1417	-24.541748	0.000443	4.429754	1.500841	0.000178
 109	5.4000e+00	2.1545	-24.424671	0.000584	5.839221	1.978382	0.000234
 110	5.4500e+00	2.1753	-24.388337	0.000181	1.812172	0.613980	0.000073
 111	5.5000e+00	2.2010	-24.303557	0.000423	4.228401	1.432621	0.000170
 112	5.5500e+00	2.2235	-24.182443	0.000604	6.040573	2.046602	0.000242
 113	5.6000e+00	2.2395	-24.138035	0.000221	2.214877	0.750421	0.000089
 114	5.6500e+00	2.2572	-24.037106	0.000503	5.033811	1.705501	0.000202
 115	5.7000e+00	2.2604	-23.956363	0.000403	4.027049	1.364401	0.000161
 116	5.7500e+00	2.2957	-23.911955	0.000221	2.214877	0.750421	0.000089
 117	5.8000e+00	2.3197	-23.790841	0.000604	6.040573	2.046602	0.000242
 118	5.8500e+00	2.3390	-23.718172	0.000362	3.624344	1.227961	0.000145
 119	5.9000e+00	2.3695	-23.653578	0.000322	3.221639	1.091521	0.000129
 120	5.9500e+00	2.3727	-23.588984	0.000322	3.221639	1.091521	0.000129
 121	6.0000e+00	2.3935	-23.488056	0.000503	5.033811	1.705501	0.000202
 122	6.0500e+00	2.4112	-23.427499	0.000302	3.020287	1.023301	0.000121
 123	6.1000e+00	2.4465	-23.326570	0.000503	5.033811	1.705501	0.000202
 124	6.1500e+00	2.4577	-23.241790	0.000423	4.228401	1.432621	0.000170
 125	6.2000e+00	2.4850	-23.177196	0.000322	3.221639	1.091521	0.000129
 126	6.2500e+00	2.4978	-23.084342	0.000463	4.631106	1.569061	0.000186
 127	6.3000e+00	2.5202	-22.999562	0.000423	4.228401	1.432621	0.000170
 128	6.3500e+00	2.5315	-22.926894	0.000362	3.624344	1.227961	0.000145
 129	6.4000e+00	2.5571	-22.805780	0.000604	6.040573	2.046602	0.000242
 130	6.4500e+00	2.5860	-22.797706	0.000040	0.402705	0.136440	0.000016
 131	6.5000e+00	2.5973	-22.712926	0.000423	4.228401	1.432621	0.000170
 132	6.5500e+00	2.6133	-22.648331	0.000322	3.221639	1.091521	0.000129
 133	6.6000e+00	2.6406	-22.563552	0.000423	4.228401	1.432621	0.000170
 134	6.6500e+00	2.6598	-22.486846	0.000383	3.825696	1.296181	0.000153
 135	6.7000e+00	2.6775	-22.418215	0.000342	3.422992	1.159741	0.000137
 136	6.7500e+00	2.6999	-22.337472	0.000403	4.027049	1.364401	0.000161
 137	6.8000e+00	2.7208	-22.264804	0.000362	3.624344	1.227961	0.000145
 138	6.8500e+00	2.7464	-22.171949	0.000463	4.631106	1.569061	0.000186
 139	6.9000e+00	2.7657	-22.071021	0.000503	5.033811	1.705501	0.000202
 140	6.9500e+00	2.7801	-21.994316	0.000383	3.825696	1.296181	0.000153
 141	7.0000e+00	2.7978	-21.885313	0.000544	5.436516	1.841941	0.000218
 142	7.0500e+00	2.8267	-21.820719	0.000322	3.221639	1.091521	0.000129
 143	7.1000e+00	2.8347	-21.731902	0.000443	4.429754	1.500841	0.000178
 144	7.1500e+00	2.8603	-21.647122	0.000423	4.228401	1.432621	0.000170
 145	7.2000e+00	2.8764	-21.594639	0.000262	2.617582	0.886861	0.000105
 146	7.2500e+00	2.8940	-21.501785	0.000463	4.631106	1.569061	0.000186
 147	7.3000e+00	2.9213	-21.429116	0.000362	3.624344	1.227961	0.000145
 148	7.3500e+00	2.9390	-21.332225	0.000483	4.832459	1.637281	0.000194
 149	7.4000e+00	2.9454	-21.283780	0.000242	2.416229	0.818641	0.000097
 150	7.4500e+00	2.9823	-21.190925	0.000463	4.631106	1.569061	0.000186
 151	7.5000e+00	2.9903	-21.094034	0.000483	4.832459	1.637281	0.000194
 152	7.5500e+00	3.0031	-21.025403	0.000342	3.422992	1.159741	0.000137
 153	7.6000e+00	3.0416	-20.989069	0.000181	1.812172	0.613980	0.000073
 154	7.6500e+00	3.0529	-20.851806	0.000685	6.845983	2.319482	0.000275
 155	7.7000e+00	3.0801	-20.775101	0.000383	3.825696	1.296181	0.000153
 156	7.7500e+00	3.0994	-20.690321	0.000423	4.228401	1.432621	0.000170
 157	7.8000e+00	3.1154	-20.633801	0.000282	2.818934	0.955081	0.000113
 158	7.8500e+00	3.1395	-20.528835	0.000524	5.235164	1.773721	0.000210
 159	7.9000e+00	3.1603	-20.435981	0.000463	4.631106	1.569061	0.000186
 160	7.9500e+00	3.1860	-20.383498	0.000262	2.617582	0.886861	0.000105
 161	8.0000e+00	3.2020	-20.302756	0.000403	4.027049	1.364401	0.000161
 162	8.0500e+00	3.2197	-20.226050	0.000383	3.825696	1.296181	0.000153
 163	8.1000e+00	3.2373	-20.161456	0.000322	3.221639	1.091521	0.000129
 164	8.1500e+00	3.2646	-20.092825	0.000342	3.422992	1.159741	0.000137
 165	8.2000e+00	3.2774	-20.016119	0.000383	3.825696	1.296181	0.000153
 166	8.2500e+00	3.3047	-19.923265	0.000463	4.631106	1.569061	0.000186
 167	8.3000e+00	3.3272	-19.846559	0.000383	3.825696	1.296181	0.000153
 168	8.3500e+00	3.3512	-19.846559	0.000000	0.000000	0.000000	0.000000
 169	8.4000e+00	3.3577	-19.693148	0.000765	7.651393	2.592362	0.000307
 170	8.4500e+00	3.3913	-19.677000	0.000081	0.805410	0.272880	0.000032
 171	8.5000e+00	3.3994	-19.628554	0.000242	2.416229	0.818641	0.000097
 172	8.5500e+00	3.4170	-19.507440	0.000604	6.040573	2.046602	0.000242
 173	8.6000e+00	3.4395	-19.438809	0.000342	3.422992	1.159741	0.000137
 174	8.6500e+00	3.4651	-19.341917	0.000483	4.832459	1.637281	0.000194
 175	8.7000e+00	3.4764	-19.228878	0.000564	5.637868	1.910162	0.000226
 176	8.7500e+00	3.5036	-19.140061	0.000443	4.429754	1.500841	0.000178
 177	8.8000e+00	3.5165	-19.079503	0.000302	3.020287	1.023301	0.000121
 178	8.8500e+00	3.5325	-19.002798	0.000383	3.825696	1.296181	0.000153
 179	8.9000e+00	3.5598	-18.926092	0.000383	3.825696	1.296181	0.000153
