»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 18:14:44
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 06:13:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	DisabledProfile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0465	-30.133559	0.000354	3.536222	1.198105	0.028399
   2	5.0000e-04	0.0529	-29.991565	0.000354	3.536222	1.198105	0.028399
   3	1.0000e-03	0.1235	-30.038896	-0.000118	-1.178741	-0.399368	-0.009466
   4	1.5000e-03	0.1460	-29.824086	0.000535	5.349670	1.812517	0.042962
   5	2.0000e-03	0.2102	-29.631120	0.000481	4.805635	1.628193	0.038593
   6	2.5000e-03	0.2406	-29.467282	0.000408	4.080256	1.382428	0.032768
   7	3.0000e-03	0.2775	-29.288880	0.000444	4.442946	1.505311	0.035680
   8	3.5000e-03	0.3353	-29.194217	0.000236	2.357482	0.798736	0.018932
   9	4.0000e-03	0.3770	-28.975766	0.000544	5.440342	1.843238	0.043690
  10	4.5000e-03	0.3978	-28.935717	0.000100	0.997396	0.337927	0.008010
  11	5.0000e-03	0.4460	-28.760955	0.000435	4.352274	1.474590	0.034952
  12	5.5000e-03	0.4572	-28.546145	0.000535	5.349670	1.812517	0.042962
  13	6.0000e-03	0.5085	-28.364102	0.000453	4.533618	1.536031	0.036409
  14	6.5000e-03	0.5599	-28.349538	0.000036	0.362689	0.122883	0.002913
  15	7.0000e-03	0.5920	-28.080115	0.000671	6.709755	2.273327	0.053885
  16	7.5000e-03	0.6160	-28.018220	0.000154	1.541430	0.522251	0.012379
  17	8.0000e-03	0.6802	-27.726952	0.000725	7.253789	2.457650	0.058254
  18	8.5000e-03	0.7091	-27.654135	0.000181	1.813447	0.614413	0.014563
  19	9.0000e-03	0.7572	-27.657775	-0.000009	-0.090672	-0.030721	-0.000728
  20	9.5000e-03	0.7925	-27.333739	0.000807	8.069841	2.734136	0.064807
  21	1.0000e-02	0.8342	-27.199027	0.000335	3.354878	1.136663	0.026942
  22	1.0500e-02	0.8711	-26.995139	0.000508	5.077652	1.720355	0.040778
  23	1.1000e-02	0.9353	-26.940527	0.000136	1.360085	0.460809	0.010923
  24	1.1500e-02	0.9706	-26.838583	0.000254	2.538826	0.860178	0.020389
  25	1.2000e-02	1.0155	-26.711152	0.000317	3.173533	1.075222	0.025486
  26	1.2500e-02	1.0444	-26.499983	0.000526	5.258997	1.781796	0.042234
  27	1.3000e-02	1.0620	-26.263327	0.000589	5.893704	1.996841	0.047331
  28	1.3500e-02	1.1230	-26.190510	0.000181	1.813447	0.614413	0.014563
  29	1.4000e-02	1.1631	-25.942932	0.000617	6.165721	2.089003	0.049516
  30	1.4500e-02	1.1919	-25.811861	0.000326	3.264205	1.105943	0.026214
  31	1.5000e-02	1.2433	-25.775452	0.000091	0.906724	0.307206	0.007282
  32	1.5500e-02	1.2738	-25.513310	0.000653	6.528410	2.211885	0.052428
  33	1.6000e-02	1.3074	-25.385880	0.000317	3.173533	1.075222	0.025486
  34	1.6500e-02	1.3508	-25.025435	0.000898	8.976564	3.041342	0.072089
  35	1.7000e-02	1.4005	-25.080048	-0.000136	-1.360085	-0.460809	-0.010923
  36	1.7500e-02	1.4454	-24.952618	0.000317	3.173533	1.075222	0.025486
  37	1.8000e-02	1.4807	-24.803343	0.000372	3.717567	1.259546	0.029855
  38	1.8500e-02	1.5080	-24.595814	0.000517	5.168325	1.751076	0.041506
