»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/10/2025 - 18:41:23
Configured:	10/10/25 10:37:25 AM
Executed:	10/10/25 06:40:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	DisabledProfile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0449	-11.215662	-0.000309	-3.085945	-1.045547	0.024758
   2	5.0000e-04	0.0353	-11.091873	-0.000309	-3.085945	-1.045547	0.024758
   3	1.0000e-03	0.1187	-10.928034	0.000408	4.084339	1.383812	0.032768
   4	1.5000e-03	0.1364	-10.975366	-0.000118	-1.179920	-0.399768	-0.009466
   5	2.0000e-03	0.1813	-10.858858	0.000290	2.904419	0.984044	0.023301
   6	2.5000e-03	0.2278	-10.749632	0.000272	2.722893	0.922541	0.021845
   7	3.0000e-03	0.2791	-10.786041	-0.000091	-0.907631	-0.307514	-0.007282
   8	3.5000e-03	0.3321	-10.669533	0.000290	2.904419	0.984044	0.023301
   9	4.0000e-03	0.3545	-10.764196	-0.000236	-2.359840	-0.799536	-0.018932
  10	4.5000e-03	0.4075	-10.523899	0.000599	5.990364	2.029590	0.048059
  11	5.0000e-03	0.4107	-10.611280	-0.000218	-2.178314	-0.738033	-0.017476
  12	5.5000e-03	0.4813	-10.567589	0.000109	1.089157	0.369016	0.008738
  13	6.0000e-03	0.5230	-10.418314	0.000372	3.721287	1.260806	0.029855
  14	6.5000e-03	0.5358	-10.294525	0.000309	3.085945	1.045547	0.024758
  15	7.0000e-03	0.5920	-10.443800	-0.000372	-3.721287	-1.260806	-0.029855
  16	7.5000e-03	0.6433	-10.338215	0.000263	2.632130	0.891790	0.021117
  17	8.0000e-03	0.6609	-10.167095	0.000427	4.265865	1.445314	0.034224
  18	8.5000e-03	0.7219	-10.192581	-0.000064	-0.635342	-0.215260	-0.005097
  19	9.0000e-03	0.7428	-10.214426	-0.000054	-0.544579	-0.184508	-0.004369
  20	9.5000e-03	0.7893	-10.032383	0.000454	4.538155	1.537568	0.036409
  21	1.0000e-02	0.8198	-10.057869	-0.000064	-0.635342	-0.215260	-0.005097
  22	1.0500e-02	0.8679	-9.985052	0.000182	1.815262	0.615027	0.014563
  23	1.1000e-02	0.9353	-9.901313	0.000209	2.087551	0.707281	0.016748
