»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 16:54:16
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 04:53:44 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0064	-3.208330	0.000202	2.020807	0.684668	0.016132
   2	5.0000e-04	0.0128	-3.127668	0.000202	2.020807	0.684668	0.016132
   3	1.0000e-03	0.0513	-2.893748	0.000586	5.860341	1.985537	0.046784
   4	1.5000e-03	0.0738	-2.837285	0.000141	1.414565	0.479268	0.011293
   5	2.0000e-03	0.1027	-2.554968	0.000707	7.072825	2.396338	0.056463
   6	2.5000e-03	0.1492	-2.429942	0.000313	3.132251	1.061235	0.025005
   7	3.0000e-03	0.1973	-2.191989	0.000596	5.961381	2.019771	0.047591
   8	3.5000e-03	0.2406	-1.950003	0.000606	6.062422	2.054004	0.048397
   9	4.0000e-03	0.2679	-1.655587	0.000738	7.375946	2.499038	0.058883
  10	4.5000e-03	0.3176	-1.413601	0.000606	6.062422	2.054004	0.048397
  11	5.0000e-03	0.3593	-1.203880	0.000525	5.254099	1.780137	0.041944
  12	5.5000e-03	0.3962	-0.941729	0.000657	6.567624	2.225171	0.052430
  13	6.0000e-03	0.4347	-0.711842	0.000576	5.759301	1.951304	0.045977
  14	6.5000e-03	0.4797	-0.550518	0.000404	4.041614	1.369336	0.032265
  15	7.0000e-03	0.5085	-0.324664	0.000566	5.658260	1.917070	0.045171
  16	7.5000e-03	0.5503	-0.054447	0.000677	6.769704	2.293638	0.054044
  17	8.0000e-03	0.5936	0.244002	0.000748	7.476987	2.533272	0.059690
  18	8.5000e-03	0.6449	0.413393	0.000424	4.243695	1.437803	0.033878
  19	9.0000e-03	0.6722	0.679577	0.000667	6.668664	2.259404	0.053237
  20	9.5000e-03	0.7155	0.861067	0.000455	4.546816	1.540503	0.036298
  21	1.0000e-02	0.7524	1.155483	0.000738	7.375946	2.499038	0.058883
  22	1.0500e-02	0.7973	1.381336	0.000566	5.658260	1.917070	0.045171
  23	1.1000e-02	0.8342	1.663653	0.000707	7.072825	2.396338	0.056463
  24	1.1500e-02	0.8743	1.950003	0.000717	7.173866	2.430571	0.057270
  25	1.2000e-02	0.9096	2.095195	0.000364	3.637453	1.232402	0.029038
