»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 16:55:15
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 04:54:37 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0112	-5.625749	0.000365	3.646718	1.235542	0.000146
   2	9.9500e-02	0.0096	-5.480412	0.000365	3.646718	1.235542	0.000146
   3	1.9900e-01	0.0545	-5.217998	0.000658	6.584352	2.230839	0.000264
   4	2.9850e-01	0.0898	-4.923287	0.000739	7.394734	2.505404	0.000296
   5	3.9800e-01	0.1332	-4.697207	0.000567	5.672673	1.921954	0.000227
   6	4.9750e-01	0.1717	-4.467091	0.000577	5.773970	1.956274	0.000231
   7	5.9700e-01	0.2150	-4.176417	0.000729	7.293436	2.471083	0.000292
   8	6.9650e-01	0.2503	-3.958412	0.000547	5.470077	1.853312	0.000219
   9	7.9600e-01	0.3000	-3.704072	0.000638	6.381757	2.162198	0.000256
  10	8.9550e-01	0.3353	-3.465881	0.000598	5.976566	2.024915	0.000239
  11	9.9500e-01	0.3722	-3.211541	0.000638	6.381757	2.162198	0.000256
  12	1.0945e+00	0.4139	-2.945091	0.000669	6.685650	2.265160	0.000268
  13	1.1940e+00	0.4492	-2.710937	0.000588	5.875268	1.990595	0.000235
  14	1.2935e+00	0.5005	-2.428337	0.000709	7.090841	2.402442	0.000284
  15	1.3930e+00	0.5358	-2.149775	0.000699	6.989543	2.368121	0.000280
  16	1.4925e+00	0.5727	-1.935807	0.000537	5.368779	1.818992	0.000215
  17	1.5920e+00	0.6176	-1.681467	0.000638	6.381757	2.162198	0.000256
  18	1.6915e+00	0.6481	-1.366570	0.000790	7.901223	2.677007	0.000316
  19	1.7910e+00	0.6994	-1.128379	0.000598	5.976566	2.024915	0.000239
  20	1.8905e+00	0.7347	-0.882114	0.000618	6.179161	2.093557	0.000248
  21	1.9900e+00	0.7748	-0.635849	0.000618	6.179161	2.093557	0.000248
  22	2.0895e+00	0.8166	-0.357287	0.000699	6.989543	2.368121	0.000280
  23	2.1890e+00	0.8567	-0.143318	0.000537	5.368779	1.818992	0.000215
  24	2.2885e+00	0.8920	0.139281	0.000709	7.090841	2.402442	0.000284
  25	2.3880e+00	0.9337	0.429955	0.000729	7.293436	2.471083	0.000292
  26	2.4875e+00	0.9706	0.704480	0.000689	6.888245	2.333801	0.000276
  27	2.5870e+00	1.0091	0.966894	0.000658	6.584352	2.230839	0.000264
  28	2.6865e+00	1.0476	1.213159	0.000618	6.179161	2.093557	0.000248
  29	2.7860e+00	1.0845	1.471536	0.000648	6.483054	2.196518	0.000260
  30	2.8855e+00	1.1342	1.733950	0.000658	6.584352	2.230839	0.000264
  31	2.9850e+00	1.1743	2.032698	0.000750	7.496032	2.539724	0.000300
  32	3.0845e+00	1.2176	2.238592	0.000517	5.166184	1.750351	0.000207
  33	3.1840e+00	1.2529	2.561563	0.000810	8.103818	2.745648	0.000325
  34	3.2835e+00	1.2930	2.799754	0.000598	5.976566	2.024915	0.000239
  35	3.3830e+00	1.3395	3.033908	0.000588	5.875268	1.990595	0.000235
  36	3.4825e+00	1.3684	3.316507	0.000709	7.090841	2.402442	0.000284
  37	3.5820e+00	1.4214	3.615255	0.000750	7.496032	2.539724	0.000300
  38	3.6815e+00	1.4470	3.881706	0.000669	6.685650	2.265160	0.000268
  39	3.7810e+00	1.4951	4.132008	0.000628	6.280459	2.127877	0.000252
  40	3.8805e+00	1.5320	4.382311	0.000628	6.280459	2.127877	0.000252
  41	3.9800e+00	1.5545	4.672985	0.000729	7.293436	2.471083	0.000292
  42	4.0795e+00	1.6058	4.915213	0.000608	6.077864	2.059236	0.000243
  43	4.1790e+00	1.6508	5.189738	0.000689	6.888245	2.333801	0.000276
  44	4.2785e+00	1.6941	5.444078	0.000638	6.381757	2.162198	0.000256
  45	4.3780e+00	1.7342	5.714566	0.000679	6.786948	2.299480	0.000272
  46	4.4775e+00	1.7711	5.972942	0.000648	6.483054	2.196518	0.000260
  47	4.5770e+00	1.8048	6.247468	0.000689	6.888245	2.333801	0.000276
  48	4.6765e+00	1.8529	6.485659	0.000598	5.976566	2.024915	0.000239
  49	4.7760e+00	1.8898	6.792481	0.000770	7.698627	2.608365	0.000308
  50	4.8755e+00	1.9315	7.038746	0.000618	6.179161	2.093557	0.000248
  51	4.9750e+00	1.9652	7.293086	0.000638	6.381757	2.162198	0.000256
  52	5.0745e+00	2.0069	7.535314	0.000608	6.077864	2.059236	0.000243
  53	5.1740e+00	2.0566	7.813876	0.000699	6.989543	2.368121	0.000280
