»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 17:13:20
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 05:11:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0401	-4.440026	0.000072	0.724408	0.245436	0.567974
   2	1.0000e-04	0.6112	-3.872052	0.000072	0.724408	0.245436	0.567974
   3	2.0000e-04	1.4181	1.385346	0.000671	6.705414	2.271856	5.257399
   4	3.0000e-04	1.9684	9.569994	0.001044	10.438900	3.536795	8.184648
   5	4.0000e-04	2.8411	16.669667	0.000906	9.055096	3.067949	7.099673
   6	5.0000e-04	3.7138	22.524166	0.000747	7.466971	2.529878	5.854499
   7	6.0000e-04	4.5015	27.100724	0.000584	5.837054	1.977647	4.576558
   8	7.0000e-04	5.2859	32.165157	0.000646	6.459302	2.188471	5.064433
   9	8.0000e-04	6.0720	37.499014	0.000680	6.802931	2.304895	5.333857
  10	9.0000e-04	6.8950	43.160548	0.000722	7.220858	2.446493	5.661534
  11	1.0000e-03	7.6891	49.641274	0.000827	8.265677	2.800487	6.480727
  12	1.1000e-03	8.5089	54.228755	0.000585	5.850985	1.982367	4.587481
  13	1.2000e-03	9.3142	58.932743	0.000600	5.999581	2.032713	4.703988
  14	1.3000e-03	10.0746	63.625809	0.000599	5.985650	2.027993	4.693066
  15	1.4000e-03	10.8959	68.908693	0.000674	6.737920	2.282869	5.282885
  16	1.5000e-03	11.7334	74.315367	0.000690	6.895804	2.336362	5.406674
  17	1.6000e-03	12.5258	78.884643	0.000583	5.827767	1.974501	4.569276
  18	1.7000e-03	13.3344	83.159010	0.000545	5.451632	1.847063	4.274367
  19	1.8000e-03	14.1205	87.699160	0.000579	5.790618	1.961914	4.540150
  20	1.9000e-03	14.9514	91.645850	0.000503	5.033704	1.705465	3.946690
  21	2.0000e-03	15.7359	96.997910	0.000683	6.826149	2.312762	5.352061
  22	2.1000e-03	16.5332	100.729789	0.000476	4.759730	1.612640	3.731879
  23	2.2000e-03	17.3418	104.975030	0.000541	5.414483	1.834476	4.245240
  24	2.3000e-03	18.1455	108.648655	0.000469	4.685432	1.587467	3.673625
  25	2.4000e-03	18.9701	112.402379	0.000479	4.787592	1.622080	3.753724
  26	2.5000e-03	19.7273	117.506862	0.000651	6.510382	2.205777	5.104482
  27	2.6000e-03	19.4609	119.869778	-0.000301	-3.013722	-1.021077	2.362917
  28	2.7000e-03	18.5177	113.891490	0.000762	7.624855	2.583371	-5.978288
  29	2.8000e-03	18.0621	105.106100	0.001121	11.205100	3.796391	-8.785390
  30	2.9000e-03	17.0305	102.619395	0.000317	3.171605	1.074569	-2.486706
  31	3.0000e-03	16.1257	102.342689	0.000035	0.352917	0.119571	-0.276705
  32	3.1000e-03	15.4857	98.862029	0.000444	4.439319	1.504082	-3.480660
  33	3.2000e-03	14.6900	93.469919	0.000688	6.877229	2.330068	-5.392110
  34	3.3000e-03	13.9568	88.718600	0.000606	6.059949	2.053166	-4.751319
  35	3.4000e-03	13.0569	84.855650	0.000493	4.926901	1.669279	-3.862950
  36	3.5000e-03	12.2852	81.779125	0.000392	3.923875	1.329445	-3.076525
  37	3.6000e-03	11.4687	77.777823	0.000510	5.103359	1.729065	-4.001303
  38	3.7000e-03	10.7066	72.917278	0.000620	6.199258	2.100365	-4.860545
  39	3.8000e-03	9.9511	67.965711	0.000632	6.315349	2.139698	-4.951566
  40	3.9000e-03	9.0944	63.250800	0.000601	6.013512	2.037433	-4.714911
  41	4.0000e-03	8.3212	59.406055	0.000490	4.903683	1.661413	-3.844746
  42	4.1000e-03	7.5511	54.458129	0.000631	6.310705	2.138125	-4.947926
  43	4.2000e-03	6.7041	49.113350	0.000682	6.816862	2.309615	-5.344779
  44	4.3000e-03	5.9677	43.761289	0.000683	6.826149	2.312762	-5.352061
  45	4.4000e-03	5.1368	38.503891	0.000671	6.705414	2.271856	-5.257399
  46	4.5000e-03	4.3362	34.062044	0.000567	5.665239	1.919435	-4.441846
  47	4.6000e-03	3.5855	27.905354	0.000785	7.852393	2.660463	-6.156690
  48	4.7000e-03	2.7705	21.992601	0.000754	7.541269	2.555051	-5.912753
  49	4.8000e-03	2.0245	16.054362	0.000757	7.573775	2.566064	-5.938239
  50	4.9000e-03	1.1599	10.192581	0.000748	7.476258	2.533025	-5.861781
  51	5.0000e-03	0.3850	4.214293	0.000762	7.624855	2.583371	-5.978288
  52	5.1000e-03	-0.3674	-2.149926	0.000812	8.117081	2.750141	-6.364219
  53	5.2000e-03	-1.1727	-8.266567	0.000780	7.801313	2.643156	-6.116641
  54	5.3000e-03	-1.9973	-14.310391	0.000771	7.708440	2.611690	-6.043824
  55	5.4000e-03	-2.7866	-20.802040	0.000828	8.279608	2.805207	-6.491649
  56	5.5000e-03	-3.6480	-26.518187	0.000729	7.290513	2.470093	-5.716147
  57	5.6000e-03	-4.4068	-32.157876	0.000719	7.192997	2.437053	-5.639689
  58	5.7000e-03	-5.2282	-37.484450	0.000679	6.793644	2.301749	-5.326575
  59	5.8000e-03	-6.0560	-42.512475	0.000641	6.412865	2.172738	-5.028024
  60	5.9000e-03	-6.8677	-47.879099	0.000684	6.844724	2.319055	-5.366624
  61	6.0000e-03	-7.6394	-53.063680	0.000661	6.612542	2.240390	-5.184581
  62	6.1000e-03	-8.4864	-57.512809	0.000567	5.674527	1.922582	-4.449128
  63	6.2000e-03	-9.2869	-62.205874	0.000599	5.985650	2.027993	-4.693066
  64	6.3000e-03	-10.0569	-66.829763	0.000590	5.897421	1.998100	-4.623889
  65	6.4000e-03	-10.8591	-71.431808	0.000587	5.869559	1.988661	-4.602044
  66	6.5000e-03	-11.6788	-76.041133	0.000588	5.878847	1.991807	-4.609326
  67	6.6000e-03	-12.5050	-80.249965	0.000537	5.368046	1.818743	-4.208831
  68	6.7000e-03	-13.3280	-84.429670	0.000533	5.330897	1.806157	-4.179705
  69	6.8000e-03	-14.0932	-88.602092	0.000532	5.321610	1.803010	-4.172423
  70	6.9000e-03	-14.9049	-92.031780	0.000437	4.374308	1.482056	-3.429688
  71	7.0000e-03	-15.7263	-96.659311	0.000590	5.902065	1.999674	-4.627530
  72	7.1000e-03	-16.5043	-100.576873	0.000500	4.996555	1.692879	-3.917563
  73	7.2000e-03	-17.2984	-104.341520	0.000480	4.801523	1.626800	-3.764647
  74	7.3000e-03	-18.0845	-108.051554	0.000473	4.731868	1.603200	-3.710034
  75	7.4000e-03	-18.9059	-112.096547	0.000516	5.159083	1.747945	-4.044993
  76	7.5000e-03	-19.6791	-117.106367	0.000639	6.389647	2.164871	-5.009820
  77	7.6000e-03	-19.3615	-119.869778	-0.000352	-3.524522	-1.194140	-2.763411
  78	7.7000e-03	-18.4535	-114.510436	0.000684	6.835436	2.315909	5.359343
  79	7.8000e-03	-18.0075	-107.094009	0.000946	9.459092	3.204827	7.416427
  80	7.9000e-03	-16.8733	-105.189840	0.000243	2.428623	0.822840	1.904169
  81	8.0000e-03	-16.1113	-104.782064	0.000052	0.520088	0.176210	0.407776
  82	8.1000e-03	-15.4423	-100.940959	0.000490	4.899039	1.659839	3.841105
  83	8.2000e-03	-14.6531	-96.011238	0.000629	6.287487	2.130258	4.929721
  84	8.3000e-03	-13.8542	-92.104598	0.000498	4.982624	1.688159	3.906640
  85	8.4000e-03	-12.9606	-88.270774	0.000489	4.889752	1.656693	3.833823
  86	8.5000e-03	-12.2339	-85.842322	0.000310	3.097307	1.049396	2.428452
  87	8.6000e-03	-11.4382	-81.797329	0.000516	5.159083	1.747945	4.044993
  88	8.7000e-03	-10.6537	-77.253539	0.000580	5.795261	1.963488	4.543790
  89	8.8000e-03	-9.8436	-72.706108	0.000580	5.799905	1.965061	4.547431
  90	8.9000e-03	-9.0382	-68.457227	0.000542	5.419126	1.836050	4.248881
  91	9.0000e-03	-8.2249	-65.373420	0.000393	3.933162	1.332591	3.083806
  92	9.1000e-03	-7.4789	-60.349037	0.000641	6.408222	2.171164	5.024384
  93	9.2000e-03	-6.6528	-55.601358	0.000606	6.055305	2.051593	4.747678
  94	9.3000e-03	-5.8891	-50.569693	0.000642	6.417509	2.174311	5.031665
  95	9.4000e-03	-5.0694	-46.065952	0.000574	5.744181	1.946181	4.503741
  96	9.5000e-03	-4.2785	-42.108340	0.000505	5.047635	1.710185	3.957612
  97	9.6000e-03	-3.5036	-36.439524	0.000723	7.230146	2.449640	5.668815
  98	9.7000e-03	-2.6823	-30.919984	0.000704	7.039756	2.385134	5.519540
  99	9.8000e-03	-1.9042	-25.509669	0.000690	6.900447	2.337935	5.410315
 100	9.9000e-03	-1.1149	-19.826291	0.000725	7.248720	2.455933	5.683379
 101	1.0000e-02	-0.3674	-14.696322	0.000725	7.248720	2.455933	5.129968

Center data before PMax,+/-Pr and +/-Vc Calc.

PMax (uC/cm2):	1.18e+02
Pr (uC/cm2):	9.58e-01
