»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 10:47:32
Configured:	06/05/25 10:43:40 AM
Executed:	06/05/25 10:46:55 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-187
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0369	-1.069841	0.000375	3.749820	1.270473	0.000150
   2	9.9500e-02	-0.0080	-0.920467	0.000375	3.749820	1.270473	0.000150
   3	1.9900e-01	0.0433	-0.654016	0.000669	6.688868	2.266250	0.000268
   4	2.9850e-01	0.0754	-0.448122	0.000517	5.168671	1.751193	0.000207
   5	3.9800e-01	0.1155	-0.169560	0.000699	6.992907	2.369261	0.000280
   6	4.9750e-01	0.1572	0.040371	0.000527	5.270017	1.785530	0.000211
   7	5.9700e-01	0.2102	0.262414	0.000557	5.574057	1.888542	0.000223
   8	6.9650e-01	0.2390	0.528865	0.000669	6.688868	2.266250	0.000268
   9	7.9600e-01	0.2775	0.742833	0.000537	5.371364	1.819867	0.000215
  10	8.9550e-01	0.3176	0.968913	0.000568	5.675403	1.922879	0.000227
  11	9.9500e-01	0.3690	1.223252	0.000638	6.384829	2.163238	0.000256
  12	1.0945e+00	0.4027	1.473555	0.000628	6.283482	2.128901	0.000252
  13	1.1940e+00	0.4364	1.711746	0.000598	5.979443	2.025890	0.000239
  14	1.2935e+00	0.4845	1.921677	0.000527	5.270017	1.785530	0.000211
  15	1.3930e+00	0.5198	2.167942	0.000618	6.182136	2.094564	0.000248
  16	1.4925e+00	0.5631	2.438430	0.000679	6.790214	2.300587	0.000272
  17	1.5920e+00	0.5920	2.680658	0.000608	6.080789	2.060227	0.000243
  18	1.6915e+00	0.6289	2.898663	0.000547	5.472710	1.854204	0.000219
  19	1.7910e+00	0.6786	3.181263	0.000709	7.094254	2.403598	0.000284
  20	1.8905e+00	0.7171	3.387157	0.000517	5.168671	1.751193	0.000207
  21	1.9900e+00	0.7572	3.617274	0.000578	5.776750	1.957216	0.000231
  22	2.0895e+00	0.7925	3.863539	0.000618	6.182136	2.094564	0.000248
  23	2.1890e+00	0.8374	4.085581	0.000557	5.574057	1.888542	0.000223
  24	2.2885e+00	0.8711	4.311661	0.000568	5.675403	1.922879	0.000227
  25	2.3880e+00	0.9128	4.537741	0.000568	5.675403	1.922879	0.000227
