»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 18:14:28
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 06:13:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0337	-3.837082	0.000135	1.353669	0.458635	0.011033
   2	5.0000e-04	0.0449	-3.781918	0.000135	1.353669	0.458635	0.011033
   3	1.0000e-03	0.1428	-3.790043	-0.000020	-0.199378	-0.067551	-0.001625
   4	1.5000e-03	0.1444	-3.709649	0.000197	1.972789	0.668399	0.016079
   5	2.0000e-03	0.2198	-3.674584	0.000086	0.860472	0.291536	0.007013
   6	2.5000e-03	0.2422	-3.603171	0.000175	1.752424	0.593737	0.014283
   7	3.0000e-03	0.2920	-3.553138	0.000123	1.227746	0.415972	0.010006
   8	3.5000e-03	0.3289	-3.517218	0.000088	0.881459	0.298646	0.007184
   9	4.0000e-03	0.3818	-3.461199	0.000137	1.374656	0.465746	0.011204
  10	4.5000e-03	0.3866	-3.366694	0.000232	2.319076	0.785724	0.018901
  11	5.0000e-03	0.4684	-3.328208	0.000094	0.944420	0.319978	0.007697
  12	5.5000e-03	0.4732	-3.252945	0.000185	1.846866	0.625735	0.015052
  13	6.0000e-03	0.5118	-3.195644	0.000141	1.406137	0.476412	0.011460
  14	6.5000e-03	0.5631	-3.112257	0.000205	2.046244	0.693286	0.016677
  15	7.0000e-03	0.6144	-3.048968	0.000155	1.553047	0.526186	0.012658
  16	7.5000e-03	0.6465	-2.990811	0.000143	1.427124	0.483523	0.011631
  17	8.0000e-03	0.6978	-2.912983	0.000191	1.909828	0.647067	0.015566
  18	8.5000e-03	0.7508	-2.838149	0.000184	1.836373	0.622180	0.014967
  19	9.0000e-03	0.8005	-2.823182	0.000037	0.367275	0.124436	0.002993
  20	9.5000e-03	0.8037	-2.699171	0.000304	3.043132	1.031041	0.024802
  21	1.0000e-02	0.8246	-2.605093	0.000231	2.308583	0.782169	0.018816
  22	1.0500e-02	0.8952	-2.565752	0.000097	0.965407	0.327089	0.007868
  23	1.1000e-02	0.9272	-2.489634	0.000187	1.867853	0.632846	0.015223
  24	1.1500e-02	0.9449	-2.403682	0.000211	2.109205	0.714618	0.017191
