»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2025 - 18:23:20
Configured:	06/04/25 04:39:58 PM
Executed:	06/04/25 06:21:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-147
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0754	-0.107405	0.000067	0.667073	0.226011	0.524284
   2	1.0000e-04	0.7251	0.416878	0.000067	0.667073	0.226011	0.524284
   3	2.0000e-04	1.4069	4.250701	0.000488	4.877974	1.652702	3.833823
   4	3.0000e-04	2.0037	11.175613	0.000881	8.810928	2.985223	6.924911
   5	4.0000e-04	2.8860	15.555565	0.000557	5.572843	1.888130	4.379952
   6	5.0000e-04	3.7764	19.935516	0.000557	5.572843	1.888130	4.379952
   7	6.0000e-04	4.5993	23.743853	0.000485	4.845547	1.641716	3.808337
   8	7.0000e-04	5.2795	27.268204	0.000448	4.484216	1.519293	3.524350
   9	8.0000e-04	6.1266	32.045009	0.000608	6.077780	2.059208	4.776805
  10	9.0000e-04	6.8950	36.257481	0.000536	5.359750	1.815932	4.212472
  11	1.0000e-03	7.7677	41.827994	0.000709	7.087655	2.401363	5.570512
  12	1.1000e-03	8.6019	45.763761	0.000501	5.007683	1.696649	3.935767
  13	1.2000e-03	9.2901	49.426464	0.000466	4.660249	1.578935	3.662703
  14	1.3000e-03	10.1436	53.977536	0.000579	5.790568	1.961898	4.551072
  15	1.4000e-03	10.8591	57.993402	0.000511	5.109597	1.731178	4.015866
  16	1.5000e-03	11.7895	63.531146	0.000705	7.045963	2.387237	5.537745
  17	1.6000e-03	12.5836	67.750900	0.000537	5.369015	1.819071	4.219754
  18	1.7000e-03	13.3151	71.118694	0.000429	4.285020	1.451804	3.367793
  19	1.8000e-03	14.1221	75.535054	0.000562	5.619167	1.903825	4.416360
  20	1.9000e-03	14.8921	79.033918	0.000445	4.451789	1.508307	3.498864
  21	2.0000e-03	15.7792	84.710016	0.000722	7.221996	2.446879	5.676097
  22	2.1000e-03	16.6166	88.267134	0.000453	4.525908	1.533419	3.557118
  23	2.2000e-03	17.2824	91.536624	0.000416	4.159944	1.409427	3.269490
  24	2.3000e-03	18.1375	95.421419	0.000494	4.942829	1.674676	3.884795
  25	2.4000e-03	18.8995	98.734599	0.000422	4.215533	1.428261	3.313181
  26	2.5000e-03	19.7706	104.166759	0.000691	6.911622	2.341721	5.432160
  27	2.6000e-03	19.3374	106.263893	-0.000267	-2.668294	-0.904042	2.097134
  28	2.7000e-03	18.5818	102.018653	0.000540	5.401442	1.830058	-4.245240
  29	2.8000e-03	17.9995	93.702934	0.001058	10.580526	3.584779	-8.315719
  30	2.9000e-03	17.1284	90.670100	0.000386	3.858834	1.307409	-3.032834
  31	3.0000e-03	16.1386	90.356986	0.000040	0.398391	0.134979	-0.313114
  32	3.1000e-03	15.4969	86.512240	0.000489	4.891872	1.657411	-3.844746
  33	3.2000e-03	14.7413	82.787643	0.000474	4.739001	1.605617	-3.724597
  34	3.3000e-03	13.9103	78.316669	0.000569	5.688654	1.927368	-4.470973
  35	3.4000e-03	13.1210	74.836010	0.000443	4.428626	1.500459	-3.480660
  36	3.5000e-03	12.2660	71.733999	0.000395	3.946851	1.337229	-3.102011
  37	3.6000e-03	11.4253	67.699928	0.000513	5.132759	1.739026	-4.034070
  38	3.7000e-03	10.7596	63.895232	0.000484	4.840915	1.640146	-3.804696
  39	3.8000e-03	9.9061	59.500717	0.000559	5.591372	1.894408	-4.394515
  40	3.9000e-03	9.1714	55.554027	0.000502	5.021581	1.701358	-3.946690
  41	4.0000e-03	8.2698	52.022395	0.000449	4.493481	1.522432	-3.531632
  42	4.1000e-03	7.4356	47.161850	0.000618	6.184327	2.095307	-4.860545
  43	4.2000e-03	6.7827	43.109576	0.000516	5.155922	1.746874	-4.052275
  44	4.3000e-03	5.9453	38.383742	0.000601	6.012926	2.037234	-4.725833
  45	4.4000e-03	5.2266	34.353313	0.000513	5.128127	1.737456	-4.030429
  46	4.5000e-03	4.2544	30.220939	0.000526	5.257836	1.781403	-4.132373
  47	4.6000e-03	3.4844	25.054562	0.000657	6.573453	2.227146	-5.166377
  48	4.7000e-03	2.7994	21.158845	0.000496	4.956726	1.679384	-3.895718
  49	4.8000e-03	1.9090	16.243687	0.000625	6.253813	2.118849	-4.915158
  50	4.9000e-03	1.2048	11.871017	0.000556	5.563578	1.884991	-4.372670
  51	5.0000e-03	0.2503	6.646386	0.000665	6.647572	2.252258	-5.224631
  52	5.1000e-03	-0.4925	1.825890	0.000613	6.133370	2.078042	-4.820496
  53	5.2000e-03	-1.2112	-1.938757	0.000479	4.789958	1.622882	-3.764647
  54	5.3000e-03	-2.0646	-6.726485	0.000609	6.091677	2.063916	-4.787728
  55	5.4000e-03	-2.7866	-11.222944	0.000572	5.721081	1.938355	-4.496459
  56	5.5000e-03	-3.7491	-16.462138	0.000667	6.666102	2.258536	-5.239194
  57	5.6000e-03	-4.5239	-21.111513	0.000592	5.915644	2.004275	-4.649375
  58	5.7000e-03	-5.2314	-24.938055	0.000487	4.868710	1.649563	-3.826541
  59	5.8000e-03	-6.0688	-29.496409	0.000580	5.799833	1.965037	-4.558354
  60	5.9000e-03	-6.8228	-33.818107	0.000550	5.498723	1.863018	-4.321698
  61	6.0000e-03	-7.6987	-39.304879	0.000698	6.981109	2.365264	-5.486773
  62	6.1000e-03	-8.5955	-43.149625	0.000489	4.891872	1.657411	-3.844746
  63	6.2000e-03	-9.2179	-47.045343	0.000496	4.956726	1.679384	-3.895718
  64	6.3000e-03	-10.0794	-51.625542	0.000583	5.827628	1.974454	-4.580199
  65	6.4000e-03	-10.8173	-55.681457	0.000516	5.160554	1.748443	-4.055915
  66	6.5000e-03	-11.7269	-61.029877	0.000681	6.805075	2.305622	-5.348420
  67	6.6000e-03	-12.5868	-64.932877	0.000497	4.965991	1.682523	-3.902999
  68	6.7000e-03	-13.2558	-68.442663	0.000447	4.465686	1.513015	-3.509787
  69	6.8000e-03	-14.0804	-72.647854	0.000535	5.350485	1.812793	-4.205191
  70	6.9000e-03	-14.8119	-76.303275	0.000465	4.650984	1.575796	-3.655421
  71	7.0000e-03	-15.7359	-81.484216	0.000659	6.591983	2.233424	-5.180941
  72	7.1000e-03	-16.5717	-85.398138	0.000498	4.979888	1.687232	-3.913922
  73	7.2000e-03	-17.2182	-88.693114	0.000419	4.192371	1.420414	-3.294976
  74	7.3000e-03	-18.0701	-92.898305	0.000535	5.350485	1.812793	-4.205191
  75	7.4000e-03	-18.8112	-96.826790	0.000500	4.998418	1.693510	-3.928485
  76	7.5000e-03	-19.6904	-103.576940	0.000859	8.588570	2.909886	-6.750150
  77	7.6000e-03	-19.1995	-106.263893	-0.000342	-3.418751	-1.158304	-2.686953
  78	7.7000e-03	-18.4727	-102.619395	0.000464	4.637087	1.571088	3.644499
  79	7.8000e-03	-17.9417	-95.745455	0.000875	8.746074	2.963250	6.873939
  80	7.9000e-03	-16.9904	-93.386179	0.000300	3.001830	1.017048	2.359276
  81	8.0000e-03	-16.1274	-93.022094	0.000046	0.463245	0.156952	0.364086
  82	8.1000e-03	-15.3878	-88.944333	0.000519	5.188349	1.757860	4.077761
  83	8.2000e-03	-14.6386	-85.339884	0.000459	4.586130	1.553823	3.604449
  84	8.3000e-03	-13.8221	-81.298532	0.000514	5.142024	1.742165	4.041352
  85	8.4000e-03	-13.0087	-77.876126	0.000435	4.354507	1.475347	3.422406
  86	8.5000e-03	-12.2002	-75.873654	0.000255	2.547850	0.863235	2.002472
