»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 15:3:55
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 03:03:26 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-0.034281	0.001283	12.826225	4.345643	0.102441
   2	5.0000e-04	0.0112	0.477922	0.001283	12.826225	4.345643	0.102441
   3	1.0000e-03	0.0401	0.284333	-0.000485	-4.847707	-1.642448	-0.038718
   4	1.5000e-03	0.0802	0.526319	0.000606	6.059634	2.053060	0.048397
   5	2.0000e-03	0.1059	0.869133	0.000858	8.584482	2.908501	0.068563
   6	2.5000e-03	0.1492	1.010291	0.000353	3.534787	1.197618	0.028232
   7	3.0000e-03	0.1941	1.345038	0.000838	8.382494	2.840066	0.066949
   8	3.5000e-03	0.2358	1.324873	-0.000050	-0.504970	-0.171088	-0.004033
   9	4.0000e-03	0.2759	1.748348	0.001060	10.604360	3.592854	0.084695
  10	4.5000e-03	0.3096	2.062930	0.000788	7.877524	2.668977	0.062916
  11	5.0000e-03	0.3642	2.232320	0.000424	4.241744	1.437142	0.033878
  12	5.5000e-03	0.3962	2.373479	0.000353	3.534787	1.197618	0.028232
  13	6.0000e-03	0.4235	2.966344	0.001485	14.846103	5.029996	0.118573
  14	6.5000e-03	0.4668	2.934079	-0.000081	-0.807951	-0.273741	-0.006453
  15	7.0000e-03	0.5166	3.228495	0.000737	7.372555	2.497889	0.058883
  16	7.5000e-03	0.5486	3.571309	0.000858	8.584482	2.908501	0.068563
  17	8.0000e-03	0.5968	3.849593	0.000697	6.968579	2.361019	0.055657
  18	8.5000e-03	0.6337	4.055281	0.000515	5.150689	1.745101	0.041138
  19	9.0000e-03	0.6706	4.454557	0.001000	9.998396	3.387548	0.079855
  20	9.5000e-03	0.7187	4.567484	0.000283	2.827829	0.958094	0.022585
  21	1.0000e-02	0.7620	4.753007	0.000465	4.645719	1.574012	0.037105
  22	1.0500e-02	0.8069	5.015158	0.000656	6.564604	2.224148	0.052430
  23	1.1000e-02	0.8310	5.253111	0.000596	5.958640	2.018842	0.047591
  24	1.1500e-02	0.8791	5.547527	0.000737	7.372555	2.497889	0.058883
  25	1.2000e-02	0.9160	5.966969	0.001050	10.503366	3.558637	0.083888
  26	1.2500e-02	0.9593	6.208955	0.000606	6.059634	2.053060	0.048397
  27	1.3000e-02	1.0026	6.624364	0.001040	10.402372	3.524419	0.083082
  28	1.3500e-02	1.0347	6.898615	0.000687	6.867585	2.326801	0.054850
  29	1.4000e-02	1.0716	7.007509	0.000273	2.726835	0.923877	0.021779
  30	1.4500e-02	1.1133	7.297892	0.000727	7.271561	2.463672	0.058077
  31	1.5000e-02	1.1502	7.515679	0.000545	5.453671	1.847754	0.043557
  32	1.5500e-02	1.1823	7.846393	0.000828	8.281500	2.805848	0.066143
  33	1.6000e-02	1.2256	8.084346	0.000596	5.958640	2.018842	0.047591
  34	1.6500e-02	1.2786	8.419093	0.000838	8.382494	2.840066	0.066949
  35	1.7000e-02	1.3123	8.689311	0.000677	6.766591	2.292583	0.054044
  36	1.7500e-02	1.3524	8.790138	0.000252	2.524848	0.855441	0.020165
  37	1.8000e-02	1.4069	9.064389	0.000687	6.867585	2.326801	0.054850
  38	1.8500e-02	1.4358	9.415269	0.000879	8.786469	2.976936	0.070176
  39	1.9000e-02	1.4743	9.600791	0.000465	4.645719	1.574012	0.037105
  40	1.9500e-02	1.5128	9.927472	0.000818	8.180506	2.771630	0.065336
  41	2.0000e-02	1.5513	10.193657	0.000667	6.665597	2.258366	0.053237
  42	2.0500e-02	1.5930	10.532437	0.000848	8.483488	2.874283	0.067756
  43	2.1000e-02	1.6299	10.968012	0.001091	10.907341	3.695507	0.087115
  44	2.1500e-02	1.6700	11.201931	0.000586	5.857646	1.984624	0.046784
  45	2.2000e-02	1.7229	11.476182	0.000687	6.867585	2.326801	0.054850
  46	2.2500e-02	1.7486	11.685903	0.000525	5.251683	1.779318	0.041944
  47	2.3000e-02	1.7871	12.044849	0.000899	8.988457	3.045372	0.071789
  48	2.3500e-02	1.8272	12.218272	0.000434	4.342738	1.471359	0.034685
  49	2.4000e-02	1.8705	12.452192	0.000586	5.857646	1.984624	0.046784
  50	2.4500e-02	1.9122	12.690145	0.000596	5.958640	2.018842	0.047591
  51	2.5000e-02	1.9491	12.710310	0.000050	0.504970	0.171088	0.004033
  52	2.5500e-02	2.0005	13.101521	0.000980	9.796408	3.319113	0.078242
  53	2.6000e-02	2.0261	13.549195	0.001121	11.210323	3.798160	0.089535
  54	2.6500e-02	2.0743	13.650022	0.000252	2.524848	0.855441	0.020165
  55	2.7000e-02	2.1080	13.956538	0.000768	7.675536	2.600542	0.061303
  56	2.7500e-02	2.1593	14.198524	0.000606	6.059634	2.053060	0.048397
  57	2.8000e-02	2.1898	14.569569	0.000929	9.291439	3.148025	0.074209
  58	2.8500e-02	2.2299	14.839786	0.000677	6.766591	2.292583	0.054044
  59	2.9000e-02	2.2780	15.114037	0.000687	6.867585	2.326801	0.054850
  60	2.9500e-02	2.3149	15.299560	0.000465	4.645719	1.574012	0.037105
  61	3.0000e-02	2.3598	15.787564	0.001222	12.220262	4.140337	0.097601
  62	3.0500e-02	2.3951	15.755300	-0.000081	-0.807951	-0.273741	-0.006453
  63	3.1000e-02	2.4400	16.198941	0.001111	11.109329	3.763943	0.088728
  64	3.1500e-02	2.4705	16.388496	0.000475	4.746713	1.608230	0.037911
  65	3.2000e-02	2.5186	16.561919	0.000434	4.342738	1.471359	0.034685
  66	3.2500e-02	2.5491	16.787773	0.000566	5.655658	1.916189	0.045171
  67	3.3000e-02	2.5908	17.283844	0.001242	12.422250	4.208772	0.099214
