»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 13:33:26
Configured:	06/05/25 01:31:43 PM
Executed:	06/05/25 01:33:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-303
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0112	-4.365829	0.000384	3.838917	1.300660	0.030652
   2	5.0000e-04	-0.0080	-4.212571	0.000384	3.838917	1.300660	0.030652
   3	1.0000e-03	0.0305	-4.152075	0.000152	1.515362	0.513418	0.012099
   4	1.5000e-03	0.0658	-4.091579	0.000152	1.515362	0.513418	0.012099
   5	2.0000e-03	0.1091	-4.252902	-0.000404	-4.040965	-1.369116	-0.032265
   6	2.5000e-03	0.1508	-4.087545	0.000414	4.141989	1.403344	0.033071
   7	3.0000e-03	0.1845	-4.075446	0.000030	0.303072	0.102684	0.002420
   8	3.5000e-03	0.2294	-3.889924	0.000465	4.647110	1.574483	0.037105
   9	4.0000e-03	0.2599	-3.881857	0.000020	0.202048	0.068456	0.001613
  10	4.5000e-03	0.3096	-3.595507	0.000717	7.172713	2.430181	0.057270
  11	5.0000e-03	0.3465	-3.518879	0.000192	1.919458	0.650330	0.015326
  12	5.5000e-03	0.3850	-3.478548	0.000101	1.010241	0.342279	0.008066
  13	6.0000e-03	0.4203	-3.377720	0.000253	2.525603	0.855697	0.020165
  14	6.5000e-03	0.4604	-3.365621	0.000030	0.303072	0.102684	0.002420
  15	7.0000e-03	0.5005	-3.333356	0.000081	0.808193	0.273823	0.006453
  16	7.5000e-03	0.5438	-3.188164	0.000364	3.636868	1.232204	0.029038
  17	8.0000e-03	0.5807	-3.119602	0.000172	1.717410	0.581874	0.013713
  18	8.5000e-03	0.6369	-3.014741	0.000263	2.626627	0.889925	0.020972
  19	9.0000e-03	0.6609	-2.990543	0.000061	0.606145	0.205367	0.004840
  20	9.5000e-03	0.7027	-2.881649	0.000273	2.727651	0.924153	0.021779
  21	1.0000e-02	0.7428	-2.796954	0.000212	2.121507	0.718786	0.016939
  22	1.0500e-02	0.7861	-2.663862	0.000333	3.333796	1.129521	0.026618
  23	1.1000e-02	0.8262	-2.550935	0.000283	2.828675	0.958381	0.022585
  24	1.1500e-02	0.8551	-2.522703	0.000071	0.707169	0.239595	0.005646
  25	1.2000e-02	0.9112	-2.397677	0.000313	3.131748	1.061065	0.025005
  26	1.2500e-02	0.9417	-2.252486	0.000364	3.636868	1.232204	0.029038
  27	1.3000e-02	0.9898	-2.163757	0.000222	2.222531	0.753014	0.017746
  28	1.3500e-02	1.0315	-2.091162	0.000182	1.818434	0.616102	0.014519
  29	1.4000e-02	1.0748	-2.002433	0.000222	2.222531	0.753014	0.017746
  30	1.4500e-02	1.1101	-1.913705	0.000222	2.222531	0.753014	0.017746
  31	1.5000e-02	1.1470	-1.744315	0.000424	4.243013	1.437572	0.033878
  32	1.5500e-02	1.1871	-1.611223	0.000333	3.333796	1.129521	0.026618
  33	1.6000e-02	1.2240	-1.494263	0.000293	2.929700	0.992609	0.023392
  34	1.6500e-02	1.2625	-1.486197	0.000020	0.202048	0.068456	0.001613
  35	1.7000e-02	1.3042	-1.550726	-0.000162	-1.616386	-0.547646	-0.012906
  36	1.7500e-02	1.3524	-1.349071	0.000505	5.051206	1.711395	0.040331
  37	1.8000e-02	1.3941	-1.199847	0.000374	3.737892	1.266432	0.029845
  38	1.8500e-02	1.4294	-1.123218	0.000192	1.919458	0.650330	0.015326
  39	1.9000e-02	1.4679	-0.990126	0.000333	3.333796	1.129521	0.026618
  40	1.9500e-02	1.5112	-0.836868	0.000384	3.838917	1.300660	0.030652
  41	2.0000e-02	1.5417	-0.832835	0.000010	0.101024	0.034228	0.000807
  42	2.0500e-02	1.5818	-0.671511	0.000404	4.040965	1.369116	0.032265
  43	2.1000e-02	1.6331	-0.627147	0.000111	1.111265	0.376507	0.008873
  44	2.1500e-02	1.6780	-0.498088	0.000323	3.232772	1.095293	0.025812
  45	2.2000e-02	1.7053	-0.364995	0.000333	3.333796	1.129521	0.026618
  46	2.2500e-02	1.7438	-0.272234	0.000232	2.323555	0.787242	0.018552
  47	2.3000e-02	1.7871	-0.094778	0.000445	4.445061	1.506028	0.035491
  48	2.3500e-02	1.8192	-0.010083	0.000212	2.121507	0.718786	0.016939
  49	2.4000e-02	1.8673	0.175440	0.000465	4.647110	1.574483	0.037105
  50	2.4500e-02	1.9010	0.276267	0.000253	2.525603	0.855697	0.020165
  51	2.5000e-02	1.9395	0.328698	0.000131	1.313314	0.444963	0.010486
  52	2.5500e-02	1.9860	0.485988	0.000394	3.939941	1.334888	0.031458
  53	2.6000e-02	2.0278	0.502121	0.000040	0.404096	0.136912	0.003226
  54	2.6500e-02	2.0663	0.631180	0.000323	3.232772	1.095293	0.025812
  55	2.7000e-02	2.1144	0.740074	0.000273	2.727651	0.924153	0.021779
  56	2.7500e-02	2.1481	0.760239	0.000051	0.505121	0.171139	0.004033
  57	2.8000e-02	2.1866	0.897364	0.000343	3.434820	1.163749	0.027425
  58	2.8500e-02	2.2315	0.961894	0.000162	1.616386	0.547646	0.012906
  59	2.9000e-02	2.2636	1.107086	0.000364	3.636868	1.232204	0.029038
  60	2.9500e-02	2.3085	1.232112	0.000313	3.131748	1.061065	0.025005
  61	3.0000e-02	2.3454	1.272443	0.000101	1.010241	0.342279	0.008066
  62	3.0500e-02	2.3871	1.486197	0.000535	5.354278	1.814079	0.042751
  63	3.1000e-02	2.4304	1.687852	0.000505	5.051206	1.711395	0.040331
  64	3.1500e-02	2.4737	1.671719	-0.000040	-0.404096	-0.136912	-0.003226
  65	3.2000e-02	2.5074	1.804812	0.000333	3.333796	1.129521	0.026618
  66	3.2500e-02	2.5459	1.877407	0.000182	1.818434	0.616102	0.014519
  67	3.3000e-02	2.5908	2.054864	0.000445	4.445061	1.506028	0.035491
  68	3.3500e-02	2.6277	2.123426	0.000172	1.717410	0.581874	0.013713
  69	3.4000e-02	2.6646	2.200055	0.000192	1.919458	0.650330	0.015326
  70	3.4500e-02	2.7015	2.405743	0.000515	5.152230	1.745623	0.041138
  71	3.5000e-02	2.7513	2.486405	0.000202	2.020482	0.684558	0.016132
  72	3.5500e-02	2.7833	2.337181	-0.000374	-3.737892	-1.266432	-0.029845
  73	3.6000e-02	2.8267	2.764689	0.001071	10.708557	3.628157	0.085502
  74	3.6500e-02	2.8732	2.917947	0.000384	3.838917	1.300660	0.030652
  75	3.7000e-02	2.9069	2.982476	0.000162	1.616386	0.547646	0.012906
  76	3.7500e-02	2.9534	3.042973	0.000152	1.515362	0.513418	0.012099
  77	3.8000e-02	2.9823	3.212363	0.000424	4.243013	1.437572	0.033878
  78	3.8500e-02	3.0272	3.272860	0.000152	1.515362	0.513418	0.012099
  79	3.9000e-02	3.0785	3.373687	0.000253	2.525603	0.855697	0.020165
  80	3.9500e-02	3.1026	3.466448	0.000232	2.323555	0.787242	0.018552
  81	4.0000e-02	3.1459	3.571309	0.000263	2.626627	0.889925	0.020972
  82	4.0500e-02	3.1940	3.748765	0.000445	4.445061	1.506028	0.035491
  83	4.1000e-02	3.2229	3.934288	0.000465	4.647110	1.574483	0.037105
  84	4.1500e-02	3.2646	3.978652	0.000111	1.111265	0.376507	0.008873
  85	4.2000e-02	3.3095	4.131910	0.000384	3.838917	1.300660	0.030652
  86	4.2500e-02	3.3561	4.168207	0.000091	0.909217	0.308051	0.007260
  87	4.3000e-02	3.3817	4.289200	0.000303	3.030724	1.026837	0.024199
  88	4.3500e-02	3.4298	4.438425	0.000374	3.737892	1.266432	0.029845
  89	4.4000e-02	3.4780	4.519087	0.000202	2.020482	0.684558	0.016132
  90	4.4500e-02	3.5117	4.591683	0.000182	1.818434	0.616102	0.014519
  91	4.5000e-02	3.5454	4.716709	0.000313	3.131748	1.061065	0.025005
  92	4.5500e-02	3.5903	4.954662	0.000596	5.960423	2.019446	0.047591
  93	4.6000e-02	3.6272	5.103886	0.000374	3.737892	1.266432	0.029845
  94	4.6500e-02	3.6689	5.164383	0.000152	1.515362	0.513418	0.012099
  95	4.7000e-02	3.7170	5.216813	0.000131	1.313314	0.444963	0.010486
  96	4.7500e-02	3.7539	5.265210	0.000121	1.212289	0.410735	0.009679
  97	4.8000e-02	3.7908	5.499130	0.000586	5.859399	1.985218	0.046784
  98	4.8500e-02	3.8293	5.620123	0.000303	3.030724	1.026837	0.024199
  99	4.9000e-02	3.8710	5.737083	0.000293	2.929700	0.992609	0.023392
 100	4.9500e-02	3.9095	5.854043	0.000293	2.929700	0.992609	0.023392
 101	5.0000e-02	3.9416	5.910506	0.000141	1.414338	0.479191	0.011293
 102	5.0500e-02	3.9897	6.096029	0.000465	4.647110	1.574483	0.037105
 103	5.1000e-02	4.0282	6.144426	0.000121	1.212289	0.410735	0.009679
 104	5.1500e-02	4.0748	6.338014	0.000485	4.849158	1.642939	0.038718
 105	5.2000e-02	4.1052	6.422710	0.000212	2.121507	0.718786	0.016939
 106	5.2500e-02	4.1469	6.551769	0.000323	3.232772	1.095293	0.025812
 107	5.3000e-02	4.1870	6.721159	0.000424	4.243013	1.437572	0.033878
 108	5.3500e-02	4.2255	6.874417	0.000384	3.838917	1.300660	0.030652
 109	5.4000e-02	4.2769	6.983310	0.000273	2.727651	0.924153	0.021779
 110	5.4500e-02	4.3154	7.104303	0.000303	3.030724	1.026837	0.024199
 111	5.5000e-02	4.3459	7.209164	0.000263	2.626627	0.889925	0.020972
 112	5.5500e-02	4.3924	7.273693	0.000162	1.616386	0.547646	0.012906
 113	5.6000e-02	4.4261	7.447117	0.000434	4.344037	1.471800	0.034685
 114	5.6500e-02	4.4726	7.672970	0.000566	5.657351	1.916762	0.045171
 115	5.7000e-02	4.5095	7.781864	0.000273	2.727651	0.924153	0.021779
 116	5.7500e-02	4.5464	7.918989	0.000343	3.434820	1.163749	0.027425
 117	5.8000e-02	4.5865	8.011750	0.000232	2.323555	0.787242	0.018552
 118	5.8500e-02	4.6330	8.205339	0.000485	4.849158	1.642939	0.038718
 119	5.9000e-02	4.6795	8.201306	-0.000010	-0.101024	-0.034228	-0.000807
 120	5.9500e-02	4.7068	8.213405	0.000030	0.303072	0.102684	0.002420
 121	6.0000e-02	4.7549	8.354564	0.000354	3.535844	1.197976	0.028232
 122	6.0500e-02	4.7967	8.584450	0.000576	5.758375	1.950990	0.045977
 123	6.1000e-02	4.8287	8.717543	0.000333	3.333796	1.129521	0.026618
 124	6.1500e-02	4.8656	8.814337	0.000242	2.424579	0.821470	0.019359
 125	6.2000e-02	4.9106	8.967595	0.000384	3.838917	1.300660	0.030652
 126	6.2500e-02	4.9523	9.076488	0.000273	2.727651	0.924153	0.021779
