»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 14:4:45
Configured:	06/05/25 01:31:43 PM
Executed:	06/05/25 02:03:19 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-303
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0642	-2.280997	0.000090	0.900792	0.305197	0.706326
   2	1.0000e-04	0.6144	-1.574671	0.000090	0.900792	0.305197	0.706326
   3	2.0000e-04	1.4486	3.427868	0.000638	6.379838	2.161547	5.002538
   4	3.0000e-04	1.9780	10.658611	0.000922	9.221512	3.124333	7.230743
   5	4.0000e-04	2.9325	15.508233	0.000618	6.184821	2.095474	4.849622
   6	5.0000e-04	3.7716	19.425796	0.000500	4.996146	1.692740	3.917563
   7	6.0000e-04	4.5255	23.412535	0.000508	5.084368	1.722631	3.986739
   8	7.0000e-04	5.2988	27.934481	0.000577	5.766927	1.953888	4.521945
   9	8.0000e-04	6.1282	32.787744	0.000619	6.189464	2.097047	4.853263
  10	9.0000e-04	6.9816	37.411633	0.000590	5.896939	1.997937	4.623889
  11	1.0000e-03	7.7228	42.465144	0.000644	6.444843	2.183572	5.053510
  12	1.1000e-03	8.5409	46.455524	0.000509	5.089012	1.724204	3.990380
  13	1.2000e-03	9.3511	50.653433	0.000535	5.353677	1.813875	4.197909
  14	1.3000e-03	10.1259	55.113483	0.000569	5.687992	1.927144	4.460051
  15	1.4000e-03	10.9441	59.460667	0.000554	5.544051	1.878375	4.347184
  16	1.5000e-03	11.7334	63.847901	0.000560	5.595127	1.895680	4.387234
  17	1.6000e-03	12.5531	67.747260	0.000497	4.972930	1.684874	3.899359
  18	1.7000e-03	13.3969	71.821379	0.000520	5.195807	1.760387	4.074120
  19	1.8000e-03	14.1429	75.706175	0.000495	4.954357	1.678582	3.884795
  20	1.9000e-03	14.9883	78.906488	0.000408	4.081424	1.382824	3.200314
  21	2.0000e-03	15.7407	83.446638	0.000579	5.790144	1.961754	4.540150
  22	2.1000e-03	16.5749	86.963707	0.000449	4.485388	1.519691	3.517069
  23	2.2000e-03	17.3706	90.451648	0.000445	4.448242	1.507105	3.487942
  24	2.3000e-03	18.1760	93.648321	0.000408	4.076781	1.381251	3.196673
  25	2.4000e-03	18.9941	97.128981	0.000444	4.438955	1.503959	3.480660
