»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 13:45:58
Configured:	06/05/25 01:31:43 PM
Executed:	06/05/25 01:44:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-303
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0545	2.508551	0.000039	0.394282	0.133586	0.309473
   2	1.0000e-04	0.6417	2.818024	0.000039	0.394282	0.133586	0.309473
   3	2.0000e-04	1.4823	7.816921	0.000637	6.368810	2.157811	4.998898
   4	3.0000e-04	2.0438	13.853464	0.000769	7.690813	2.605718	6.036542
   5	4.0000e-04	2.9887	17.880252	0.000513	5.130301	1.738193	4.026789
   6	5.0000e-04	3.7844	21.845146	0.000505	5.051445	1.711476	3.964894
   7	6.0000e-04	4.5480	25.697174	0.000491	4.907648	1.662756	3.852027
   8	7.0000e-04	5.3533	30.124457	0.000564	5.640548	1.911069	4.427283
   9	8.0000e-04	6.1667	34.384260	0.000543	5.427172	1.838776	4.259804
  10	9.0000e-04	6.9672	38.837029	0.000567	5.673018	1.922071	4.452769
  11	1.0000e-03	7.7244	43.693933	0.000619	6.187904	2.096519	4.856904
  12	1.1000e-03	8.5570	47.360277	0.000467	4.671079	1.582604	3.666344
  13	1.2000e-03	9.3832	51.645566	0.000546	5.459642	1.849777	4.285290
  14	1.3000e-03	10.1484	55.828912	0.000533	5.329761	1.805772	4.183345
  15	1.4000e-03	10.9473	60.114201	0.000546	5.459642	1.849777	4.285290
  16	1.5000e-03	11.7478	64.818190	0.000599	5.993082	2.030511	4.703988
  17	1.6000e-03	12.5467	68.553710	0.000476	4.759212	1.612465	3.735520
  18	1.7000e-03	13.3793	72.667879	0.000524	5.241628	1.775912	4.114169
  19	1.8000e-03	14.1558	76.505343	0.000489	4.889093	1.656470	3.837464
  20	1.9000e-03	14.9450	80.313680	0.000485	4.851985	1.643897	3.808337
  21	2.0000e-03	15.7680	85.097767	0.000610	6.095132	2.065087	4.784087
  22	2.1000e-03	16.5573	88.345412	0.000414	4.137639	1.401870	3.247645
  23	2.2000e-03	17.3722	91.895248	0.000452	4.522643	1.532313	3.549836
  24	2.3000e-03	18.1695	95.372267	0.000443	4.429871	1.500881	3.477019
  25	2.4000e-03	18.9941	98.885695	0.000448	4.476257	1.516597	3.513428
