»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 15:52:12
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 03:51:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0513	-0.460568	0.000058	0.581037	0.196861	0.455107
   2	1.0000e-04	0.6016	-0.005461	0.000058	0.581037	0.196861	0.455107
   3	2.0000e-04	1.6427	1.378065	0.000177	1.766354	0.598457	1.383526
   4	3.0000e-04	2.1400	7.243486	0.000749	7.488410	2.537142	5.865422
   5	4.0000e-04	2.9085	13.735136	0.000829	8.287917	2.808022	6.491649
   6	5.0000e-04	3.6753	20.248630	0.000832	8.315807	2.817472	6.513494
   7	6.0000e-04	4.4758	25.651663	0.000690	6.898076	2.337131	5.403033
   8	7.0000e-04	5.1287	26.867709	0.000155	1.552532	0.526012	1.216046
   9	8.0000e-04	6.0816	33.268337	0.000817	8.171710	2.768650	6.400628
  10	9.0000e-04	6.9255	40.062178	0.000867	8.673726	2.938738	6.793840
  11	1.0000e-03	7.6779	47.482246	0.000947	9.473234	3.209618	7.420068
  12	1.1000e-03	8.4800	52.022395	0.000580	5.796429	1.963883	4.540150
  13	1.2000e-03	9.3094	56.202100	0.000534	5.336247	1.807970	4.179705
  14	1.3000e-03	10.0810	59.322315	0.000398	3.983592	1.349678	3.120215
  15	1.4000e-03	10.8992	65.424392	0.000779	7.790549	2.639510	6.102077
  16	1.5000e-03	11.7061	72.400276	0.000891	8.906141	3.017482	6.975883
  17	1.6000e-03	12.5307	76.539931	0.000529	5.285116	1.790646	4.139655
  18	1.7000e-03	13.3472	80.158943	0.000462	4.620409	1.565437	3.619013
  19	1.8000e-03	14.0932	83.046144	0.000369	3.686101	1.248885	2.887200
  20	1.9000e-03	14.9129	88.176112	0.000655	6.549453	2.219015	5.129968
  21	2.0000e-03	15.7391	94.609508	0.000821	8.213544	2.782824	6.433396
  22	2.1000e-03	16.5477	98.017350	0.000435	4.350808	1.474094	3.407843
  23	2.2000e-03	17.3466	101.246791	0.000412	4.123041	1.396924	3.229441
  24	2.3000e-03	18.1294	103.853645	0.000333	3.328182	1.127619	2.606854
  25	2.4000e-03	18.9781	108.397436	0.000580	5.801077	1.965458	4.543790
