»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 15:47:29
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 03:46:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0176	5.394269	0.000051	0.505110	0.171136	0.004033
   2	5.0000e-04	0.0241	5.414435	0.000051	0.505110	0.171136	0.004033
   3	1.0000e-03	0.0578	5.462832	0.000121	1.212265	0.410727	0.009679
   4	1.5000e-03	0.0979	5.547527	0.000212	2.121464	0.718771	0.016939
   5	2.0000e-03	0.1283	5.817745	0.000677	6.768480	2.293223	0.054044
   6	2.5000e-03	0.1668	6.281551	0.001162	11.617540	3.936129	0.092761
   7	3.0000e-03	0.2086	6.511438	0.000576	5.758259	1.950951	0.045977
   8	3.5000e-03	0.2471	6.729225	0.000546	5.455193	1.848269	0.043557
   9	4.0000e-03	0.2872	7.059939	0.000828	8.283811	2.806631	0.066143
  10	4.5000e-03	0.3208	7.435017	0.000940	9.395054	3.183131	0.075016
  11	5.0000e-03	0.3610	7.697169	0.000657	6.566436	2.224769	0.052430
  12	5.5000e-03	0.4075	7.959320	0.000657	6.566436	2.224769	0.052430
  13	6.0000e-03	0.4508	8.201306	0.000606	6.061325	2.053633	0.048397
  14	6.5000e-03	0.4941	8.544119	0.000859	8.586878	2.909313	0.068563
  15	7.0000e-03	0.5214	8.786105	0.000606	6.061325	2.053633	0.048397
  16	7.5000e-03	0.5727	9.116819	0.000828	8.283811	2.806631	0.066143
  17	8.0000e-03	0.6032	9.383004	0.000667	6.667458	2.258996	0.053237
  18	8.5000e-03	0.6497	9.669354	0.000717	7.172568	2.430132	0.057270
  19	9.0000e-03	0.6898	9.967803	0.000748	7.475635	2.532814	0.059690
  20	9.5000e-03	0.7347	10.242054	0.000687	6.869502	2.327450	0.054850
  21	1.0000e-02	0.7700	10.576801	0.000838	8.384834	2.840859	0.066949
  22	1.0500e-02	0.8053	10.923648	0.000869	8.687900	2.943540	0.069369
  23	1.1000e-02	0.8535	11.153534	0.000576	5.758259	1.950951	0.045977
  24	1.1500e-02	0.8775	11.415686	0.000657	6.566436	2.224769	0.052430
  25	1.2000e-02	0.9256	11.746400	0.000828	8.283811	2.806631	0.066143
  26	1.2500e-02	0.9722	12.028717	0.000707	7.071546	2.395905	0.056463
  27	1.3000e-02	1.0091	12.323133	0.000737	7.374613	2.498586	0.058883
  28	1.3500e-02	1.0524	12.690145	0.000919	9.193010	3.114676	0.073402
  29	1.4000e-02	1.0845	12.928098	0.000596	5.960303	2.019405	0.047591
  30	1.4500e-02	1.1310	13.170083	0.000606	6.061325	2.053633	0.048397
  31	1.5000e-02	1.1695	13.476599	0.000768	7.677679	2.601268	0.061303
  32	1.5500e-02	1.2080	13.831512	0.000889	8.889944	3.011995	0.070983
