»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 17:30:29
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 05:29:47 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	+
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0032	11.501800	0.000517	5.170330	1.751755	0.000207
   2	9.9500e-02	0.0321	11.707694	0.000517	5.170330	1.751755	0.000207
   3	1.9900e-01	0.0770	12.006442	0.000750	7.502047	2.541762	0.000300
   4	2.9850e-01	0.1091	12.329413	0.000811	8.110321	2.747851	0.000325
   5	3.9800e-01	0.1428	12.668532	0.000852	8.515837	2.885244	0.000341
   6	4.9750e-01	0.1813	12.943057	0.000689	6.893773	2.335674	0.000276
   7	5.9700e-01	0.2374	13.274102	0.000831	8.313079	2.816548	0.000333
   8	6.9650e-01	0.2599	13.613222	0.000852	8.515837	2.885244	0.000341
   9	7.9600e-01	0.3112	13.936193	0.000811	8.110321	2.747851	0.000325
  10	8.9550e-01	0.3593	14.279349	0.000862	8.617216	2.919592	0.000345
  11	9.9500e-01	0.3882	14.602320	0.000811	8.110321	2.747851	0.000325
  12	1.0945e+00	0.4347	14.925291	0.000811	8.110321	2.747851	0.000325
  13	1.1940e+00	0.4652	15.244225	0.000801	8.008942	2.713503	0.000321
  14	1.2935e+00	0.5118	15.603530	0.000902	9.022732	3.056984	0.000361
  15	1.3930e+00	0.5438	15.942649	0.000852	8.515837	2.885244	0.000341
  16	1.4925e+00	0.5888	16.229286	0.000720	7.197910	2.438718	0.000288
  17	1.5920e+00	0.6273	16.592628	0.000912	9.124111	3.091333	0.000365
  18	1.6915e+00	0.6690	16.939822	0.000872	8.718595	2.953940	0.000349
  19	1.7910e+00	0.7091	17.250681	0.000781	7.806184	2.644807	0.000312
  20	1.8905e+00	0.7524	17.642283	0.000983	9.833765	3.331770	0.000394
  21	1.9900e+00	0.7845	17.965254	0.000811	8.110321	2.747851	0.000325
  22	2.0895e+00	0.8230	18.284188	0.000801	8.008942	2.713503	0.000321
  23	2.1890e+00	0.8663	18.679827	0.000994	9.935144	3.366118	0.000398
  24	2.2885e+00	0.9096	18.958389	0.000700	6.995152	2.370022	0.000280
  25	2.3880e+00	0.9385	19.309620	0.000882	8.819974	2.988288	0.000353
  26	2.4875e+00	0.9946	19.681037	0.000933	9.326869	3.160029	0.000373
  27	2.5870e+00	1.0267	20.004008	0.000811	8.110321	2.747851	0.000325
  28	2.6865e+00	1.0700	20.331016	0.000821	8.211700	2.782199	0.000329
  29	2.7860e+00	1.1037	20.710506	0.000953	9.529627	3.228725	0.000381
  30	2.8855e+00	1.1470	21.065774	0.000892	8.921353	3.022636	0.000357
  31	2.9850e+00	1.1968	21.404894	0.000852	8.515837	2.885244	0.000341
  32	3.0845e+00	1.2240	21.735939	0.000831	8.313079	2.816548	0.000333
  33	3.1840e+00	1.2657	22.115430	0.000953	9.529627	3.228725	0.000381
  34	3.2835e+00	1.3010	22.434363	0.000801	8.008942	2.713503	0.000321
  35	3.3830e+00	1.3460	22.805780	0.000933	9.326869	3.160029	0.000373
  36	3.4825e+00	1.3941	23.132788	0.000821	8.211700	2.782199	0.000329
  37	3.5820e+00	1.4197	23.479981	0.000872	8.718595	2.953940	0.000349
  38	3.6815e+00	1.4663	23.811027	0.000831	8.313079	2.816548	0.000333
  39	3.7810e+00	1.5048	24.166295	0.000892	8.921353	3.022636	0.000357
  40	3.8805e+00	1.5433	24.501377	0.000841	8.414458	2.850896	0.000337
  41	3.9800e+00	1.5882	24.880868	0.000953	9.529627	3.228725	0.000381
  42	4.0795e+00	1.6235	25.232098	0.000882	8.819974	2.988288	0.000353
  43	4.1790e+00	1.6604	25.611589	0.000953	9.529627	3.228725	0.000381
  44	4.2785e+00	1.7069	25.938597	0.000821	8.211700	2.782199	0.000329
  45	4.3780e+00	1.7534	26.350385	0.001034	10.340660	3.503510	0.000414
  46	4.4775e+00	1.7823	26.677393	0.000821	8.211700	2.782199	0.000329
  47	4.5770e+00	1.8336	26.992290	0.000791	7.907563	2.679155	0.000316
  48	4.6765e+00	1.8689	27.323335	0.000831	8.313079	2.816548	0.000333
  49	4.7760e+00	1.9106	27.706863	0.000963	9.631007	3.263073	0.000385
  50	4.8755e+00	1.9395	28.058093	0.000882	8.819974	2.988288	0.000353
  51	4.9750e+00	1.9812	28.425473	0.000923	9.225490	3.125681	0.000369
  52	5.0745e+00	2.0245	28.756518	0.000831	8.313079	2.816548	0.000333
  53	5.1740e+00	2.0663	29.127934	0.000933	9.326869	3.160029	0.000373
  54	5.2735e+00	2.0983	29.442831	0.000791	7.907563	2.679155	0.000316
  55	5.3730e+00	2.1352	29.818285	0.000943	9.428248	3.194377	0.000377
  56	5.4725e+00	2.1930	30.161441	0.000862	8.617216	2.919592	0.000345
  57	5.5720e+00	2.2299	30.512672	0.000882	8.819974	2.988288	0.000353
  58	5.6715e+00	2.2636	30.827568	0.000791	7.907563	2.679155	0.000316
  59	5.7710e+00	2.3037	31.198985	0.000933	9.326869	3.160029	0.000373
  60	5.8705e+00	2.3422	31.558290	0.000902	9.022732	3.056984	0.000361
  61	5.9700e+00	2.3743	31.897409	0.000852	8.515837	2.885244	0.000341
  62	6.0695e+00	2.4240	32.264789	0.000923	9.225490	3.125681	0.000369
  63	6.1690e+00	2.4577	32.603908	0.000852	8.515837	2.885244	0.000341
  64	6.2685e+00	2.5138	32.947065	0.000862	8.617216	2.919592	0.000345
  65	6.3680e+00	2.5427	33.270036	0.000811	8.110321	2.747851	0.000325
  66	6.4675e+00	2.5924	33.669712	0.001004	10.036523	3.400466	0.000402
  67	6.5670e+00	2.6261	34.024980	0.000892	8.921353	3.022636	0.000357
  68	6.6665e+00	2.6630	34.356025	0.000831	8.313079	2.816548	0.000333
  69	6.7660e+00	2.7031	34.638625	0.000710	7.096531	2.404370	0.000284
  70	6.8655e+00	2.7416	35.026190	0.000973	9.732386	3.297421	0.000390
  71	6.9650e+00	2.7705	35.377420	0.000882	8.819974	2.988288	0.000353
  72	7.0645e+00	2.8331	35.696354	0.000801	8.008942	2.713503	0.000321
  73	7.1640e+00	2.8587	36.100068	0.001014	10.137902	3.434814	0.000406
  74	7.2635e+00	2.9021	36.423039	0.000811	8.110321	2.747851	0.000325
  75	7.3630e+00	2.9390	36.782344	0.000902	9.022732	3.056984	0.000361
  76	7.4625e+00	2.9791	37.109352	0.000821	8.211700	2.782199	0.000329
  77	7.5620e+00	3.0176	37.460583	0.000882	8.819974	2.988288	0.000353
  78	7.6615e+00	3.0737	37.779516	0.000801	8.008942	2.713503	0.000321
  79	7.7610e+00	3.0930	38.150933	0.000933	9.326869	3.160029	0.000373
  80	7.8605e+00	3.1411	38.554646	0.001014	10.137902	3.434814	0.000406
