»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2025 - 17:1:33
Configured:	06/05/25 02:51:50 PM
Executed:	06/05/25 05:00:56 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-353
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	153.711925	0.000426	4.256467	1.442130	0.000170
   2	9.9500e-02	0.0289	153.881484	0.000426	4.256467	1.442130	0.000170
   3	1.9900e-01	0.0722	154.099490	0.000547	5.472600	1.854167	0.000219
   4	2.9850e-01	0.1027	154.345755	0.000618	6.182012	2.094522	0.000248
   5	3.9800e-01	0.1460	154.596057	0.000628	6.283356	2.128859	0.000252
   6	4.9750e-01	0.1989	154.822137	0.000568	5.675289	1.922840	0.000227
   7	5.9700e-01	0.2342	155.068402	0.000618	6.182012	2.094522	0.000248
   8	6.9650e-01	0.2647	155.318705	0.000628	6.283356	2.128859	0.000252
   9	7.9600e-01	0.3112	155.524599	0.000517	5.168567	1.751158	0.000207
  10	8.9550e-01	0.3481	155.778938	0.000638	6.384700	2.163195	0.000256
  11	9.9500e-01	0.3930	156.017129	0.000598	5.979323	2.025849	0.000239
  12	1.0945e+00	0.4331	156.287617	0.000679	6.790078	2.300541	0.000272
  13	1.1940e+00	0.4652	156.481400	0.000486	4.864534	1.648149	0.000195
  14	1.2935e+00	0.5005	156.772074	0.000730	7.296801	2.472223	0.000292
  15	1.3930e+00	0.5470	157.014302	0.000608	6.080667	2.060186	0.000243
  16	1.4925e+00	0.5888	157.232307	0.000547	5.472600	1.854167	0.000219
  17	1.5920e+00	0.6224	157.482609	0.000628	6.283356	2.128859	0.000252
  18	1.6915e+00	0.6722	157.732912	0.000628	6.283356	2.128859	0.000252
  19	1.7910e+00	0.7059	157.995326	0.000659	6.587389	2.231868	0.000264
  20	1.8905e+00	0.7412	158.205257	0.000527	5.269911	1.785494	0.000211
  21	1.9900e+00	0.7829	158.451522	0.000618	6.182012	2.094522	0.000248
  22	2.0895e+00	0.8246	158.746233	0.000740	7.398145	2.506559	0.000296
  23	2.1890e+00	0.8599	159.036907	0.000730	7.296801	2.472223	0.000292
  24	2.2885e+00	0.9128	159.254912	0.000547	5.472600	1.854167	0.000219
  25	2.3880e+00	0.9513	159.489066	0.000588	5.877978	1.991513	0.000235
