»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 14:16:27
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 02:15:31 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0321	-1.376244	0.000000	0.004596	0.001557	0.003641
   2	1.0000e-04	0.6385	-1.372603	0.000000	0.004596	0.001557	0.003641
   3	2.0000e-04	1.7438	-1.361681	0.000001	0.013788	0.004672	0.010923
   4	3.0000e-04	2.3293	-1.358040	0.000000	0.004596	0.001557	0.003641
   5	4.0000e-04	3.1475	-1.350758	0.000001	0.009192	0.003114	0.007282
   6	5.0000e-04	3.9865	-1.343476	0.000001	0.009192	0.003114	0.007282
   7	6.0000e-04	4.6972	6.655488	0.001010	10.097533	3.421137	7.998964
   8	7.0000e-04	5.1239	7.835126	0.000149	1.489122	0.504528	1.179638
   9	8.0000e-04	6.2677	11.199278	0.000425	4.246755	1.438840	3.364153
  10	9.0000e-04	7.0843	11.170151	-0.000004	-0.036768	-0.012457	-0.029127
  11	1.0000e-03	7.9008	12.997862	0.000231	2.307220	0.781707	1.827711
  12	1.1000e-03	8.6789	14.126528	0.000142	1.424777	0.482728	1.128666
  13	1.2000e-03	9.4826	15.987006	0.000235	2.348584	0.795722	1.860478
  14	1.3000e-03	10.2847	17.355969	0.000173	1.728117	0.585502	1.368962
  15	1.4000e-03	11.0740	18.794107	0.000182	1.815442	0.615088	1.438139
  16	1.5000e-03	11.9162	20.647304	0.000234	2.339392	0.792607	1.853197
  17	1.6000e-03	12.6590	21.666744	0.000129	1.286895	0.436012	1.019440
  18	1.7000e-03	13.4996	23.268722	0.000202	2.022264	0.685162	1.601977
  19	1.8000e-03	14.2761	24.750551	0.000187	1.870594	0.633775	1.481829
  20	1.9000e-03	15.0750	25.981161	0.000155	1.553467	0.526329	1.230610
  21	2.0000e-03	15.8675	27.746977	0.000223	2.229087	0.755235	1.765816
  22	2.1000e-03	16.6904	28.802825	0.000133	1.332856	0.451584	1.055849
  23	2.2000e-03	17.4861	30.230041	0.000180	1.801654	0.610417	1.427216
  24	2.3000e-03	18.2738	31.540750	0.000165	1.654580	0.560587	1.310709
  25	2.4000e-03	19.0840	32.811410	0.000160	1.604023	0.543458	1.270659
  26	2.5000e-03	19.8604	34.424310	0.000204	2.036052	0.689833	1.612900
  27	2.6000e-03	19.5652	34.704656	-0.000035	-0.353896	-0.119903	0.280346
  28	2.7000e-03	18.3139	31.999498	0.000341	3.414869	1.156989	-2.705157
  29	2.8000e-03	17.7059	30.856269	0.000144	1.443161	0.488956	-1.143229
  30	2.9000e-03	16.9632	30.688790	0.000021	0.211419	0.071631	-0.167479
  31	3.0000e-03	16.1225	29.013995	0.000211	2.114185	0.716305	-1.674795
  32	3.1000e-03	15.3477	27.976351	0.000131	1.309876	0.443798	-1.037644
  33	3.2000e-03	14.5552	26.709332	0.000160	1.599427	0.541901	-1.267018
  34	3.3000e-03	13.7659	25.303961	0.000177	1.774077	0.601074	-1.405371
  35	3.4000e-03	12.8948	23.847618	0.000184	1.838422	0.622874	-1.456343
  36	3.5000e-03	12.1858	22.860945	0.000125	1.245531	0.421997	-0.986672
  37	3.6000e-03	11.3724	21.775970	0.000137	1.369624	0.464041	-1.084976
  38	3.7000e-03	10.5382	19.922773	0.000234	2.339392	0.792607	-1.853197
  39	3.8000e-03	9.7537	18.499198	0.000180	1.797058	0.608860	-1.423575
  40	3.9000e-03	8.9773	17.152081	0.000170	1.700540	0.576159	-1.347117
  41	4.0000e-03	8.1671	15.863217	0.000163	1.627004	0.551244	-1.288864
  42	4.1000e-03	7.3362	14.476050	0.000175	1.751097	0.593288	-1.387167
  43	4.2000e-03	6.5260	12.702953	0.000224	2.238279	0.758349	-1.773098
  44	4.3000e-03	5.7768	11.232046	0.000186	1.856806	0.629103	-1.470907
  45	4.4000e-03	4.9587	9.750217	0.000187	1.870594	0.633775	-1.481829
  46	4.5000e-03	4.1421	8.279310	0.000186	1.856806	0.629103	-1.470907
  47	4.6000e-03	3.3496	6.986806	0.000163	1.631600	0.552801	-1.292504
  48	4.7000e-03	2.5571	5.202786	0.000225	2.252067	0.763021	-1.784020
  49	4.8000e-03	1.7534	3.608090	0.000201	2.013072	0.682047	-1.594696
  50	4.9000e-03	0.9433	2.020676	0.000200	2.003880	0.678933	-1.587414
  51	5.0000e-03	0.1187	0.520643	0.000189	1.893575	0.641560	-1.500033
  52	5.1000e-03	-0.6273	-0.768221	0.000163	1.627004	0.551244	-1.288864
  53	5.2000e-03	-1.4438	-2.468502	0.000215	2.146358	0.727206	-1.700281
  54	5.3000e-03	-2.2459	-4.146937	0.000212	2.118781	0.717863	-1.678435
  55	5.4000e-03	-3.0464	-5.636048	0.000188	1.879787	0.636889	-1.489111
  56	5.5000e-03	-3.8534	-7.179771	0.000195	1.948727	0.660247	-1.543724
