»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 15:38:27
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 03:37:47 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0289	-2.020215	0.000184	1.836617	0.622263	0.000075
   2	9.9500e-02	0.0626	-1.946079	0.000184	1.836617	0.622263	0.000075
   3	1.9900e-01	0.0946	-1.846687	0.000246	2.462278	0.834242	0.000100
   4	2.9850e-01	0.1556	-1.736705	0.000272	2.724652	0.923137	0.000111
   5	3.9800e-01	0.1925	-1.632425	0.000258	2.583373	0.875271	0.000105
   6	4.9750e-01	0.2198	-1.526924	0.000261	2.613647	0.885528	0.000106
   7	5.9700e-01	0.2471	-1.424681	0.000253	2.532917	0.858176	0.000103
   8	6.9650e-01	0.3080	-1.317549	0.000265	2.654013	0.899204	0.000108
   9	7.9600e-01	0.3225	-1.216936	0.000249	2.492552	0.844499	0.000101
  10	8.9550e-01	0.3866	-1.109397	0.000266	2.664104	0.902623	0.000108
  11	9.9500e-01	0.4219	-1.005118	0.000258	2.583373	0.875271	0.000105
  12	1.0945e+00	0.4508	-0.893506	0.000277	2.765017	0.936813	0.000112
  13	1.1940e+00	0.5085	-0.794114	0.000246	2.462278	0.834242	0.000100
  14	1.2935e+00	0.5535	-0.682502	0.000277	2.765017	0.936813	0.000112
  15	1.3930e+00	0.5888	-0.585148	0.000241	2.411821	0.817147	0.000098
  16	1.4925e+00	0.5920	-0.476794	0.000268	2.684287	0.909461	0.000109
  17	1.5920e+00	0.6417	-0.366405	0.000273	2.734743	0.926556	0.000111
  18	1.6915e+00	0.6914	-0.256829	0.000271	2.714560	0.919718	0.000110
  19	1.7910e+00	0.7235	-0.153772	0.000255	2.553100	0.865014	0.000104
  20	1.8905e+00	0.7748	-0.042160	0.000277	2.765017	0.936813	0.000112
  21	1.9900e+00	0.8117	0.068637	0.000274	2.744834	0.929975	0.000111
  22	2.0895e+00	0.8326	0.178620	0.000272	2.724652	0.923137	0.000111
  23	2.1890e+00	0.8743	0.289824	0.000275	2.754926	0.933394	0.000112
  24	2.2885e+00	0.9513	0.402658	0.000280	2.795291	0.947070	0.000113
