»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 15:27:38
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 03:26:21 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0642	-1.409012	0.000022	0.220767	0.074798	0.174761
   2	1.0000e-04	0.6016	-1.234251	0.000022	0.220767	0.074798	0.174761
   3	2.0000e-04	1.5144	2.956376	0.000529	5.293812	1.793592	4.190627
   4	3.0000e-04	2.2443	5.563231	0.000329	3.293110	1.115736	2.606854
   5	4.0000e-04	3.1250	6.047465	0.000061	0.611709	0.207253	0.484234
   6	5.0000e-04	3.8309	8.228338	0.000275	2.754990	0.933416	2.180874
   7	6.0000e-04	4.6122	10.918932	0.000340	3.398894	1.151576	2.690594
   8	7.0000e-04	5.4833	12.484501	0.000198	1.977705	0.670065	1.565569
   9	8.0000e-04	6.2629	13.780646	0.000164	1.637356	0.554751	1.296145
  10	9.0000e-04	7.0650	16.300120	0.000318	3.182726	1.078337	2.519474
  11	1.0000e-03	7.8575	18.135112	0.000232	2.318055	0.785378	1.834992
  12	1.1000e-03	8.6773	19.383926	0.000158	1.577565	0.534494	1.248814
  13	1.2000e-03	9.4714	21.575723	0.000277	2.768788	0.938091	2.191796
  14	1.3000e-03	10.2494	23.432560	0.000235	2.345651	0.794728	1.856837
  15	1.4000e-03	11.0788	24.776037	0.000170	1.697147	0.575009	1.343476
  16	1.5000e-03	11.8489	26.672923	0.000240	2.396243	0.811869	1.896887
  17	1.6000e-03	12.6750	28.282183	0.000203	2.032897	0.688764	1.609259
  18	1.7000e-03	13.5173	29.789498	0.000190	1.904116	0.645132	1.507315
  19	1.8000e-03	14.2600	31.333221	0.000195	1.950110	0.660715	1.543724
  20	1.9000e-03	15.0525	32.931558	0.000202	2.019099	0.684089	1.598337
  21	2.0000e-03	15.8899	34.675529	0.000220	2.203072	0.746421	1.743971
  22	2.1000e-03	16.6664	35.989878	0.000166	1.660353	0.562543	1.314350
  23	2.2000e-03	17.4781	37.340637	0.000171	1.706346	0.578126	1.350758
  24	2.3000e-03	18.2594	38.749648	0.000178	1.779935	0.603058	1.409012
  25	2.4000e-03	19.0535	40.435366	0.000213	2.129483	0.721488	1.685717
  26	2.5000e-03	19.8732	41.986371	0.000196	1.959308	0.663832	1.551005
  27	2.6000e-03	19.5845	42.496091	-0.000064	-0.643904	-0.218161	0.509720
  28	2.7000e-03	18.3973	37.970505	0.000572	5.716949	1.936955	-4.525586
  29	2.8000e-03	17.6642	36.605183	0.000172	1.724743	0.584359	-1.365322
  30	2.9000e-03	16.9359	37.759335	-0.000146	-1.457983	-0.493978	1.154152
  31	3.0000e-03	16.2862	34.333288	0.000433	4.327955	1.466351	-3.426047
  32	3.1000e-03	15.2996	32.927917	0.000178	1.775336	0.601500	-1.405371
  33	3.2000e-03	14.5648	32.531064	0.000050	0.501325	0.169854	-0.396853
  34	3.3000e-03	13.8124	30.801656	0.000218	2.184675	0.740188	-1.729407
  35	3.4000e-03	12.9317	28.613501	0.000276	2.764188	0.936532	-2.188155
  36	3.5000e-03	12.2050	27.422940	0.000150	1.503976	0.509561	-1.190560
  37	3.6000e-03	11.3836	26.330683	0.000138	1.379795	0.467487	-1.092257
  38	3.7000e-03	10.5960	23.734751	0.000328	3.279312	1.111061	-2.595932
  39	3.8000e-03	9.7778	22.201950	0.000194	1.936312	0.656040	-1.532801
  40	3.9000e-03	9.0062	20.945854	0.000159	1.586764	0.537610	-1.256096
  41	4.0000e-03	8.1800	19.103580	0.000233	2.327253	0.788495	-1.842274
  42	4.1000e-03	7.3714	17.370532	0.000219	2.189274	0.741746	-1.733048
  43	4.2000e-03	6.5469	15.513695	0.000235	2.345651	0.794728	-1.856837
  44	4.3000e-03	5.8169	13.558554	0.000247	2.469832	0.836802	-1.955141
  45	4.4000e-03	5.0325	11.916527	0.000207	2.074291	0.702789	-1.642027
  46	4.5000e-03	4.1678	9.910415	0.000253	2.534223	0.858618	-2.006113
  47	4.6000e-03	3.4074	7.725900	0.000276	2.759589	0.934974	-2.184515
  48	4.7000e-03	2.5828	5.960084	0.000223	2.230668	0.755771	-1.765816
  49	4.8000e-03	1.8176	3.895718	0.000261	2.607812	0.883551	-2.064366
  50	4.9000e-03	1.0299	1.631104	0.000286	2.860774	0.969256	-2.264613
  51	5.0000e-03	0.1572	-0.728172	0.000298	2.980356	1.009772	-2.359276
  52	5.1000e-03	-0.5791	-2.679671	0.000247	2.465233	0.835244	-1.951500
  53	5.2000e-03	-1.4037	-4.627530	0.000246	2.460634	0.833685	-1.947859
  54	5.3000e-03	-2.1914	-6.630002	0.000253	2.529623	0.857060	-2.002472
  55	5.4000e-03	-2.9678	-8.836362	0.000279	2.787185	0.944324	-2.206360
  56	5.5000e-03	-3.8437	-10.664072	0.000231	2.308856	0.782262	-1.827711
  57	5.6000e-03	-4.5977	-12.400761	0.000219	2.193873	0.743304	-1.736689
  58	5.7000e-03	-5.4416	-14.239394	0.000232	2.322654	0.786937	-1.838633
  59	5.8000e-03	-6.1875	-16.252789	0.000254	2.543421	0.861734	-2.013394
  60	5.9000e-03	-7.0201	-17.814717	0.000197	1.973106	0.668506	-1.561928
  61	6.0000e-03	-7.8062	-19.496793	0.000212	2.124884	0.719930	-1.682076
  62	6.1000e-03	-8.6195	-21.142461	0.000208	2.078890	0.704347	-1.645668
  63	6.2000e-03	-9.4249	-23.123087	0.000250	2.502027	0.847710	-1.980627
  64	6.3000e-03	-10.1997	-24.462923	0.000169	1.692548	0.573451	-1.339836
  65	6.4000e-03	-11.0002	-25.697174	0.000156	1.559168	0.528260	-1.234251
  66	6.5000e-03	-11.8120	-27.652314	0.000247	2.469832	0.836802	-1.955141
  67	6.6000e-03	-12.6365	-29.159629	0.000190	1.904116	0.645132	-1.507315
  68	6.7000e-03	-13.4611	-30.768888	0.000203	2.032897	0.688764	-1.609259
  69	6.8000e-03	-14.2007	-32.046829	0.000161	1.614360	0.546960	-1.277941
  70	6.9000e-03	-14.9964	-33.426715	0.000174	1.743140	0.590592	-1.379885
  71	7.0000e-03	-15.8498	-35.126995	0.000215	2.147880	0.727721	-1.700281
  72	7.1000e-03	-16.6471	-36.543289	0.000179	1.789134	0.606175	-1.416294
  73	7.2000e-03	-17.4364	-37.777539	0.000156	1.559168	0.528260	-1.234251
  74	7.3000e-03	-18.2177	-39.033635	0.000159	1.586764	0.537610	-1.256096
  75	7.4000e-03	-19.0246	-40.650176	0.000204	2.042096	0.691881	-1.616541
  76	7.5000e-03	-19.8139	-42.008216	0.000172	1.715545	0.581242	-1.358040
  77	7.6000e-03	-19.4978	-42.496091	-0.000062	-0.616308	-0.208811	-0.487875
  78	7.7000e-03	-18.3989	-37.675595	0.000609	6.089493	2.063176	4.820496
  79	7.8000e-03	-17.6289	-37.544525	0.000017	0.165575	0.056098	0.131071
  80	7.9000e-03	-16.8974	-37.857638	-0.000040	-0.395541	-0.134013	-0.313114
  81	8.0000e-03	-16.1851	-34.642761	0.000406	4.061195	1.375970	3.214877
  82	8.1000e-03	-15.2113	-34.158527	0.000061	0.611709	0.207253	0.484234
  83	8.2000e-03	-14.5360	-32.971607	0.000150	1.499377	0.508003	1.186920
  84	8.3000e-03	-13.7274	-31.347785	0.000205	2.051295	0.694997	1.623823
