»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/6/2025 - 16:39:57
Configured:	06/06/25 01:57:07 PM
Executed:	06/06/25 04:39:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-501
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0481	-1.343812	-0.000232	-2.319160	-0.785753	0.018730
   2	5.0000e-04	0.0225	-1.250162	-0.000232	-2.319160	-0.785753	0.018730
   3	1.0000e-03	0.1219	-1.229209	0.000052	0.518899	0.175808	0.004191
   4	1.5000e-03	0.1684	-1.127862	0.000251	2.509776	0.850335	0.020269
   5	2.0000e-03	0.1925	-1.014541	0.000281	2.806290	0.950797	0.022664
   6	2.5000e-03	0.2262	-0.890957	0.000306	3.060444	1.036907	0.024717
   7	3.0000e-03	0.2759	-0.796452	0.000234	2.340340	0.792929	0.018901
   8	3.5000e-03	0.3144	-0.676289	0.000298	2.975726	1.008203	0.024033
   9	4.0000e-03	0.3706	-0.558265	0.000292	2.922777	0.990264	0.023605
  10	4.5000e-03	0.3834	-0.438102	0.000298	2.975726	1.008203	0.024033
  11	5.0000e-03	0.4444	-0.344452	0.000232	2.319160	0.785753	0.018730
  12	5.5000e-03	0.4652	-0.212744	0.000326	3.261650	1.105077	0.026342
  13	6.0000e-03	0.5326	-0.122087	0.000225	2.245032	0.760637	0.018131
  14	6.5000e-03	0.5438	0.019885	0.000352	3.515804	1.191187	0.028394
  15	7.0000e-03	0.5855	0.139192	0.000295	2.954547	1.001027	0.023861
  16	7.5000e-03	0.6481	0.214026	0.000185	1.853210	0.627885	0.014967
  17	8.0000e-03	0.6866	0.345307	0.000325	3.251060	1.101489	0.026256
  18	8.5000e-03	0.7187	0.464187	0.000294	2.943957	0.997440	0.023776
  19	9.0000e-03	0.7460	0.586916	0.000304	3.039265	1.029731	0.024546
  20	9.5000e-03	0.8069	0.684842	0.000243	2.425058	0.821632	0.019585
  21	1.0000e-02	0.8166	0.815695	0.000324	3.240470	1.097901	0.026171
  22	1.0500e-02	0.8711	0.937568	0.000302	3.018085	1.022555	0.024375
  23	1.1000e-02	0.9272	1.039771	0.000253	2.530956	0.857511	0.020440
  24	1.1500e-02	0.9593	1.148388	0.000269	2.689802	0.911330	0.021723
  25	1.2000e-02	1.0026	1.268550	0.000298	2.975726	1.008203	0.024033
  26	1.2500e-02	1.0315	1.392562	0.000307	3.071034	1.040494	0.024802
  27	1.3000e-02	1.0668	1.500751	0.000268	2.679212	0.907742	0.021638
  28	1.3500e-02	1.1182	1.612789	0.000277	2.774520	0.940033	0.022408
  29	1.4000e-02	1.1615	1.729958	0.000290	2.901598	0.983088	0.023434
  30	1.4500e-02	1.1727	1.847555	0.000291	2.912187	0.986676	0.023519
  31	1.5000e-02	1.2433	1.967718	0.000298	2.975726	1.008203	0.024033
  32	1.5500e-02	1.2866	2.098999	0.000325	3.251060	1.101489	0.026256
  33	1.6000e-02	1.2994	2.205477	0.000264	2.636853	0.893390	0.021296
  34	1.6500e-02	1.3524	2.315377	0.000272	2.721572	0.922093	0.021980
  35	1.7000e-02	1.3764	2.465474	0.000372	3.717010	1.259357	0.030019
  36	1.7500e-02	1.4294	2.583070	0.000291	2.912187	0.986676	0.023519
  37	1.8000e-02	1.4759	2.673727	0.000225	2.245032	0.760637	0.018131
  38	1.8500e-02	1.5112	2.797311	0.000306	3.060444	1.036907	0.024717
  39	1.9000e-02	1.5802	2.889678	0.000229	2.287391	0.774989	0.018473
  40	1.9500e-02	1.6090	3.009840	0.000298	2.975726	1.008203	0.024033
  41	2.0000e-02	1.6492	3.128720	0.000294	2.943957	0.997440	0.023776
  42	2.0500e-02	1.6684	3.245034	0.000288	2.880418	0.975912	0.023263
  43	2.1000e-02	1.7262	3.370329	0.000310	3.102803	1.051258	0.025059
  44	2.1500e-02	1.7518	3.491774	0.000301	3.007495	1.018967	0.024289
  45	2.2000e-02	1.7871	3.598680	0.000265	2.647443	0.896978	0.021381
  46	2.2500e-02	1.8481	3.706870	0.000268	2.679212	0.907742	0.021638
  47	2.3000e-02	1.8705	3.836440	0.000321	3.208701	1.087137	0.025914
  48	2.3500e-02	1.9106	3.953182	0.000289	2.891008	0.979500	0.023348
  49	2.4000e-02	1.9443	4.075910	0.000304	3.039265	1.029731	0.024546
  50	2.4500e-02	1.9973	4.187093	0.000275	2.753341	0.932857	0.022237
  51	2.5000e-02	2.0422	4.277322	0.000223	2.234442	0.757049	0.018046
  52	2.5500e-02	2.0839	4.427846	0.000373	3.727600	1.262945	0.030105
  53	2.6000e-02	2.0919	4.547581	0.000297	2.965136	1.004615	0.023947
  54	2.6500e-02	2.1449	4.651494	0.000257	2.573315	0.871863	0.020783
  55	2.7000e-02	2.2267	4.742150	0.000225	2.245032	0.760637	0.018131
  56	2.7500e-02	2.2331	4.880273	0.000342	3.420497	1.158896	0.027625
  57	2.8000e-02	2.2636	4.989318	0.000270	2.700392	0.914918	0.021809
  58	2.8500e-02	2.3069	5.105204	0.000287	2.869828	0.972324	0.023177
  59	2.9000e-02	2.3727	5.215532	0.000273	2.732161	0.925681	0.022065
  60	2.9500e-02	2.3871	5.354082	0.000343	3.431086	1.162484	0.027710
  61	3.0000e-02	2.4208	5.450298	0.000238	2.382699	0.807280	0.019243
  62	3.0500e-02	2.4850	5.559770	0.000271	2.710982	0.918505	0.021894
  63	3.1000e-02	2.4978	5.682071	0.000303	3.028675	1.026143	0.024460
  64	3.1500e-02	2.5235	5.823187	0.000349	3.494625	1.184011	0.028223
  65	3.2000e-02	2.6117	5.886903	0.000158	1.577876	0.534599	0.012743
  66	3.2500e-02	2.6245	6.021178	0.000333	3.325189	1.126604	0.026855
  67	3.3000e-02	2.6486	6.148182	0.000315	3.145162	1.065610	0.025401
  68	3.3500e-02	2.6983	6.285878	0.000341	3.409907	1.155308	0.027539
  69	3.4000e-02	2.7464	6.369265	0.000207	2.065006	0.699643	0.016677
  70	3.4500e-02	2.7849	6.511664	0.000353	3.526394	1.194775	0.028480
  71	3.5000e-02	2.8539	6.568110	0.000140	1.397850	0.473604	0.011289
  72	3.5500e-02	2.8636	6.719062	0.000374	3.738190	1.266533	0.030190
  73	3.6000e-02	2.9277	6.835376	0.000288	2.880418	0.975912	0.023263
  74	3.6500e-02	2.9566	6.943138	0.000267	2.668623	0.904154	0.021552
  75	3.7000e-02	3.0079	7.036360	0.000231	2.308570	0.782165	0.018644
  76	3.7500e-02	3.0464	7.166358	0.000322	3.219291	1.090725	0.026000
  77	3.8000e-02	3.0849	7.266422	0.000248	2.478007	0.839571	0.020013
  78	3.8500e-02	3.1058	7.401980	0.000336	3.356958	1.137368	0.027111
  79	3.9000e-02	3.1331	7.524708	0.000304	3.039265	1.029731	0.024546
  80	3.9500e-02	3.1732	7.629049	0.000258	2.583904	0.875451	0.020868
  81	4.0000e-02	3.2422	7.715001	0.000213	2.128544	0.721170	0.017191
