»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 14:50:52
Configured:	06/09/25 02:47:45 PM
Executed:	06/09/25 02:50:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-927
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-0.859313	0.000483	4.831118	1.636827	0.038914
   2	5.0000e-04	0.0257	-0.664743	0.000483	4.831118	1.636827	0.038914
   3	1.0000e-03	0.0674	-0.695960	-0.000078	-0.775102	-0.262612	-0.006243
   4	1.5000e-03	0.1332	-0.619415	0.000190	1.900594	0.643939	0.015309
   5	2.0000e-03	0.1556	-0.348301	0.000673	6.731711	2.280766	0.054223
   6	2.5000e-03	0.1861	-0.357281	-0.000022	-0.222975	-0.075546	-0.001796
   7	3.0000e-03	0.2535	-0.336755	0.000051	0.509656	0.172676	0.004105
   8	3.5000e-03	0.2952	-0.170836	0.000412	4.119722	1.395800	0.033184
   9	4.0000e-03	0.3385	-0.218303	-0.000118	-1.178580	-0.399314	-0.009493
  10	4.5000e-03	0.3642	0.103272	0.000798	7.984617	2.705261	0.064315
  11	5.0000e-03	0.4139	0.157580	0.000135	1.348466	0.456873	0.010862
  12	5.5000e-03	0.4380	0.273894	0.000289	2.888053	0.978499	0.023263
  13	6.0000e-03	0.4845	0.381656	0.000268	2.675696	0.906550	0.021552
  14	6.5000e-03	0.5118	0.486851	0.000261	2.611989	0.884966	0.021039
  15	7.0000e-03	0.5583	0.465042	-0.000054	-0.541510	-0.183469	-0.004362
  16	7.5000e-03	0.6048	0.638658	0.000431	4.310844	1.460553	0.034723
  17	8.0000e-03	0.6208	0.790893	0.000378	3.779952	1.280682	0.030447
  18	8.5000e-03	0.6706	0.848195	0.000142	1.422791	0.482055	0.011460
  19	9.0000e-03	0.7059	1.063290	0.000534	5.340774	1.809503	0.043019
  20	9.5000e-03	0.7845	1.004278	-0.000147	-1.465262	-0.496444	-0.011802
  21	1.0000e-02	0.7909	1.242893	0.000592	5.924755	2.007361	0.047723
  22	1.0500e-02	0.8518	1.137697	-0.000261	-2.611989	-0.884966	-0.021039
  23	1.1000e-02	0.8936	1.413515	0.000685	6.848508	2.320337	0.055164
  24	1.1500e-02	0.9321	1.341247	-0.000179	-1.794415	-0.607964	-0.014454
