»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/9/2025 - 14:57:21
Configured:	06/09/25 02:47:45 PM
Executed:	06/09/25 02:56:54 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-927
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0465	-1.004706	-0.001345	-13.448307	-4.556410	0.108018
   2	5.0000e-04	0.0289	-0.464615	-0.001345	-13.448307	-4.556410	0.108018
   3	1.0000e-03	0.1171	-0.787044	-0.000803	-8.028522	-2.720137	-0.064486
   4	1.5000e-03	0.1348	-0.508233	0.000694	6.942435	2.352161	0.055762
   5	2.0000e-03	0.1717	-0.381228	0.000316	3.162428	1.071460	0.025401
   6	2.5000e-03	0.2278	-0.393629	-0.000031	-0.308789	-0.104621	-0.002480
   7	3.0000e-03	0.2631	-0.143896	0.000622	6.218378	2.106843	0.049947
   8	3.5000e-03	0.3032	-0.011332	0.000330	3.300851	1.118359	0.026513
   9	4.0000e-03	0.3385	0.081035	0.000230	2.299948	0.779243	0.018473
  10	4.5000e-03	0.3738	0.362412	0.000701	7.006323	2.373806	0.056275
  11	5.0000e-03	0.4364	0.148172	-0.000533	-5.334601	-1.807412	-0.042848
  12	5.5000e-03	0.4508	0.508660	0.000898	8.976186	3.041214	0.072098
  13	6.0000e-03	0.4973	0.607442	0.000246	2.459667	0.833358	0.019756
  14	6.5000e-03	0.5294	0.706223	0.000246	2.459667	0.833358	0.019756
  15	7.0000e-03	0.5839	0.781485	0.000187	1.874032	0.634939	0.015052
  16	7.5000e-03	0.6080	0.897799	0.000290	2.896231	0.981270	0.023263
  17	8.0000e-03	0.6577	1.136842	0.000595	5.952180	2.016653	0.047809
  18	8.5000e-03	0.6946	1.205689	0.000171	1.714313	0.580825	0.013770
  19	9.0000e-03	0.7331	1.351082	0.000362	3.620288	1.226587	0.029079
  20	9.5000e-03	0.7748	1.415226	0.000160	1.597186	0.541141	0.012829
  21	1.0000e-02	0.8182	1.453712	0.000096	0.958312	0.324685	0.007697
  22	1.0500e-02	0.8599	1.646999	0.000481	4.812854	1.630639	0.038657
  23	1.1000e-02	0.9000	1.657262	0.000026	0.255550	0.086583	0.002053
  24	1.1500e-02	0.9256	1.993375	0.000837	8.369255	2.835580	0.067223
  25	1.2000e-02	0.9706	1.918113	-0.000187	-1.874032	-0.634939	-0.015052
  26	1.2500e-02	1.0299	1.977125	0.000147	1.469411	0.497850	0.011802
  27	1.3000e-02	1.0652	2.334620	0.000890	8.901650	3.015961	0.071499
  28	1.3500e-02	1.0941	2.235839	-0.000246	-2.459667	-0.833358	-0.019756
  29	1.4000e-02	1.1374	2.368403	0.000330	3.300851	1.118359	0.026513
  30	1.4500e-02	1.1919	2.485144	0.000291	2.906879	0.984877	0.023348
  31	1.5000e-02	1.2240	2.756259	0.000675	6.750773	2.287224	0.054223
  32	1.5500e-02	1.2449	2.878987	0.000306	3.055949	1.035384	0.024546
  33	1.6000e-02	1.3107	2.909776	0.000077	0.766649	0.259748	0.006158
  34	1.6500e-02	1.3283	3.034643	0.000311	3.109189	1.053422	0.024973
  35	1.7000e-02	1.3764	3.223226	0.000470	4.695727	1.590955	0.037717
  36	1.7500e-02	1.4262	3.434900	0.000527	5.270714	1.785766	0.042335
  37	1.8000e-02	1.4615	3.443025	0.000020	0.202310	0.068545	0.001625
  38	1.8500e-02	1.4871	3.698745	0.000637	6.367448	2.157350	0.051144
  39	1.9000e-02	1.5272	3.591411	-0.000267	-2.672625	-0.905510	-0.021467
  40	1.9500e-02	1.5962	3.568747	-0.000056	-0.564339	-0.191203	-0.004533
  41	2.0000e-02	1.6299	3.796671	0.000568	5.675334	1.922855	0.045585
  42	2.0500e-02	1.6411	4.182817	0.000962	9.615060	3.257671	0.077229
  43	2.1000e-02	1.6941	4.213606	0.000077	0.766649	0.259748	0.006158
  44	2.1500e-02	1.7438	4.263210	0.000124	1.235157	0.418483	0.009921
  45	2.2000e-02	1.7759	4.388504	0.000312	3.119837	1.057029	0.025059
  46	2.2500e-02	1.8304	4.488996	0.000250	2.502258	0.847788	0.020098
  47	2.3000e-02	1.8753	4.658336	0.000422	4.216571	1.428613	0.033868
  48	2.3500e-02	1.9155	4.753269	0.000236	2.363835	0.800889	0.018987
  49	2.4000e-02	1.9235	4.907214	0.000383	3.833247	1.298739	0.030789
  50	2.4500e-02	1.9700	5.018824	0.000278	2.779104	0.941586	0.022322
  51	2.5000e-02	2.0310	4.996160	-0.000056	-0.564339	-0.191203	-0.004533
  52	2.5500e-02	2.0711	5.350234	0.000882	8.816467	2.987100	0.070815
  53	2.6000e-02	2.1096	5.219380	-0.000326	-3.258260	-1.103928	-0.026171
  54	2.6500e-02	2.1400	5.437042	0.000542	5.419785	1.836273	0.043532
  55	2.7000e-02	2.1882	5.546941	0.000274	2.736512	0.927155	0.021980
  56	2.7500e-02	2.2251	5.732103	0.000461	4.610544	1.562095	0.037032
  57	2.8000e-02	2.2588	5.936936	0.000510	5.100347	1.728045	0.040967
  58	2.8500e-02	2.3117	5.841147	-0.000239	-2.385131	-0.808104	-0.019158
