»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/10/2025 - 14:44:59
Configured:	06/10/25 02:01:08 PM
Executed:	06/10/25 02:44:36 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1027
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0080	-1.158223	0.000213	2.134560	0.723209	0.017276
   2	5.0000e-04	0.0674	-1.071843	0.000213	2.134560	0.723209	0.017276
   3	1.0000e-03	0.1620	-1.123585	-0.000128	-1.278623	-0.433209	-0.010349
   4	1.5000e-03	0.1572	-0.970496	-0.000378	-3.783032	-1.281726	0.030618
   5	2.0000e-03	0.1893	-0.903786	0.000165	1.648472	0.558518	0.013342
   6	2.5000e-03	0.2166	-0.748130	0.000385	3.846435	1.303208	0.031131
   7	3.0000e-03	0.2454	-0.620270	0.000316	3.159572	1.070492	0.025572
   8	3.5000e-03	0.3369	-0.613001	0.000018	0.179641	0.060864	0.001454
   9	4.0000e-03	0.3465	-0.474878	0.000341	3.413183	1.156418	0.027625
  10	4.5000e-03	0.4075	-0.400043	0.000185	1.849248	0.626542	0.014967
  11	5.0000e-03	0.4171	-0.256361	0.000355	3.550556	1.202961	0.028736
  12	5.5000e-03	0.4684	-0.163994	0.000228	2.282500	0.773332	0.018473
  13	6.0000e-03	0.5166	-0.064785	0.000245	2.451574	0.830616	0.019842
  14	6.5000e-03	0.5823	-0.009622	0.000136	1.363160	0.461851	0.011033
  15	7.0000e-03	0.6080	0.102844	0.000278	2.779155	0.941603	0.022493
  16	7.5000e-03	0.6481	0.210178	0.000265	2.652350	0.898640	0.021467
  17	8.0000e-03	0.6722	0.303828	0.000231	2.314201	0.784073	0.018730
  18	8.5000e-03	0.7235	0.435109	0.000324	3.244109	1.099134	0.026256
  19	9.0000e-03	0.7716	0.503529	0.000169	1.690741	0.572838	0.013684
  20	9.5000e-03	0.8021	0.620270	0.000288	2.884826	0.977406	0.023348
  21	1.0000e-02	0.8342	0.725466	0.000260	2.599514	0.880739	0.021039
  22	1.0500e-02	0.8599	0.848195	0.000303	3.032766	1.027529	0.024546
  23	1.1000e-02	0.9305	0.952963	0.000259	2.588947	0.877159	0.020954
  24	1.1500e-02	0.9545	1.019245	0.000164	1.637905	0.554937	0.013256
  25	1.2000e-02	0.9978	1.149243	0.000321	3.212407	1.088393	0.026000
  26	1.2500e-02	1.0379	1.241182	0.000227	2.271933	0.769752	0.018388
  27	1.3000e-02	1.0973	1.331411	0.000223	2.229664	0.755431	0.018046
  28	1.3500e-02	1.1342	1.478087	0.000362	3.624526	1.228022	0.029335
  29	1.4000e-02	1.1695	1.542658	0.000160	1.595637	0.540616	0.012914
  30	1.4500e-02	1.2192	1.638019	0.000236	2.356470	0.798394	0.019072
  31	1.5000e-02	1.2513	1.771438	0.000330	3.296944	1.117035	0.026684
  32	1.5500e-02	1.2818	1.851404	0.000198	1.976053	0.669505	0.015993
  33	1.6000e-02	1.3219	1.983112	0.000325	3.254676	1.102714	0.026342
  34	1.6500e-02	1.3524	2.089591	0.000263	2.631215	0.891480	0.021296
  35	1.7000e-02	1.3812	2.181530	0.000227	2.271933	0.769752	0.018388
  36	1.7500e-02	1.4438	2.260641	0.000195	1.954919	0.662344	0.015822
  37	1.8000e-02	1.4823	2.387218	0.000313	3.127870	1.059751	0.025315
  38	1.8500e-02	1.5320	2.469322	0.000203	2.028889	0.687406	0.016421
  39	1.9000e-02	1.5529	2.590340	0.000299	2.990498	1.013208	0.024204
  40	1.9500e-02	1.5754	2.683135	0.000229	2.293067	0.776912	0.018559
  41	2.0000e-02	1.5866	2.819547	0.000337	3.370914	1.142097	0.027282
  42	2.0500e-02	1.6652	2.890105	0.000174	1.743576	0.590740	0.014112
  43	2.1000e-02	1.7342	2.959808	0.000172	1.722442	0.583579	0.013941
  44	2.1500e-02	1.7743	3.068853	0.000269	2.694618	0.912961	0.021809
  45	2.2000e-02	1.8064	3.171910	0.000255	2.546678	0.862838	0.020612
  46	2.2500e-02	1.8593	3.269409	0.000241	2.409306	0.816295	0.019500
  47	2.3000e-02	1.8802	3.407104	0.000340	3.402616	1.152837	0.027539
  48	2.3500e-02	1.9331	3.481939	0.000185	1.849248	0.626542	0.014967
  49	2.4000e-02	1.9572	3.578154	0.000238	2.377604	0.805554	0.019243
  50	2.4500e-02	2.0117	3.699600	0.000300	3.001065	1.016788	0.024289
  51	2.5000e-02	2.0358	3.811210	0.000276	2.758021	0.934443	0.022322
  52	2.5500e-02	2.0807	3.892031	0.000200	1.997188	0.676665	0.016164
  53	2.6000e-02	2.1160	3.985681	0.000231	2.314201	0.784073	0.018730
  54	2.6500e-02	2.1673	4.085746	0.000247	2.472708	0.837776	0.020013
  55	2.7000e-02	2.2219	4.199066	0.000280	2.800289	0.948764	0.022664
  56	2.7500e-02	2.2299	4.282453	0.000206	2.060590	0.698147	0.016677
  57	2.8000e-02	2.2748	4.384228	0.000251	2.514977	0.852097	0.020355
  58	2.8500e-02	2.3133	4.496694	0.000278	2.779155	0.941603	0.022493
  59	2.9000e-02	2.3502	4.605310	0.000268	2.684051	0.909381	0.021723
  60	2.9500e-02	2.4112	4.689553	0.000208	2.081725	0.705307	0.016848
  61	3.0000e-02	2.4416	4.806722	0.000290	2.895394	0.980986	0.023434
  62	3.0500e-02	2.4769	4.902938	0.000238	2.377604	0.805554	0.019243
