»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 16:22:13
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 04:21:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	2.714275	0.000101	1.010282	0.342293	0.008066
   2	5.0000e-04	0.0305	2.754606	0.000101	1.010282	0.342293	0.008066
   3	1.0000e-03	0.0594	2.766706	0.000030	0.303085	0.102688	0.002420
   4	1.5000e-03	0.0995	2.770739	0.000010	0.101028	0.034229	0.000807
   5	2.0000e-03	0.1219	2.843335	0.000182	1.818507	0.616127	0.014519
   6	2.5000e-03	0.1765	2.948195	0.000263	2.626733	0.889961	0.020972
   7	3.0000e-03	0.2102	3.073221	0.000313	3.131874	1.061108	0.025005
   8	3.5000e-03	0.2487	3.153883	0.000202	2.020564	0.684585	0.016132
   9	4.0000e-03	0.2823	3.291008	0.000343	3.434958	1.163795	0.027425
  10	4.5000e-03	0.3225	3.424101	0.000333	3.333930	1.129566	0.026618
  11	5.0000e-03	0.3738	3.549127	0.000313	3.131874	1.061108	0.025005
  12	5.5000e-03	0.4155	3.714484	0.000414	4.142155	1.403400	0.033071
  13	6.0000e-03	0.4540	3.895973	0.000455	4.546268	1.540317	0.036298
  14	6.5000e-03	0.4973	4.016966	0.000303	3.030845	1.026878	0.024199
  15	7.0000e-03	0.5246	4.158125	0.000354	3.535986	1.198025	0.028232
  16	7.5000e-03	0.5727	4.295250	0.000343	3.434958	1.163795	0.027425
  17	8.0000e-03	0.6128	4.504971	0.000525	5.253465	1.779922	0.041944
  18	8.5000e-03	0.6545	4.597732	0.000232	2.323648	0.787273	0.018552
  19	9.0000e-03	0.6882	4.787288	0.000475	4.748324	1.608776	0.037911
  20	9.5000e-03	0.7396	4.928446	0.000354	3.535986	1.198025	0.028232
  21	1.0000e-02	0.7732	5.109936	0.000455	4.546268	1.540317	0.036298
  22	1.0500e-02	0.8101	5.214796	0.000263	2.626733	0.889961	0.020972
  23	1.1000e-02	0.8470	5.448716	0.000586	5.859634	1.985298	0.046784
  24	1.1500e-02	0.8887	5.569709	0.000303	3.030845	1.026878	0.024199
  25	1.2000e-02	0.9272	5.759265	0.000475	4.748324	1.608776	0.037911
