»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 11:2:11
Configured:	06/11/25 10:21:25 AM
Executed:	06/11/25 11:01:41 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1175
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0096	-3.851831	0.000012	0.120164	0.040713	0.000005
   2	9.9500e-02	0.0337	-3.846943	0.000012	0.120164	0.040713	0.000005
   3	1.9900e-01	0.1107	-3.853461	-0.000016	-0.160219	-0.054284	-0.000007
   4	2.9850e-01	0.1540	-3.853053	0.000001	0.010014	0.003393	0.000000
   5	3.9800e-01	0.1652	-3.847350	0.000014	0.140192	0.047498	0.000006
   6	4.9750e-01	0.2150	-3.848572	-0.000003	-0.030041	-0.010178	-0.000001
   7	5.9700e-01	0.2406	-3.850609	-0.000005	-0.050068	-0.016964	-0.000002
   8	6.9650e-01	0.2920	-3.845721	0.000012	0.120164	0.040713	0.000005
   9	7.9600e-01	0.3321	-3.847350	-0.000004	-0.040055	-0.013571	-0.000002
  10	8.9550e-01	0.3610	-3.848572	-0.000003	-0.030041	-0.010178	-0.000001
  11	9.9500e-01	0.3898	-3.850609	-0.000005	-0.050068	-0.016964	-0.000002
  12	1.0945e+00	0.4716	-3.847758	0.000007	0.070096	0.023749	0.000003
  13	1.1940e+00	0.5005	-3.844092	0.000009	0.090123	0.030535	0.000004
  14	1.2935e+00	0.5503	-3.845314	-0.000003	-0.030041	-0.010178	-0.000001
  15	1.3930e+00	0.5743	-3.842055	0.000008	0.080109	0.027142	0.000003
  16	1.4925e+00	0.6305	-3.842870	-0.000002	-0.020027	-0.006785	-0.000001
  17	1.5920e+00	0.6625	-3.837982	0.000012	0.120164	0.040713	0.000005
  18	1.6915e+00	0.6818	-3.837574	0.000001	0.010014	0.003393	0.000000
  19	1.7910e+00	0.7668	-3.833093	0.000011	0.110151	0.037320	0.000005
  20	1.8905e+00	0.8005	-3.828205	0.000012	0.120164	0.040713	0.000005
  21	1.9900e+00	0.7941	-3.829020	0.000002	0.020027	0.006785	-0.000001
  22	2.0895e+00	0.8454	-3.828613	0.000001	0.010014	0.003393	0.000000
  23	2.1890e+00	0.8727	-3.828205	0.000001	0.010014	0.003393	0.000000
  24	2.2885e+00	0.9337	-3.826983	0.000003	0.030041	0.010178	0.000001
  25	2.3880e+00	0.9529	-3.825354	0.000004	0.040055	0.013571	0.000002
  26	2.4875e+00	0.9994	-3.822503	0.000007	0.070096	0.023749	0.000003
  27	2.5870e+00	1.0347	-3.822910	-0.000001	-0.010014	-0.003393	-0.000000
  28	2.6865e+00	1.0893	-3.818022	0.000012	0.120164	0.040713	0.000005
  29	2.7860e+00	1.1149	-3.818429	-0.000001	-0.010014	-0.003393	-0.000000
  30	2.8855e+00	1.1807	-3.820466	-0.000005	-0.050068	-0.016964	-0.000002
  31	2.9850e+00	1.2288	-3.817207	0.000008	0.080109	0.027142	0.000003
  32	3.0845e+00	1.2481	-3.810282	0.000017	0.170233	0.057676	0.000007
  33	3.1840e+00	1.3171	-3.811912	-0.000004	-0.040055	-0.013571	-0.000002
  34	3.2835e+00	1.3283	-3.814356	-0.000006	-0.060082	-0.020356	-0.000002
  35	3.3830e+00	1.3957	-3.813541	0.000002	0.020027	0.006785	0.000001
  36	3.4825e+00	1.4181	-3.813541	0.000000	0.000000	0.000000	0.000000
  37	3.5820e+00	1.4615	-3.814763	-0.000003	-0.030041	-0.010178	-0.000001
  38	3.6815e+00	1.4919	-3.808653	0.000015	0.150205	0.050891	0.000006
  39	3.7810e+00	1.5240	-3.812319	-0.000009	-0.090123	-0.030535	-0.000004
  40	3.8805e+00	1.5978	-3.815578	-0.000008	-0.080109	-0.027142	-0.000003
  41	3.9800e+00	1.5994	-3.817207	-0.000004	-0.040055	-0.013571	-0.000002
  42	4.0795e+00	1.6443	-3.818022	-0.000002	-0.020027	-0.006785	-0.000001
  43	4.1790e+00	1.6893	-3.822503	-0.000011	-0.110151	-0.037320	-0.000005
  44	4.2785e+00	1.7470	-3.821688	0.000002	0.020027	0.006785	0.000001
  45	4.3780e+00	1.7695	-3.826576	-0.000012	-0.120164	-0.040713	-0.000005
  46	4.4775e+00	1.7983	-3.825761	0.000002	0.020027	0.006785	0.000001
  47	4.5770e+00	1.8401	-3.829020	-0.000008	-0.080109	-0.027142	-0.000003
  48	4.6765e+00	1.8914	-3.830242	-0.000003	-0.030041	-0.010178	-0.000001
  49	4.7760e+00	1.9331	-3.833501	-0.000008	-0.080109	-0.027142	-0.000003
  50	4.8755e+00	1.9347	-3.833093	0.000001	0.010014	0.003393	0.000000
  51	4.9750e+00	2.0534	-3.834723	-0.000004	-0.040055	-0.013571	-0.000002
  52	5.0745e+00	2.0630	-3.837167	-0.000006	-0.060082	-0.020356	-0.000002
  53	5.1740e+00	2.0775	-3.837982	-0.000002	-0.020027	-0.006785	-0.000001
  54	5.2735e+00	2.1015	-3.840018	-0.000005	-0.050068	-0.016964	-0.000002
  55	5.3730e+00	2.1930	-3.842055	-0.000005	-0.050068	-0.016964	-0.000002
  56	5.4725e+00	2.1802	-3.846128	0.000010	0.100137	0.033927	-0.000004
  57	5.5720e+00	2.2283	-3.851831	-0.000014	-0.140192	-0.047498	-0.000006
  58	5.6715e+00	2.2941	-3.850609	0.000003	0.030041	0.010178	0.000001
  59	5.7710e+00	2.3213	-3.851831	-0.000003	-0.030041	-0.010178	-0.000001
  60	5.8705e+00	2.3646	-3.855905	-0.000010	-0.100137	-0.033927	-0.000004
  61	5.9700e+00	2.4031	-3.855497	0.000001	0.010014	0.003393	0.000000
  62	6.0695e+00	2.4449	-3.854683	0.000002	0.020027	0.006785	0.000001
  63	6.1690e+00	2.4753	-3.856312	-0.000004	-0.040055	-0.013571	-0.000002
  64	6.2685e+00	2.5539	-3.856719	-0.000001	-0.010014	-0.003393	-0.000000
  65	6.3680e+00	2.5652	-3.859978	-0.000008	-0.080109	-0.027142	-0.000003
  66	6.4675e+00	2.6005	-3.856312	0.000009	0.090123	0.030535	0.000004
  67	6.5670e+00	2.6374	-3.857534	-0.000003	-0.030041	-0.010178	-0.000001
  68	6.6665e+00	2.6791	-3.859978	-0.000006	-0.060082	-0.020356	-0.000002
  69	6.7660e+00	2.7304	-3.859163	0.000002	0.020027	0.006785	0.000001
  70	6.8655e+00	2.7721	-3.859571	-0.000001	-0.010014	-0.003393	-0.000000
  71	6.9650e+00	2.8154	-3.858756	0.000002	0.020027	0.006785	0.000001
  72	7.0645e+00	2.8379	-3.859978	-0.000003	-0.030041	-0.010178	-0.000001
  73	7.1640e+00	2.8780	-3.864459	-0.000011	-0.110151	-0.037320	-0.000005
  74	7.2635e+00	2.9165	-3.860793	0.000009	0.090123	0.030535	0.000004
  75	7.3630e+00	2.9566	-3.860793	0.000000	0.000000	0.000000	0.000000
  76	7.4625e+00	3.0031	-3.857941	0.000007	0.070096	0.023749	0.000003
  77	7.5620e+00	3.0641	-3.862422	-0.000011	-0.110151	-0.037320	-0.000005
  78	7.6615e+00	3.0817	-3.863237	-0.000002	-0.020027	-0.006785	-0.000001
  79	7.7610e+00	3.1250	-3.861200	0.000005	0.050068	0.016964	0.000002
  80	7.8605e+00	3.1283	-3.866495	-0.000013	-0.130178	-0.044105	-0.000005
  81	7.9600e+00	3.2004	-3.861607	0.000012	0.120164	0.040713	0.000005
  82	8.0595e+00	3.2534	-3.859571	0.000005	0.050068	0.016964	0.000002
  83	8.1590e+00	3.2662	-3.861200	-0.000004	-0.040055	-0.013571	-0.000002
  84	8.2585e+00	3.3352	-3.866088	-0.000012	-0.120164	-0.040713	-0.000005
