»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 14:28:22
Configured:	06/11/25 01:55:56 PM
Executed:	06/11/25 02:27:33 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1287
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0305	-0.108108	0.000011	0.106628	0.036127	0.000870
   2	5.0000e-04	0.0465	-0.103760	0.000011	0.106628	0.036127	0.000870
   3	1.0000e-03	0.1075	-0.098597	0.000013	0.126621	0.042900	0.001033
   4	1.5000e-03	0.1813	-0.090083	0.000021	0.208813	0.070748	0.001703
   5	2.0000e-03	0.2374	-0.084331	0.000014	0.141060	0.047792	0.001150
   6	2.5000e-03	0.2551	-0.076586	0.000019	0.189931	0.064350	0.001549
   7	3.0000e-03	0.2567	-0.067845	0.000021	0.214367	0.072630	0.001748
   8	3.5000e-03	0.3192	-0.060236	0.000019	0.186599	0.063222	0.001522
   9	4.0000e-03	0.3946	-0.052175	0.000020	0.197706	0.066985	0.001612
  10	4.5000e-03	0.3882	-0.045109	-0.000017	-0.173271	-0.058706	0.001413
  11	5.0000e-03	0.4476	-0.037138	0.000020	0.195485	0.066232	0.001594
  12	5.5000e-03	0.5037	-0.027899	0.000023	0.226585	0.076769	0.001848
  13	6.0000e-03	0.5085	-0.019158	0.000021	0.214367	0.072630	0.001748
  14	6.5000e-03	0.5759	-0.011051	0.000020	0.198817	0.067361	0.001621
  15	7.0000e-03	0.5904	-0.002174	0.000022	0.217699	0.073758	0.001775
  16	7.5000e-03	0.6353	0.004484	0.000016	0.163274	0.055319	0.001332
  17	8.0000e-03	0.6545	0.013814	0.000023	0.228806	0.077522	0.001866
  18	8.5000e-03	0.7203	0.021558	0.000019	0.189931	0.064350	0.001549
  19	9.0000e-03	0.7781	0.029892	0.000020	0.204371	0.069243	0.001667
  20	9.5000e-03	0.8021	0.037093	0.000018	0.176603	0.059835	0.001440
  21	1.0000e-02	0.8535	0.045834	0.000021	0.214367	0.072630	0.001748
  22	1.0500e-02	0.8887	0.054620	0.000022	0.215478	0.073006	0.001757
  23	1.1000e-02	0.9337	0.062501	0.000019	0.193264	0.065479	0.001576
  24	1.1500e-02	0.9577	0.069883	0.000018	0.181046	0.061340	0.001476
  25	1.2000e-02	1.0075	0.078715	0.000022	0.216588	0.073382	0.001766
