»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/10/2025 - 16:5:6
Configured:	06/10/25 03:08:08 PM
Executed:	06/10/25 04:04:25 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1091
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	27.412152	0.000537	5.369856	1.819356	0.000215
   2	9.9500e-02	0.0369	27.626120	0.000537	5.369856	1.819356	0.000215
   3	1.9900e-01	0.0706	27.896608	0.000679	6.788308	2.299941	0.000272
   4	2.9850e-01	0.1139	28.187282	0.000729	7.294899	2.471579	0.000292
   5	3.9800e-01	0.1540	28.502178	0.000790	7.902807	2.677543	0.000316
   6	4.9750e-01	0.1893	28.784778	0.000709	7.092263	2.402924	0.000284
   7	5.9700e-01	0.2246	29.103712	0.000800	8.004125	2.711871	0.000321
   8	6.9650e-01	0.2615	29.410534	0.000770	7.700171	2.608888	0.000308
   9	7.9600e-01	0.3064	29.701208	0.000729	7.294899	2.471579	0.000292
  10	8.9550e-01	0.3513	30.003993	0.000760	7.598853	2.574561	0.000304
  11	9.9500e-01	0.3978	30.282555	0.000699	6.990944	2.368596	0.000280
  12	1.0945e+00	0.4235	30.621675	0.000851	8.510715	2.883508	0.000341
  13	1.1940e+00	0.4700	30.936571	0.000790	7.902807	2.677543	0.000316
  14	1.2935e+00	0.5134	31.223208	0.000719	7.193581	2.437251	0.000288
  15	1.3930e+00	0.5567	31.521956	0.000750	7.497535	2.540234	0.000300
  16	1.4925e+00	0.5839	31.840890	0.000800	8.004125	2.711871	0.000321
  17	1.5920e+00	0.6224	32.155786	0.000790	7.902807	2.677543	0.000316
  18	1.6915e+00	0.6674	32.482794	0.000821	8.206761	2.780526	0.000329
  19	1.7910e+00	0.7155	32.761357	0.000699	6.990944	2.368596	0.000280
  20	1.8905e+00	0.7428	33.072216	0.000780	7.801489	2.643216	0.000312
  21	1.9900e+00	0.7893	33.391150	0.000800	8.004125	2.711871	0.000321
  22	2.0895e+00	0.8326	33.702009	0.000780	7.801489	2.643216	0.000312
  23	2.1890e+00	0.8647	33.992683	0.000729	7.294899	2.471579	0.000292
  24	2.2885e+00	0.9032	34.311617	0.000800	8.004125	2.711871	0.000321
  25	2.3880e+00	0.9417	34.642662	0.000831	8.308079	2.814853	0.000333
  26	2.4875e+00	0.9914	34.957558	0.000790	7.902807	2.677543	0.000316
  27	2.5870e+00	1.0267	35.232084	0.000689	6.889626	2.334269	0.000276
  28	2.6865e+00	1.0588	35.591389	0.000902	9.017305	3.055146	0.000361
  29	2.7860e+00	1.1053	35.853802	0.000659	6.585672	2.231286	0.000264
  30	2.8855e+00	1.1502	36.164662	0.000780	7.801489	2.643216	0.000312
  31	2.9850e+00	1.1823	36.419001	0.000638	6.383036	2.162631	0.000256
  32	3.0845e+00	1.2176	36.701601	0.000709	7.092263	2.402924	0.000284
  33	3.1840e+00	1.2706	37.032646	0.000831	8.308079	2.814853	0.000333
  34	3.2835e+00	1.3155	37.379840	0.000871	8.713351	2.952163	0.000349
  35	3.3830e+00	1.3524	37.682625	0.000760	7.598853	2.574561	0.000304
  36	3.4825e+00	1.3845	38.017707	0.000841	8.409397	2.849181	0.000337
