»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 10:44:50
Configured:	06/11/25 10:21:25 AM
Executed:	06/11/25 10:44:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1175
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0080	-1.729744	0.000400	4.002363	1.356037	0.032414
   2	5.0000e-04	0.0273	-1.567674	0.000400	4.002363	1.356037	0.032414
   3	1.0000e-03	0.1299	-1.647640	-0.000197	-1.974781	-0.669074	-0.015993
   4	1.5000e-03	0.1203	-1.473169	-0.000431	-4.308612	-1.459797	0.034894
   5	2.0000e-03	0.1620	-1.315803	0.000389	3.886199	1.316680	0.031473
   6	2.5000e-03	0.2342	-1.185377	0.000322	3.220899	1.091270	0.026085
   7	3.0000e-03	0.2839	-1.108832	0.000189	1.890298	0.640450	0.015309
   8	3.5000e-03	0.3225	-1.022880	0.000212	2.122625	0.719165	0.017191
   9	4.0000e-03	0.3449	-0.914263	0.000268	2.682322	0.908795	0.021723
  10	4.5000e-03	0.4027	-0.628182	0.000706	7.064857	2.393638	0.057216
  11	5.0000e-03	0.4492	-0.583281	0.000111	1.108834	0.375683	0.008980
  12	5.5000e-03	0.4732	-0.398119	0.000457	4.572620	1.549246	0.037032
  13	6.0000e-03	0.4845	-0.254865	0.000354	3.537708	1.198608	0.028651
  14	6.5000e-03	0.5390	-0.215951	0.000096	0.960989	0.325592	0.007783
  15	7.0000e-03	0.5855	-0.032927	0.000452	4.519819	1.531356	0.036605
  16	7.5000e-03	0.6192	0.089801	0.000303	3.030813	1.026867	0.024546
  17	8.0000e-03	0.6706	0.273253	0.000453	4.530379	1.534934	0.036690
  18	8.5000e-03	0.6946	0.413941	0.000347	3.474346	1.177140	0.028138
  19	9.0000e-03	0.7299	0.570880	0.000388	3.875639	1.313102	0.031388
  20	9.5000e-03	0.7813	0.752620	0.000449	4.488138	1.520622	0.036348
  21	1.0000e-02	0.8518	0.803508	0.000126	1.256679	0.425774	0.010177
  22	1.0500e-02	0.9000	0.906993	0.000256	2.555598	0.865860	0.020697
  23	1.1000e-02	0.9272	1.116957	0.000519	5.185119	1.756766	0.041993
  24	1.1500e-02	0.9481	1.218304	0.000250	2.502797	0.847970	0.020269
  25	1.2000e-02	1.0010	1.383368	0.000408	4.076285	1.381083	0.033013
  26	1.2500e-02	1.0139	1.526622	0.000354	3.537708	1.198608	0.028651
  27	1.3000e-02	1.0780	1.614713	0.000218	2.175427	0.737055	0.017618
  28	1.3500e-02	1.1133	1.772934	0.000391	3.907320	1.323836	0.031644
  29	1.4000e-02	1.1502	1.832374	0.000147	1.467885	0.497333	0.011888
  30	1.4500e-02	1.1935	1.984609	0.000376	3.759475	1.273745	0.030447
  31	1.5000e-02	1.2192	2.132140	0.000364	3.643312	1.234387	0.029506
  32	1.5500e-02	1.2994	2.227928	0.000237	2.365513	0.801457	0.019158
  33	1.6000e-02	1.2978	2.418221	-0.000470	-4.699344	-1.592181	0.038059
  34	1.6500e-02	1.3604	2.585850	0.000414	4.139647	1.402550	0.033526
  35	1.7000e-02	1.3941	2.611935	0.000064	0.644180	0.218254	0.005217
  36	1.7500e-02	1.4454	2.800090	0.000465	4.646542	1.574291	0.037631
  37	1.8000e-02	1.4727	2.944200	0.000356	3.558829	1.205764	0.028822
  38	1.8500e-02	1.5080	3.117388	0.000428	4.276931	1.449063	0.034638
  39	1.9000e-02	1.5513	3.172552	0.000136	1.362282	0.461554	0.011033
  40	1.9500e-02	1.5770	3.307254	0.000333	3.326502	1.127049	0.026940
  41	2.0000e-02	1.6251	3.521922	0.000530	5.301282	1.796123	0.042934
  42	2.0500e-02	1.6877	3.603171	0.000201	2.006461	0.679808	0.016250
