»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 10:48:10
Configured:	06/11/25 10:21:25 AM
Executed:	06/11/25 10:47:31 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1175
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-2.608418	0.000195	1.945370	0.659109	0.000078
   2	9.9500e-02	0.0401	-2.530616	0.000195	1.945370	0.659109	0.000078
   3	1.9900e-01	0.0995	-2.421040	0.000274	2.739815	0.928274	0.000110
   4	2.9850e-01	0.1412	-2.304133	0.000292	2.923148	0.990389	0.000117
   5	3.9800e-01	0.1636	-2.193336	0.000277	2.770370	0.938627	0.000111
   6	4.9750e-01	0.2005	-2.082946	0.000276	2.760185	0.935176	0.000111
   7	5.9700e-01	0.2390	-1.967261	0.000289	2.892592	0.980037	0.000116
   8	6.9650e-01	0.3000	-1.853205	0.000285	2.851852	0.966233	0.000115
   9	7.9600e-01	0.3289	-1.739556	0.000284	2.841666	0.962783	0.000114
  10	8.9550e-01	0.3818	-1.628352	0.000278	2.780555	0.942078	0.000112
  11	9.9500e-01	0.4059	-1.515111	0.000283	2.831481	0.959332	0.000114
  12	1.0945e+00	0.4716	-1.398203	0.000292	2.923148	0.990389	0.000117
  13	1.1940e+00	0.4909	-1.284962	0.000283	2.831481	0.959332	0.000114
  14	1.2935e+00	0.5342	-1.166018	0.000297	2.974074	1.007643	0.000120
  15	1.3930e+00	0.5599	-1.059294	0.000267	2.668518	0.904118	0.000107
  16	1.4925e+00	0.6128	-0.940350	0.000297	2.974074	1.007643	0.000120
  17	1.5920e+00	0.6529	-0.825480	0.000287	2.872222	0.973135	0.000115
  18	1.6915e+00	0.6834	-0.711831	0.000284	2.841666	0.962783	0.000114
  19	1.7910e+00	0.7027	-0.596961	0.000287	2.872222	0.973135	0.000115
  20	1.8905e+00	0.7540	-0.481683	0.000288	2.882407	0.976586	0.000116
  21	1.9900e+00	0.7925	-0.367219	0.000286	2.862037	0.969684	0.000115
  22	2.0895e+00	0.8438	-0.245831	0.000304	3.035185	1.028348	0.000122
  23	2.1890e+00	0.9016	-0.132183	0.000284	2.841666	0.962783	0.000114
  24	2.2885e+00	0.9128	-0.019756	0.000281	2.811111	0.952430	0.000113
  25	2.3880e+00	0.9625	0.095929	0.000289	2.892592	0.980037	0.000116
  26	2.4875e+00	1.0075	0.210392	0.000286	2.862037	0.969684	0.000115
  27	2.5870e+00	1.0363	0.322004	0.000279	2.790741	0.945528	0.000112
  28	2.6865e+00	1.0957	0.432394	0.000276	2.760185	0.935176	0.000111
  29	2.7860e+00	1.1342	0.544006	0.000279	2.790741	0.945528	0.000112
  30	2.8855e+00	1.1567	0.660099	0.000290	2.902778	0.983488	0.000117
  31	2.9850e+00	1.2144	0.782301	0.000306	3.055555	1.035250	0.000123
  32	3.0845e+00	1.2417	0.892691	0.000276	2.760185	0.935176	0.000111
  33	3.1840e+00	1.2914	1.008784	0.000290	2.902778	0.983488	0.000117
  34	3.2835e+00	1.3299	1.119581	0.000277	2.770370	0.938627	0.000111
  35	3.3830e+00	1.3572	1.236081	0.000291	2.912963	0.986938	0.000117
  36	3.4825e+00	1.3877	1.352174	0.000290	2.902778	0.983488	0.000117
  37	3.5820e+00	1.4470	1.457268	0.000263	2.627778	0.890315	0.000106
  38	3.6815e+00	1.4791	1.577027	0.000299	2.994444	1.014545	0.000120
  39	3.7810e+00	1.5192	1.691490	0.000286	2.862037	0.969684	0.000115
  40	3.8805e+00	1.5609	1.802287	0.000277	2.770370	0.938627	0.000111
  41	3.9800e+00	1.5978	1.911048	0.000272	2.719444	0.921373	0.000109
  42	4.0795e+00	1.6604	2.026733	0.000289	2.892592	0.980037	0.000116
  43	4.1790e+00	1.6716	2.144048	0.000293	2.933333	0.993840	0.000118
  44	4.2785e+00	1.6957	2.256881	0.000282	2.821296	0.955881	0.000113
  45	4.3780e+00	1.7775	2.371345	0.000286	2.862037	0.969684	0.000115
  46	4.4775e+00	1.7855	2.481734	0.000276	2.760185	0.935176	0.000111
  47	4.5770e+00	1.8545	2.599049	0.000293	2.933333	0.993840	0.000118
  48	4.6765e+00	1.8946	2.707810	0.000272	2.719444	0.921373	0.000109
  49	4.7760e+00	1.9042	2.823495	0.000289	2.892592	0.980037	0.000116
  50	4.8755e+00	1.9764	2.933070	0.000274	2.739815	0.928274	0.000110
  51	4.9750e+00	1.9941	3.046719	0.000284	2.841666	0.962783	0.000114
  52	5.0745e+00	2.0566	3.161182	0.000286	2.862037	0.969684	0.000115
