»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 17:53:36
Configured:	06/11/25 01:55:56 PM
Executed:	06/11/25 05:52:32 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1287
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0674	-1.272480	0.000046	0.459792	0.155782	0.364086
   2	1.0000e-04	0.6305	-0.908394	0.000046	0.459792	0.155782	0.364086
   3	2.0000e-04	1.6010	1.010338	0.000242	2.423102	0.820969	1.918732
   4	3.0000e-04	2.2475	2.677851	0.000211	2.105846	0.713480	1.667513
   5	4.0000e-04	3.0946	4.068658	0.000176	1.756404	0.595086	1.390808
   6	5.0000e-04	3.8903	5.707044	0.000207	2.069063	0.701017	1.638386
   7	6.0000e-04	4.6876	7.210719	0.000190	1.898940	0.643378	1.503674
   8	7.0000e-04	5.4865	8.543273	0.000168	1.682838	0.570161	1.332554
   9	8.0000e-04	6.2902	10.174377	0.000206	2.059867	0.697902	1.631104
  10	9.0000e-04	7.1164	11.732664	0.000197	1.967909	0.666745	1.558287
  11	1.0000e-03	7.8720	13.320078	0.000200	2.004692	0.679208	1.587414
  12	1.1000e-03	8.6709	14.605301	0.000162	1.623065	0.549909	1.285223
  13	1.2000e-03	9.4826	16.028876	0.000180	1.797786	0.609106	1.423575
  14	1.3000e-03	10.2751	17.539832	0.000191	1.908136	0.646494	1.510956
  15	1.4000e-03	11.0500	18.876027	0.000169	1.687436	0.571719	1.336195
  16	1.5000e-03	11.9050	20.478004	0.000202	2.023084	0.685439	1.601977
  17	1.6000e-03	12.6702	21.657642	0.000149	1.489725	0.504733	1.179638
  18	1.7000e-03	13.5028	23.055731	0.000177	1.765600	0.598202	1.398089
  19	1.8000e-03	14.2697	24.472025	0.000179	1.788590	0.605991	1.416294
  20	1.9000e-03	15.0750	25.597050	0.000142	1.420756	0.481365	1.125025
  21	2.0000e-03	15.9028	27.104365	0.000190	1.903538	0.644936	1.507315
  22	2.1000e-03	16.6776	28.236672	0.000143	1.429952	0.484481	1.132307
  23	2.2000e-03	17.4845	29.339852	0.000139	1.393169	0.472018	1.103180
  24	2.3000e-03	18.2899	30.676047	0.000169	1.687436	0.571719	1.336195
  25	2.4000e-03	19.0952	31.848403	0.000148	1.480529	0.501617	1.172356
  26	2.5000e-03	19.8764	33.213724	0.000172	1.724219	0.584181	1.365322
  27	2.6000e-03	19.6005	33.559606	-0.000044	-0.436802	-0.147993	0.345881
  28	2.7000e-03	18.2915	31.345964	0.000280	2.795534	0.947152	-2.213641
