»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 12:34:55
Configured:	06/12/25 10:06:17 AM
Executed:	06/12/25 12:33:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1390
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0770	-0.172941	0.000052	0.519744	0.176094	0.411417
   2	1.0000e-04	0.6080	0.238476	0.000052	0.519744	0.176094	0.411417
   3	2.0000e-04	1.5786	2.335610	0.000265	2.649313	0.897611	2.097134
   4	3.0000e-04	2.3101	3.602629	0.000160	1.600627	0.542307	1.267018
   5	4.0000e-04	3.0914	4.483716	0.000111	1.113079	0.377121	0.881088
   6	5.0000e-04	3.8999	6.078412	0.000201	2.014582	0.682559	1.594696
   7	6.0000e-04	4.6876	7.545678	0.000185	1.853599	0.628016	1.467266
   8	7.0000e-04	5.4688	8.616090	0.000135	1.352253	0.458156	1.070412
   9	8.0000e-04	6.3094	10.101560	0.000188	1.876597	0.635808	1.485470
  10	9.0000e-04	7.1276	11.437754	0.000169	1.688017	0.571916	1.336195
  11	1.0000e-03	7.8896	12.861330	0.000180	1.798405	0.609316	1.423575
  12	1.1000e-03	8.6949	14.033686	0.000148	1.481039	0.501790	1.172356
  13	1.2000e-03	9.4971	15.369881	0.000169	1.688017	0.571916	1.336195
  14	1.3000e-03	10.2895	16.607772	0.000156	1.563831	0.529840	1.237892
  15	1.4000e-03	11.0804	17.740079	0.000143	1.430445	0.484648	1.132307
  16	1.5000e-03	11.8697	19.414874	0.000212	2.115771	0.716843	1.674795
  17	1.6000e-03	12.7023	20.528976	0.000141	1.407447	0.476856	1.114102
  18	1.7000e-03	13.5108	21.617593	0.000138	1.375251	0.465948	1.088616
  19	1.8000e-03	14.2825	22.877329	0.000159	1.591428	0.539190	1.259737
  20	1.9000e-03	15.0958	23.936819	0.000134	1.338455	0.453481	1.059490
  21	2.0000e-03	15.9028	25.458697	0.000192	1.922592	0.651392	1.521879
  22	2.1000e-03	16.7097	26.412602	0.000121	1.205069	0.408289	0.953905
  23	2.2000e-03	17.4974	27.537627	0.000142	1.421246	0.481531	1.125025
  24	2.3000e-03	18.3011	28.542504	0.000127	1.269462	0.430106	1.004877
  25	2.4000e-03	19.0823	29.551021	0.000127	1.274062	0.431664	1.008518
