»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 17:57:27
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 05:56:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-9.596758	-0.000051	-0.505019	-0.171105	-0.004033
   2	5.0000e-04	0.0385	-9.616924	-0.000051	-0.505019	-0.171105	-0.004033
   3	1.0000e-03	0.0610	-9.568526	0.000121	1.212046	0.410652	0.009679
   4	1.5000e-03	0.1027	-9.528195	0.000101	1.010038	0.342210	0.008066
   5	2.0000e-03	0.1508	-9.459633	0.000172	1.717065	0.581757	0.013713
   6	2.5000e-03	0.1893	-9.366872	0.000232	2.323088	0.787084	0.018552
   7	3.0000e-03	0.2086	-9.249912	0.000293	2.929111	0.992410	0.023392
   8	3.5000e-03	0.2583	-9.112786	0.000343	3.434130	1.163515	0.027425
   9	4.0000e-03	0.2904	-8.979694	0.000333	3.333126	1.129294	0.026618
  10	4.5000e-03	0.3401	-8.818370	0.000404	4.040153	1.368841	0.032265
  11	5.0000e-03	0.3658	-8.693344	0.000313	3.131119	1.060852	0.025005
  12	5.5000e-03	0.4107	-8.495722	0.000495	4.949188	1.676830	0.039524
  13	6.0000e-03	0.4556	-8.338431	0.000394	3.939149	1.334620	0.031458
  14	6.5000e-03	0.4893	-8.185174	0.000384	3.838145	1.300399	0.030652
  15	7.0000e-03	0.5358	-8.060148	0.000313	3.131119	1.060852	0.025005
  16	7.5000e-03	0.5679	-7.886724	0.000434	4.343165	1.471504	0.034685
  17	8.0000e-03	0.6112	-7.769764	0.000293	2.929111	0.992410	0.023392
  18	8.5000e-03	0.6529	-7.608441	0.000404	4.040153	1.368841	0.032265
  19	9.0000e-03	0.6898	-7.475348	0.000333	3.333126	1.129294	0.026618
  20	9.5000e-03	0.7363	-7.297892	0.000444	4.444168	1.505725	0.035491
  21	1.0000e-02	0.7684	-7.152700	0.000364	3.636138	1.231957	0.029038
  22	1.0500e-02	0.8117	-6.942979	0.000525	5.252199	1.779493	0.041944
  23	1.1000e-02	0.8583	-6.817953	0.000313	3.131119	1.060852	0.025005
  24	1.1500e-02	0.8968	-6.624364	0.000485	4.848184	1.642609	0.038718
  25	1.2000e-02	0.9385	-6.450941	0.000434	4.343165	1.471504	0.034685
  26	1.2500e-02	0.9770	-6.313816	0.000343	3.434130	1.163515	0.027425
  27	1.3000e-02	1.0042	-6.128293	0.000465	4.646176	1.574167	0.037105
  28	1.3500e-02	1.0444	-5.987135	0.000354	3.535134	1.197736	0.028232
  29	1.4000e-02	1.0941	-5.833877	0.000384	3.838145	1.300399	0.030652
  30	1.4500e-02	1.1294	-5.660454	0.000434	4.343165	1.471504	0.034685
  31	1.5000e-02	1.1839	-5.515262	0.000364	3.636138	1.231957	0.029038
  32	1.5500e-02	1.2080	-5.386203	0.000323	3.232122	1.095073	0.025812
  33	1.6000e-02	1.2481	-5.172449	0.000535	5.353203	1.813714	0.042751
  34	1.6500e-02	1.2978	-4.990960	0.000455	4.545172	1.539946	0.036298
  35	1.7000e-02	1.3315	-4.841735	0.000374	3.737142	1.266178	0.029845
  36	1.7500e-02	1.3700	-4.688477	0.000384	3.838145	1.300399	0.030652
  37	1.8000e-02	1.4085	-4.482789	0.000515	5.151195	1.745272	0.041138
  38	1.8500e-02	1.4454	-4.377929	0.000263	2.626100	0.889747	0.020972
  39	1.9000e-02	1.4919	-4.172241	0.000515	5.151195	1.745272	0.041138
  40	1.9500e-02	1.5353	-4.047214	0.000313	3.131119	1.060852	0.025005
  41	2.0000e-02	1.5754	-3.849593	0.000495	4.949188	1.676830	0.039524
  42	2.0500e-02	1.6187	-3.756831	0.000232	2.323088	0.787084	0.018552
  43	2.1000e-02	1.6443	-3.547110	0.000525	5.252199	1.779493	0.041944
  44	2.1500e-02	1.6828	-3.409985	0.000343	3.434130	1.163515	0.027425
  45	2.2000e-02	1.7342	-3.232529	0.000444	4.444168	1.505725	0.035491
  46	2.2500e-02	1.7743	-3.099436	0.000333	3.333126	1.129294	0.026618
  47	2.3000e-02	1.8192	-2.930046	0.000424	4.242161	1.437283	0.033878
  48	2.3500e-02	1.8545	-2.724358	0.000515	5.151195	1.745272	0.041138
  49	2.4000e-02	1.8898	-2.563034	0.000404	4.040153	1.368841	0.032265
  50	2.4500e-02	1.9299	-2.381545	0.000455	4.545172	1.539946	0.036298
  51	2.5000e-02	1.9716	-2.232320	0.000374	3.737142	1.266178	0.029845
  52	2.5500e-02	2.0101	-2.091162	0.000354	3.535134	1.197736	0.028232
  53	2.6000e-02	2.0566	-1.913705	0.000444	4.444168	1.505725	0.035491
  54	2.6500e-02	2.0919	-1.760448	0.000384	3.838145	1.300399	0.030652
  55	2.7000e-02	2.1336	-1.611223	0.000374	3.737142	1.266178	0.029845
  56	2.7500e-02	2.1802	-1.441833	0.000424	4.242161	1.437283	0.033878
  57	2.8000e-02	2.2138	-1.276476	0.000414	4.141157	1.403062	0.033071
  58	2.8500e-02	2.2588	-1.070788	0.000515	5.151195	1.745272	0.041138
  59	2.9000e-02	2.3005	-0.929629	0.000354	3.535134	1.197736	0.028232
  60	2.9500e-02	2.3342	-0.764272	0.000414	4.141157	1.403062	0.033071
  61	3.0000e-02	2.3791	-0.570683	0.000485	4.848184	1.642609	0.038718
  62	3.0500e-02	2.4112	-0.453724	0.000293	2.929111	0.992410	0.023392
  63	3.1000e-02	2.4561	-0.348863	0.000263	2.626100	0.889747	0.020972
  64	3.1500e-02	2.4978	-0.191572	0.000394	3.939149	1.334620	0.031458
  65	3.2000e-02	2.5363	0.034281	0.000566	5.656214	1.916377	0.045171
  66	3.2500e-02	2.5780	0.179473	0.000364	3.636138	1.231957	0.029038
  67	3.3000e-02	2.6213	0.348863	0.000424	4.242161	1.437283	0.033878
  68	3.3500e-02	2.6534	0.490021	0.000354	3.535134	1.197736	0.028232
  69	3.4000e-02	2.6871	0.675544	0.000465	4.646176	1.574167	0.037105
  70	3.4500e-02	2.7320	0.828802	0.000384	3.838145	1.300399	0.030652
  71	3.5000e-02	2.7721	0.973993	0.000364	3.636138	1.231957	0.029038
  72	3.5500e-02	2.8170	1.159516	0.000465	4.646176	1.574167	0.037105
  73	3.6000e-02	2.8539	1.304707	0.000364	3.636138	1.231957	0.029038
  74	3.6500e-02	2.8988	1.466031	0.000404	4.040153	1.368841	0.032265
  75	3.7000e-02	2.9406	1.675752	0.000525	5.252199	1.779493	0.041944
  76	3.7500e-02	2.9791	1.780613	0.000263	2.626100	0.889747	0.020972
  77	3.8000e-02	3.0079	1.913705	0.000333	3.333126	1.129294	0.026618
  78	3.8500e-02	3.0625	2.155691	0.000606	6.060230	2.053261	0.048397
  79	3.9000e-02	3.0978	2.272651	0.000293	2.929111	0.992410	0.023392
  80	3.9500e-02	3.1363	2.470273	0.000495	4.949188	1.676830	0.039524
  81	4.0000e-02	3.1684	2.639663	0.000424	4.242161	1.437283	0.033878
  82	4.0500e-02	3.2117	2.780821	0.000354	3.535134	1.197736	0.028232
  83	4.1000e-02	3.2582	2.942145	0.000404	4.040153	1.368841	0.032265
  84	4.1500e-02	3.2983	3.067171	0.000313	3.131119	1.060852	0.025005
  85	4.2000e-02	3.3272	3.240595	0.000434	4.343165	1.471504	0.034685
  86	4.2500e-02	3.3737	3.418051	0.000444	4.444168	1.505725	0.035491
  87	4.3000e-02	3.4186	3.635838	0.000545	5.454207	1.847935	0.043557
  88	4.3500e-02	3.4523	3.772964	0.000343	3.434130	1.163515	0.027425
  89	4.4000e-02	3.4956	3.946387	0.000434	4.343165	1.471504	0.034685
  90	4.4500e-02	3.5421	4.047214	0.000253	2.525096	0.855526	0.020165
  91	4.5000e-02	3.5790	4.192406	0.000364	3.636138	1.231957	0.029038
  92	4.5500e-02	3.6208	4.390028	0.000495	4.949188	1.676830	0.039524
  93	4.6000e-02	3.6577	4.559418	0.000424	4.242161	1.437283	0.033878
  94	4.6500e-02	3.6929	4.753007	0.000485	4.848184	1.642609	0.038718
  95	4.7000e-02	3.7347	4.890132	0.000343	3.434130	1.163515	0.027425
  96	4.7500e-02	3.7732	5.067588	0.000444	4.444168	1.505725	0.035491
  97	4.8000e-02	3.8084	5.192614	0.000313	3.131119	1.060852	0.025005
  98	4.8500e-02	3.8566	5.366038	0.000434	4.343165	1.471504	0.034685
  99	4.9000e-02	3.8951	5.547527	0.000455	4.545172	1.539946	0.036298
 100	4.9500e-02	3.9352	5.672553	0.000313	3.131119	1.060852	0.025005
 101	5.0000e-02	3.9817	5.878241	0.000515	5.151195	1.745272	0.041138
 102	5.0500e-02	4.0122	6.031499	0.000384	3.838145	1.300399	0.030652
 103	5.1000e-02	4.0346	6.188790	0.000394	3.939149	1.334620	0.031458
 104	5.1500e-02	4.0972	6.366246	0.000444	4.444168	1.505725	0.035491
 105	5.2000e-02	4.1261	6.567901	0.000505	5.050191	1.711051	0.040331
 106	5.2500e-02	4.1678	6.684861	0.000293	2.929111	0.992410	0.023392
 107	5.3000e-02	4.2111	6.813920	0.000323	3.232122	1.095073	0.025812
 108	5.3500e-02	4.2528	7.007509	0.000485	4.848184	1.642609	0.038718
 109	5.4000e-02	4.2961	7.124469	0.000293	2.929111	0.992410	0.023392
 110	5.4500e-02	4.3378	7.245462	0.000303	3.030115	1.026631	0.024199
 111	5.5000e-02	4.3860	7.394686	0.000374	3.737142	1.266178	0.029845
 112	5.5500e-02	4.4148	7.608441	0.000535	5.353203	1.813714	0.042751
 113	5.6000e-02	4.4517	7.797996	0.000475	4.747180	1.608388	0.037911
 114	5.6500e-02	4.4935	7.979486	0.000455	4.545172	1.539946	0.036298
 115	5.7000e-02	4.5368	8.144843	0.000414	4.141157	1.403062	0.033071
 116	5.7500e-02	4.5721	8.237604	0.000232	2.323088	0.787084	0.018552
 117	5.8000e-02	4.6154	8.415060	0.000444	4.444168	1.505725	0.035491
 118	5.8500e-02	4.6459	8.580417	0.000414	4.141157	1.403062	0.033071
