»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 12:18:12
Configured:	06/13/25 10:12:58 AM
Executed:	06/13/25 12:17:41 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1704
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0032	-2.202258	0.000132	1.317584	0.446409	0.000053
   2	9.9500e-02	0.0305	-2.149775	0.000132	1.317584	0.446409	0.000053
   3	1.9900e-01	0.0770	-1.988289	0.000405	4.054103	1.373567	0.000162
   4	2.9850e-01	0.1235	-1.891398	0.000243	2.432462	0.824140	0.000097
   5	3.9800e-01	0.1508	-1.746061	0.000365	3.648693	1.236211	0.000146
   6	4.9750e-01	0.1925	-1.620910	0.000314	3.141930	1.064515	0.000126
   7	5.9700e-01	0.2374	-1.475573	0.000365	3.648693	1.236211	0.000146
   8	6.9650e-01	0.2727	-1.366570	0.000274	2.736520	0.927158	0.000110
   9	7.9600e-01	0.3128	-1.221234	0.000365	3.648693	1.236211	0.000146
  10	8.9550e-01	0.3626	-1.088008	0.000334	3.344635	1.133193	0.000134
  11	9.9500e-01	0.3962	-0.958820	0.000324	3.243283	1.098854	0.000130
  12	1.0945e+00	0.4315	-0.797334	0.000405	4.054103	1.373567	0.000162
  13	1.1940e+00	0.4684	-0.712554	0.000213	2.128404	0.721123	0.000085
  14	1.2935e+00	0.5118	-0.482438	0.000578	5.777097	1.957334	0.000231
  15	1.3930e+00	0.5519	-0.349212	0.000334	3.344635	1.133193	0.000134
  16	1.4925e+00	0.5871	-0.268470	0.000203	2.027052	0.686784	0.000081
  17	1.5920e+00	0.6353	-0.143318	0.000314	3.141930	1.064515	0.000126
  18	1.6915e+00	0.6786	-0.022204	0.000304	3.040577	1.030176	0.000122
  19	1.7910e+00	0.7075	0.119096	0.000355	3.547340	1.201871	0.000142
  20	1.8905e+00	0.7588	0.232135	0.000284	2.837872	0.961497	0.000114
  21	1.9900e+00	0.7925	0.349212	0.000294	2.939225	0.995836	0.000118
  22	2.0895e+00	0.8406	0.538958	0.000476	4.763571	1.613942	0.000191
  23	2.1890e+00	0.8711	0.619700	0.000203	2.027052	0.686784	0.000081
  24	2.2885e+00	0.9128	0.756963	0.000345	3.445988	1.167532	0.000138
  25	2.3880e+00	0.9513	0.894226	0.000345	3.445988	1.167532	0.000138
