»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 15:25:27
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 03:25:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-3.288992	-0.000030	-0.303060	-0.102680	-0.002420
   2	5.0000e-04	0.0401	-3.301091	-0.000030	-0.303060	-0.102680	-0.002420
   3	1.0000e-03	0.0626	-3.264793	0.000091	0.909181	0.308039	0.007260
   4	1.5000e-03	0.1027	-3.176065	0.000222	2.222441	0.752984	0.017746
   5	2.0000e-03	0.1348	-3.002642	0.000434	4.343863	1.471741	0.034685
   6	2.5000e-03	0.1717	-2.845351	0.000394	3.939782	1.334834	0.031458
   7	3.0000e-03	0.2118	-2.768722	0.000192	1.919381	0.650304	0.015326
   8	3.5000e-03	0.2535	-2.587233	0.000455	4.545903	1.540194	0.036298
   9	4.0000e-03	0.2872	-2.373479	0.000535	5.354063	1.814006	0.042751
  10	4.5000e-03	0.3401	-2.212155	0.000404	4.040802	1.369061	0.032265
  11	5.0000e-03	0.3658	-2.066963	0.000364	3.636722	1.232155	0.029038
  12	5.5000e-03	0.4203	-1.925805	0.000354	3.535702	1.197928	0.028232
  13	6.0000e-03	0.4492	-1.728183	0.000495	4.949983	1.677100	0.039524
  14	6.5000e-03	0.4957	-1.607190	0.000303	3.030602	1.026796	0.024199
  15	7.0000e-03	0.5342	-1.381336	0.000566	5.657123	1.916685	0.045171
  16	7.5000e-03	0.5743	-1.264376	0.000293	2.929582	0.992569	0.023392
  17	8.0000e-03	0.6208	-1.082887	0.000455	4.545903	1.540194	0.036298
  18	8.5000e-03	0.6577	-0.909464	0.000434	4.343863	1.471741	0.034685
  19	9.0000e-03	0.6850	-0.736040	0.000434	4.343863	1.471741	0.034685
  20	9.5000e-03	0.7363	-0.590849	0.000364	3.636722	1.232155	0.029038
  21	1.0000e-02	0.7797	-0.506154	0.000212	2.121421	0.718757	0.016939
  22	1.0500e-02	0.8182	-0.215771	0.000727	7.273444	2.464310	0.058077
  23	1.1000e-02	0.8486	-0.070579	0.000364	3.636722	1.232155	0.029038
  24	1.1500e-02	0.8871	0.094778	0.000414	4.141823	1.403287	0.033071
  25	1.2000e-02	0.9401	0.211738	0.000293	2.929582	0.992569	0.023392
  26	1.2500e-02	0.9722	0.373062	0.000404	4.040802	1.369061	0.032265
  27	1.3000e-02	1.0075	0.590849	0.000546	5.455083	1.848232	0.043557
  28	1.3500e-02	1.0636	0.752173	0.000404	4.040802	1.369061	0.032265
  29	1.4000e-02	1.0973	0.832835	0.000202	2.020401	0.684530	0.016132
  30	1.4500e-02	1.1358	0.990126	0.000394	3.939782	1.334834	0.031458
  31	1.5000e-02	1.1743	1.159516	0.000424	4.242843	1.437514	0.033878
  32	1.5500e-02	1.2096	1.324873	0.000414	4.141823	1.403287	0.033071
  33	1.6000e-02	1.2561	1.486197	0.000404	4.040802	1.369061	0.032265
  34	1.6500e-02	1.2978	1.635421	0.000374	3.737742	1.266381	0.029845
  35	1.7000e-02	1.3315	1.760448	0.000313	3.131622	1.061022	0.025005
  36	1.7500e-02	1.3652	1.970169	0.000525	5.253043	1.779779	0.041944
  37	1.8000e-02	1.4101	2.179890	0.000525	5.253043	1.779779	0.041944
  38	1.8500e-02	1.4470	2.292817	0.000283	2.828562	0.958343	0.022585
  39	1.9000e-02	1.4935	2.462207	0.000424	4.242843	1.437514	0.033878
  40	1.9500e-02	1.5336	2.554968	0.000232	2.323461	0.787210	0.018552
  41	2.0000e-02	1.5689	2.861483	0.000768	7.677525	2.601216	0.061303
  42	2.0500e-02	1.6106	3.083304	0.000556	5.556103	1.882459	0.044364
  43	2.1000e-02	1.6572	3.123635	0.000101	1.010201	0.342265	0.008066
  44	2.1500e-02	1.7005	3.244628	0.000303	3.030602	1.026796	0.024199
  45	2.2000e-02	1.7326	3.494680	0.000626	6.263244	2.122044	0.050010
  46	2.2500e-02	1.7663	3.583408	0.000222	2.222441	0.752984	0.017746
  47	2.3000e-02	1.8112	3.716500	0.000333	3.333662	1.129475	0.026618
  48	2.3500e-02	1.8433	3.950420	0.000586	5.859164	1.985138	0.046784
  49	2.4000e-02	1.8914	4.131910	0.000455	4.545903	1.540194	0.036298
  50	2.4500e-02	1.9155	4.285167	0.000384	3.838762	1.300608	0.030652
  51	2.5000e-02	1.9716	4.398094	0.000283	2.828562	0.958343	0.022585
  52	2.5500e-02	2.0101	4.583617	0.000465	4.646923	1.574420	0.037105
  53	2.6000e-02	2.0646	4.716709	0.000333	3.333662	1.129475	0.026618
  54	2.6500e-02	2.0855	4.869967	0.000384	3.838762	1.300608	0.030652
  55	2.7000e-02	2.1352	5.079688	0.000525	5.253043	1.779779	0.041944
  56	2.7500e-02	2.1802	5.196648	0.000293	2.929582	0.992569	0.023392
  57	2.8000e-02	2.2090	5.462832	0.000667	6.667324	2.258951	0.053237
  58	2.8500e-02	2.2620	5.575759	0.000283	2.828562	0.958343	0.022585
  59	2.9000e-02	2.2908	5.757248	0.000455	4.545903	1.540194	0.036298
