»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 15:58:46
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 03:57:26 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0786	-2.628699	0.000083	0.834404	0.282704	0.655354
   2	1.0000e-04	0.6208	-1.973345	0.000083	0.834404	0.282704	0.655354
   3	2.0000e-04	1.4438	2.290099	0.000543	5.428260	1.839144	4.263444
   4	3.0000e-04	2.1031	7.048701	0.000606	6.058699	2.052743	4.758601
   5	4.0000e-04	3.1924	9.568174	0.000321	3.207819	1.086839	2.519474
   6	5.0000e-04	3.7780	11.738125	0.000276	2.762804	0.936063	2.169951
   7	6.0000e-04	4.5737	15.633843	0.000496	4.960067	1.680516	3.895718
   8	7.0000e-04	5.3212	18.648473	0.000384	3.838258	1.300437	3.014630
   9	8.0000e-04	6.1426	21.626695	0.000379	3.791902	1.284731	2.978222
  10	9.0000e-04	7.1180	24.816086	0.000406	4.060765	1.375825	3.189391
  11	1.0000e-03	7.7276	27.535807	0.000346	3.462776	1.173220	2.719721
  12	1.1000e-03	8.6308	30.441211	0.000370	3.699190	1.253320	2.905404
  13	1.2000e-03	9.3944	33.135446	0.000343	3.430327	1.162226	2.694235
  14	1.3000e-03	10.1307	35.724096	0.000330	3.295895	1.116679	2.588650
  15	1.4000e-03	11.0692	38.957177	0.000412	4.116392	1.394671	3.233082
  16	1.5000e-03	11.7478	41.072516	0.000269	2.693270	0.912505	2.115338
  17	1.6000e-03	12.6478	44.167245	0.000394	3.940240	1.334990	3.094729
  18	1.7000e-03	13.4194	46.300787	0.000272	2.716448	0.920357	2.133543
  19	1.8000e-03	14.1574	48.674627	0.000302	3.022396	1.024016	2.373839
  20	1.9000e-03	15.1119	51.237790	0.000326	3.263446	1.105685	2.563164
  21	2.0000e-03	15.7568	53.444150	0.000281	2.809160	0.951769	2.206360
  22	2.1000e-03	16.6584	56.083772	0.000336	3.360793	1.138668	2.639622
  23	2.2000e-03	17.4188	57.977018	0.000241	2.410500	0.816699	1.893246
  24	2.3000e-03	18.1679	59.830215	0.000236	2.359509	0.799423	1.853197
  25	2.4000e-03	19.1016	62.655520	0.000360	3.597208	1.218767	2.825306
  26	2.5000e-03	19.7722	64.552407	0.000242	2.415135	0.818270	1.896887
  27	2.6000e-03	19.5765	65.535439	-0.000125	-1.251606	-0.424055	0.983032
  28	2.7000e-03	18.5257	60.889704	0.000591	5.914996	2.004055	-4.645734
  29	2.8000e-03	17.8150	57.186952	0.000471	4.714382	1.597276	-3.702752
  30	2.9000e-03	16.7081	58.741598	-0.000198	-1.979391	-0.670636	1.554646
  31	3.0000e-03	16.3054	56.418731	0.000296	2.957498	1.002027	-2.322867
  32	3.1000e-03	15.4568	52.362815	0.000516	5.164033	1.749622	-4.055915
  33	3.2000e-03	14.6065	50.600640	0.000224	2.243619	0.760159	-1.762175
  34	3.3000e-03	13.8766	48.645500	0.000249	2.489305	0.843399	-1.955141
  35	3.4000e-03	12.8756	46.180639	0.000314	3.138285	1.063280	-2.464861
  36	3.5000e-03	12.3430	44.247344	0.000246	2.461491	0.833976	-1.933295
  37	3.6000e-03	11.3788	42.048266	0.000280	2.799888	0.948628	-2.199078
  38	3.7000e-03	10.6778	39.335827	0.000345	3.453505	1.170079	-2.712439
  39	3.8000e-03	9.9382	36.881888	0.000312	3.124379	1.058568	-2.453938
  40	3.9000e-03	8.9628	33.707061	0.000404	4.042223	1.369542	-3.174828
  41	4.0000e-03	8.3468	31.872068	0.000234	2.336331	0.791570	-1.834992
  42	4.1000e-03	7.4164	28.620782	0.000414	4.139570	1.402524	-3.251286
  43	4.2000e-03	6.6511	25.627997	0.000381	3.810444	1.291013	-2.992785
  44	4.3000e-03	5.9517	23.013861	0.000333	3.328344	1.127674	-2.614136
  45	4.4000e-03	4.9747	19.584174	0.000437	4.366713	1.479483	-3.429688
  46	4.5000e-03	4.3715	17.370532	0.000282	2.818431	0.954910	-2.213641
  47	4.6000e-03	3.4780	13.372870	0.000509	5.089863	1.724492	-3.997662
  48	4.7000e-03	2.6983	10.594896	0.000354	3.536945	1.198349	-2.777974
  49	4.8000e-03	1.9411	7.372737	0.000410	4.102485	1.389960	-3.222159
  50	4.9000e-03	0.9738	3.487942	0.000495	4.946160	1.675805	-3.884795
  51	5.0000e-03	0.3513	0.884728	0.000331	3.314437	1.122962	-2.603213
  52	5.1000e-03	-0.5182	-3.178469	0.000517	5.173304	1.752763	-4.063197
  53	5.2000e-03	-1.3010	-5.843577	0.000339	3.393242	1.149662	-2.665108
  54	5.3000e-03	-2.0278	-9.098503	0.000414	4.144206	1.404095	-3.254927
  55	5.4000e-03	-2.9855	-13.249081	0.000528	5.284558	1.790457	-4.150578
  56	5.5000e-03	-3.6304	-15.965161	0.000346	3.458140	1.171650	-2.716080
  57	5.6000e-03	-4.5560	-19.209165	0.000413	4.130299	1.399383	-3.244004
  58	5.7000e-03	-5.3052	-22.132774	0.000372	3.722368	1.261172	-2.923609
  59	5.8000e-03	-6.0800	-24.819727	0.000342	3.421056	1.159085	-2.686953
  60	5.9000e-03	-7.0538	-28.325873	0.000446	4.464060	1.512465	-3.506146
  61	6.0000e-03	-7.6666	-30.732480	0.000306	3.064116	1.038151	-2.406607
  62	6.1000e-03	-8.5842	-33.099037	0.000301	3.013125	1.020874	-2.366558
  63	6.2000e-03	-9.3382	-35.895216	0.000356	3.560123	1.206202	-2.796179
  64	6.3000e-03	-10.0666	-38.352795	0.000313	3.129014	1.060139	-2.457579
  65	6.4000e-03	-11.0628	-41.076157	0.000347	3.467411	1.174791	-2.723362
  66	6.5000e-03	-11.6772	-43.093192	0.000257	2.568110	0.870099	-2.017035
  67	6.6000e-03	-12.5980	-45.703687	0.000332	3.323709	1.126103	-2.610495
  68	6.7000e-03	-13.3953	-47.786257	0.000265	2.651550	0.898369	-2.082571
  69	6.8000e-03	-14.0900	-49.894314	0.000268	2.683999	0.909363	-2.108057
  70	6.9000e-03	-15.0926	-51.874940	0.000252	2.521754	0.854393	-1.980627
  71	7.0000e-03	-15.6766	-54.179603	0.000293	2.934320	0.994175	-2.304663
  72	7.1000e-03	-16.6118	-56.527957	0.000299	2.989947	1.013021	-2.348353
  73	7.2000e-03	-17.3594	-58.129934	0.000204	2.039654	0.691053	-1.601977
  74	7.3000e-03	-18.0990	-60.117842	0.000253	2.531025	0.857534	-1.987908
  75	7.4000e-03	-19.0647	-62.549935	0.000310	3.096565	1.049145	-2.432093
  76	7.5000e-03	-19.6920	-64.388568	0.000234	2.340966	0.793141	-1.838633
  77	7.6000e-03	-19.4273	-65.535439	-0.000146	-1.460207	-0.494731	-1.146870
  78	7.7000e-03	-18.4615	-60.685816	0.000617	6.174588	2.092007	4.849622
  79	7.8000e-03	-17.7252	-58.144497	0.000324	3.235633	1.096262	2.541319
  80	7.9000e-03	-16.7017	-59.411516	-0.000161	-1.613181	-0.546560	-1.267018
  81	8.0000e-03	-16.2605	-56.790098	0.000334	3.337615	1.130815	2.621418
  82	8.1000e-03	-15.2883	-53.626193	0.000403	4.028316	1.364830	3.163905
  83	8.2000e-03	-14.5360	-52.198977	0.000182	1.817146	0.615666	1.427216
  84	8.3000e-03	-13.7996	-50.389471	0.000230	2.303882	0.780576	1.809506
  85	8.4000e-03	-12.8034	-47.833588	0.000325	3.254175	1.102544	2.555882
  86	8.5000e-03	-12.2387	-46.300787	0.000195	1.951578	0.661212	1.532801
  87	8.6000e-03	-11.2890	-44.214576	0.000266	2.656185	0.899940	2.086211
  88	8.7000e-03	-10.5976	-41.702384	0.000320	3.198548	1.083697	2.512192
  89	8.8000e-03	-9.8195	-39.284855	0.000308	3.078023	1.042862	2.417530
  90	8.9000e-03	-8.9003	-36.659796	0.000334	3.342251	1.132385	2.625058
  91	9.0000e-03	-8.2425	-35.054178	0.000204	2.044289	0.692624	1.605618
  92	9.1000e-03	-7.3522	-32.141492	0.000371	3.708461	1.256461	2.912686
