»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 16:16:10
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 04:15:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-2.887699	0.000778	7.779483	2.635760	0.062110
   2	5.0000e-04	0.0321	-2.577150	0.000778	7.779483	2.635760	0.062110
   3	1.0000e-03	0.0465	-2.589249	-0.000030	-0.303097	-0.102692	-0.002420
   4	1.5000e-03	0.0882	-2.637646	-0.000121	-1.212387	-0.410768	-0.009679
   5	2.0000e-03	0.1332	-2.649746	-0.000030	-0.303097	-0.102692	-0.002420
   6	2.5000e-03	0.1749	-2.294833	0.000889	8.890837	3.012297	0.070983
   7	3.0000e-03	0.2069	-2.137542	0.000394	3.940257	1.334995	0.031458
   8	3.5000e-03	0.2535	-1.802795	0.000839	8.385676	2.841144	0.066949
   9	4.0000e-03	0.2888	-1.701968	0.000253	2.525806	0.855766	0.020165
  10	4.5000e-03	0.3321	-1.484180	0.000546	5.455741	1.848455	0.043557
  11	5.0000e-03	0.3690	-1.165565	0.000798	7.981547	2.704221	0.063723
  12	5.5000e-03	0.4123	-0.963911	0.000505	5.051612	1.711532	0.040331
  13	6.0000e-03	0.4476	-0.786454	0.000445	4.445419	1.506149	0.035491
  14	6.5000e-03	0.4909	-0.657395	0.000323	3.233032	1.095381	0.025812
  15	7.0000e-03	0.5342	-0.483972	0.000434	4.344386	1.471918	0.034685
  16	7.5000e-03	0.5631	-0.282317	0.000505	5.051612	1.711532	0.040331
  17	8.0000e-03	0.6048	-0.100827	0.000455	4.546451	1.540379	0.036298
  18	8.5000e-03	0.6561	-0.000000	0.000253	2.525806	0.855766	0.020165
  19	9.0000e-03	0.6930	0.133092	0.000333	3.334064	1.129611	0.026618
  20	9.5000e-03	0.7331	0.342813	0.000525	5.253677	1.779994	0.041944
  21	1.0000e-02	0.7652	0.500104	0.000394	3.940257	1.334995	0.031458
  22	1.0500e-02	0.8133	0.830818	0.000828	8.284644	2.806913	0.066143
  23	1.1000e-02	0.8518	1.137334	0.000768	7.678450	2.601529	0.061303
  24	1.1500e-02	0.8920	1.310757	0.000434	4.344386	1.471918	0.034685
