»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 17:46:19
Configured:	06/13/25 05:21:47 PM
Executed:	06/13/25 05:44:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2150
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0626	-2.823485	0.000062	0.617447	0.209197	0.487875
   2	1.0000e-04	0.6144	-2.335610	0.000062	0.617447	0.209197	0.487875
   3	2.0000e-04	1.4919	2.437554	0.000604	6.040842	2.046693	4.773164
   4	3.0000e-04	2.1080	6.835710	0.000557	5.566238	1.885892	4.398156
   5	4.0000e-04	3.0833	8.852745	0.000255	2.552728	0.864888	2.017035
   6	5.0000e-04	3.8502	11.175613	0.000294	2.939784	0.996026	2.322867
   7	6.0000e-04	4.5881	14.703604	0.000446	4.464970	1.512773	3.527991
   8	7.0000e-04	5.4015	17.754643	0.000386	3.861347	1.308260	3.051039
   9	8.0000e-04	6.2148	20.521694	0.000350	3.501938	1.186489	2.767052
  10	9.0000e-04	7.0346	23.208647	0.000340	3.400566	1.152143	2.686953
  11	1.0000e-03	7.8030	26.427166	0.000407	4.073306	1.380074	3.218518
  12	1.1000e-03	8.6211	28.808287	0.000301	3.013509	1.021005	2.381121
  13	1.2000e-03	9.4521	31.462472	0.000336	3.359095	1.138092	2.654185
  14	1.3000e-03	10.1997	34.320545	0.000362	3.617133	1.225518	2.858073
  15	1.4000e-03	11.0291	36.723511	0.000304	3.041156	1.030372	2.402966
  16	1.5000e-03	11.8264	39.315802	0.000328	3.280763	1.111552	2.592291
  17	1.6000e-03	12.6077	41.868043	0.000323	3.230077	1.094380	2.552241
  18	1.7000e-03	13.4756	44.303777	0.000308	3.082627	1.044422	2.435734
  19	1.8000e-03	14.2263	46.863300	0.000324	3.239292	1.097502	2.559523
  20	1.9000e-03	15.0461	48.661884	0.000228	2.276259	0.771218	1.798584
  21	2.0000e-03	15.8514	51.308787	0.000335	3.349880	1.134970	2.646904
  22	2.1000e-03	16.6295	53.504224	0.000278	2.778511	0.941385	2.195437
  23	2.2000e-03	17.4380	55.262759	0.000223	2.225573	0.754045	1.758534
  24	2.3000e-03	18.2305	57.472759	0.000280	2.796942	0.947630	2.210001
  25	2.4000e-03	19.0663	59.325956	0.000235	2.345377	0.794635	1.853197
  26	2.5000e-03	19.8379	61.721640	0.000303	3.031941	1.027249	2.395684
  27	2.6000e-03	19.5909	62.289614	-0.000072	-0.718819	-0.243542	0.567974
  28	2.7000e-03	18.4182	57.305280	0.000631	6.308095	2.137241	-4.984334
  29	2.8000e-03	17.7925	54.399875	0.000368	3.677034	1.245813	-2.905404
  30	2.9000e-03	16.8958	55.655971	-0.000159	-1.589695	-0.538603	1.256096
  31	3.0000e-03	16.2621	52.958096	0.000341	3.414389	1.156826	-2.697876
  32	3.1000e-03	15.4295	49.987156	0.000376	3.759975	1.273914	-2.970940
  33	3.2000e-03	14.5584	48.545376	0.000182	1.824694	0.618223	-1.441780
  34	3.3000e-03	13.8108	46.433679	0.000267	2.672531	0.905478	-2.111697
  35	3.4000e-03	12.9782	43.859592	0.000326	3.257724	1.103747	-2.574086
  36	3.5000e-03	12.2419	41.598620	0.000286	2.861452	0.969486	-2.260973
  37	3.6000e-03	11.4093	39.785472	0.000229	2.294691	0.777462	-1.813147
  38	3.7000e-03	10.6120	37.029343	0.000349	3.488114	1.181805	-2.756129
  39	3.8000e-03	9.7987	34.506229	0.000319	3.193214	1.081890	-2.523114
  40	3.9000e-03	9.0190	31.862966	0.000335	3.345272	1.133409	-2.643263
  41	4.0000e-03	8.2409	29.856854	0.000254	2.538905	0.860204	-2.006113
  42	4.1000e-03	7.4228	26.813097	0.000385	3.852131	1.305137	-3.043757
  43	4.2000e-03	6.6143	23.743853	0.000388	3.884386	1.316066	-3.069243
  44	4.3000e-03	5.8314	21.031414	0.000343	3.432820	1.163071	-2.712439
  45	4.4000e-03	5.0469	18.431842	0.000329	3.289978	1.114675	-2.599572
  46	4.5000e-03	4.2304	15.526438	0.000368	3.677034	1.245813	-2.905404
  47	4.6000e-03	3.4571	12.333405	0.000404	4.041052	1.369145	-3.193032
  48	4.7000e-03	2.6566	9.315134	0.000382	3.819877	1.294209	-3.018271
  49	4.8000e-03	1.8320	6.260455	0.000387	3.865955	1.309821	-3.054680
  50	4.9000e-03	1.0395	3.023732	0.000410	4.096345	1.387879	-3.236722
  51	5.0000e-03	0.2069	-0.078278	0.000393	3.925856	1.330116	-3.102011
  52	5.1000e-03	-0.5101	-3.526171	0.000436	4.363599	1.478427	-3.447892
  53	5.2000e-03	-1.3604	-6.409730	0.000365	3.649388	1.236446	-2.883559
  54	5.3000e-03	-2.1449	-9.708347	0.000417	4.174678	1.414419	-3.298617
  55	5.4000e-03	-2.9422	-13.014246	0.000418	4.183894	1.417542	-3.305899
  56	5.5000e-03	-3.8133	-15.821347	0.000355	3.552624	1.203661	-2.807101
  57	5.6000e-03	-4.5368	-18.639371	0.000357	3.566447	1.208345	-2.818024
  58	5.7000e-03	-5.3710	-21.566621	0.000370	3.704681	1.255180	-2.927250
  59	5.8000e-03	-6.1747	-24.512074	0.000373	3.727720	1.262986	-2.945454
  60	5.9000e-03	-7.0009	-27.115288	0.000329	3.294586	1.116236	-2.603213
  61	6.0000e-03	-7.7533	-29.878699	0.000350	3.497330	1.184927	-2.763411
  62	6.1000e-03	-8.5730	-32.030446	0.000272	2.723217	0.922651	-2.151747
  63	6.2000e-03	-9.3960	-34.600891	0.000325	3.253116	1.102185	-2.570446
  64	6.3000e-03	-10.1805	-37.145851	0.000322	3.220861	1.091257	-2.544960
  65	6.4000e-03	-10.9922	-39.425028	0.000288	2.884491	0.977292	-2.279177
  66	6.5000e-03	-11.8072	-41.704204	0.000288	2.884491	0.977292	-2.279177
  67	6.6000e-03	-12.5515	-43.728521	0.000256	2.561944	0.868010	-2.024317
  68	6.7000e-03	-13.4274	-45.920318	0.000277	2.773903	0.939824	-2.191796
  69	6.8000e-03	-14.1862	-48.002888	0.000264	2.635669	0.892989	-2.082571
  70	6.9000e-03	-14.9932	-49.637633	0.000207	2.068908	0.700965	-1.634745
  71	7.0000e-03	-15.8177	-52.186234	0.000323	3.225469	1.092818	-2.548600
  72	7.1000e-03	-16.6054	-53.937486	0.000222	2.216358	0.750922	-1.751253
  73	7.2000e-03	-17.4156	-55.929036	0.000252	2.520474	0.853960	-1.991549
  74	7.3000e-03	-18.2016	-57.636598	0.000216	2.161064	0.732188	-1.707562
  75	7.4000e-03	-19.0358	-59.577175	0.000246	2.455964	0.832103	-1.940577
  76	7.5000e-03	-19.8171	-61.579647	0.000253	2.534297	0.858643	-2.002472
  77	7.6000e-03	-19.4914	-62.289614	-0.000090	-0.898523	-0.304428	-0.709967
  78	7.7000e-03	-18.4214	-57.308921	0.000630	6.303488	2.135679	4.980693
  79	7.8000e-03	-17.7155	-55.801605	0.000191	1.907634	0.646324	1.507315
  80	7.9000e-03	-16.8220	-56.274917	-0.000060	-0.599016	-0.202952	-0.473312
  81	8.0000e-03	-16.1915	-53.391358	0.000365	3.649388	1.236446	2.883559
  82	8.1000e-03	-15.3076	-51.163153	0.000282	2.819981	0.955436	2.228205
  83	8.2000e-03	-14.4942	-49.641274	0.000193	1.926066	0.652569	1.521879
  84	8.3000e-03	-13.7419	-47.999247	0.000208	2.078123	0.704087	1.642027
  85	8.4000e-03	-12.9157	-45.548950	0.000310	3.101058	1.050667	2.450297
  86	8.5000e-03	-12.1440	-43.783134	0.000223	2.234789	0.757167	1.765816
  87	8.6000e-03	-11.3467	-41.853480	0.000244	2.442141	0.827420	1.929655
  88	8.7000e-03	-10.5542	-39.428668	0.000307	3.068803	1.039739	2.424811
  89	8.8000e-03	-9.7585	-37.080315	0.000297	2.972039	1.006954	2.348353
  90	8.9000e-03	-8.9500	-34.994104	0.000264	2.640277	0.894550	2.086211
  91	9.0000e-03	-8.1591	-32.944301	0.000259	2.594199	0.878938	2.049803
  92	9.1000e-03	-7.3618	-30.406623	0.000321	3.211645	1.088135	2.537678
  93	9.2000e-03	-6.5453	-27.770642	0.000334	3.336056	1.130286	2.635981
  94	9.3000e-03	-5.7817	-25.415007	0.000298	2.981255	1.010076	2.355635
  95	9.4000e-03	-4.9539	-23.044809	0.000300	2.999686	1.016321	2.370198
  96	9.5000e-03	-4.1919	-20.445236	0.000329	3.289978	1.114675	2.599572
  97	9.6000e-03	-3.3769	-17.401479	0.000385	3.852131	1.305137	3.043757
  98	9.7000e-03	-2.5700	-14.412335	0.000378	3.783014	1.281720	2.989144
  99	9.8000e-03	-1.7550	-11.608875	0.000355	3.548016	1.202100	2.803460
 100	9.9000e-03	-0.9978	-8.197391	0.000432	4.317520	1.462816	3.411484
 101	1.0000e-02	-0.2326	-5.346600	0.000432	4.317520	1.462816	2.850792

Center data before PMax,+/-Pr and +/-Vc Calc.

PMax (uC/cm2):	6.17e+01
Pr (uC/cm2):	-1.07e+00
-Pr (uC/cm2):	-5.35e+00
PLoss (uC/cm2):	-2.52e+00
-Vc:	2.28e-01
C (Max-Eff) (nF):	3.11e-01
K (Eff):	1.05e+03
Vert. (+/-Pr) Shift (uC/cm2):	-3.21e+00
Offset (uC/cm2):	2.79e+00

A (Loop Area - uC/cm2·Volts):	1.73e+00



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

